@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 61'

@attribute 'Spatial Pyramid of Local Binary Patterns11' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns425' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns47' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns101' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns137' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns29' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns65' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns407' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns119' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns155' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns484' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns208' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns569' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns461' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns173' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns17' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns263' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns605' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns413' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns245' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns631' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns30' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns533' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns125' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns59' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns281' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns497' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns328' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns325' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns469' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns551' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns426' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns152' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns411' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns389' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns24' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns138' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns371' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns55' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns404' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns209' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns679' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns53' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns340' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns83' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns479' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns271' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns127' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns191' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns174' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns227' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns502' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns20' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,ant
1,1,1,1,1,1,1,1,2,1,1,1,6,6,0,0,1,1,1,1,0,2,1,2,1,0,3,4,1,1,0,1,0,2,15,8,1,1,4,2,0,2,1,0,1,4,1,3,1,2,3,1,2,5,1,1,0,1,1,15,1,ant
0,0,1,0,0,0,1,1,1,0,0,0,9,8,0,0,0,0,0,0,0,0,1,0,1,0,2,10,0,1,0,0,0,4,14,12,0,0,11,1,0,1,0,1,0,8,1,1,1,1,9,0,0,0,0,0,1,1,1,11,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,2,2,0,0,15,0,0,0,0,0,0,15,0,1,0,0,9,0,0,0,0,0,0,0,0,6,0,ant
1,1,1,0,1,1,1,1,0,1,1,1,1,2,0,0,1,1,1,1,1,1,0,2,1,0,2,1,1,1,0,0,1,2,7,7,1,0,3,0,1,1,1,1,0,1,0,2,1,1,2,1,0,1,0,0,5,1,1,8,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,9,1,0,0,15,0,0,0,0,0,0,15,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,ant
0,0,0,0,0,0,1,0,1,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,0,0,10,5,6,0,0,11,0,0,1,0,0,0,13,0,1,0,0,11,0,0,0,0,0,0,0,0,7,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant
0,0,0,0,0,0,0,0,1,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,9,15,11,0,0,15,1,0,1,0,0,0,15,0,1,0,1,12,0,0,0,0,0,0,0,0,15,0,ant
1,1,1,0,0,1,1,1,1,0,1,0,4,6,0,0,0,0,1,1,1,0,0,1,0,0,3,15,0,1,0,1,0,5,12,10,0,0,15,1,1,1,0,1,0,15,1,3,1,0,8,0,0,2,0,0,1,0,1,15,1,ant
1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,2,1,1,2,1,1,1,1,1,3,4,1,1,1,1,2,3,13,14,1,1,4,1,2,2,1,0,1,3,1,3,1,1,4,1,1,4,1,1,1,1,1,15,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,6,8,0,0,15,1,0,0,0,0,0,15,0,1,0,0,10,0,0,0,0,0,0,0,0,9,0,ant
0,0,0,0,0,0,1,0,1,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,10,15,14,0,0,15,1,0,1,0,0,0,15,0,1,0,2,10,0,0,0,1,0,0,0,0,10,0,ant
0,0,1,0,0,0,1,0,1,0,0,0,3,3,1,0,1,0,0,0,0,0,1,0,0,0,2,14,0,1,0,0,0,6,8,3,0,0,15,2,0,1,1,0,0,15,1,2,1,2,8,0,0,2,0,0,2,0,1,3,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,13,5,0,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,ant
0,1,0,0,1,0,1,0,1,1,1,0,1,15,0,0,2,0,0,0,0,1,0,0,0,0,2,15,1,1,0,0,0,5,3,8,0,0,15,2,0,1,1,0,0,14,0,0,0,2,11,0,1,2,0,1,0,0,0,6,0,ant
1,0,1,1,0,1,1,0,1,0,0,1,4,4,0,2,0,1,1,0,0,0,0,0,1,1,3,12,0,1,0,0,0,8,15,15,0,0,12,0,1,1,0,1,0,13,0,3,0,0,7,1,1,1,0,0,0,1,0,13,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,1,1,4,0,0,15,0,0,0,0,0,0,15,1,0,0,1,12,0,1,0,0,0,1,0,0,10,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,ant
1,1,1,1,2,1,1,1,1,2,2,2,3,3,0,1,2,1,1,0,2,1,0,1,1,0,3,3,1,1,1,1,2,3,14,14,1,1,3,1,1,1,1,1,1,2,1,3,1,1,4,1,1,2,0,1,2,1,1,11,1,ant
1,0,0,1,0,1,1,1,1,0,1,1,2,1,0,0,1,0,1,1,1,2,1,1,1,1,2,2,2,1,0,0,0,2,6,10,1,1,4,1,1,1,1,0,0,1,0,0,1,1,3,1,1,2,1,0,0,0,1,6,1,ant
0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,1,1,0,0,15,0,0,0,0,0,0,15,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,4,9,0,0,15,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,8,7,0,0,15,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,ant
0,0,0,0,0,0,1,0,1,1,1,0,7,5,0,0,0,0,0,1,0,0,0,2,0,0,2,15,0,1,0,0,0,0,0,15,0,0,15,0,0,1,0,0,0,7,0,0,1,1,0,0,0,2,0,0,0,0,0,14,0,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brontosaurus
1,0,1,1,0,1,2,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,3,15,1,2,1,0,0,8,15,0,1,0,13,1,1,2,0,1,1,15,1,0,1,1,7,0,0,3,0,0,1,2,0,0,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,1,0,0,0,7,3,10,0,0,15,1,0,1,0,0,0,14,0,2,0,1,8,0,0,3,0,0,0,0,0,4,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,9,15,15,0,0,15,1,0,1,0,0,0,15,0,0,0,0,8,0,0,1,0,0,0,0,0,8,0,brontosaurus
1,1,1,1,1,1,1,1,2,0,1,1,7,6,0,1,1,1,1,1,1,1,1,0,1,2,4,6,1,2,1,1,1,5,12,15,0,1,6,1,1,1,1,1,1,7,1,4,1,1,6,1,1,3,0,0,2,1,1,13,1,brontosaurus
1,0,0,1,0,0,1,0,1,1,0,1,4,4,0,1,1,0,1,0,0,2,0,0,1,1,3,6,1,2,0,0,0,6,15,14,1,2,5,0,1,2,1,1,0,2,0,3,1,1,6,1,0,3,0,1,0,1,0,15,1,brontosaurus
0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,4,13,13,0,0,7,1,0,0,0,1,0,15,0,0,1,1,5,0,0,1,0,0,0,0,0,15,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,5,0,0,0,13,0,0,1,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,11,14,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,1,0,0,0,13,15,13,1,0,6,3,0,1,0,0,0,3,0,0,0,2,13,0,0,2,0,0,0,1,0,15,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,1,0,0,0,0,3,0,1,0,15,0,0,0,0,0,0,7,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,brontosaurus
0,1,0,0,0,0,1,0,1,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,1,0,0,0,9,13,15,0,0,7,1,0,1,0,0,0,6,0,3,0,1,8,0,0,2,0,0,0,1,0,15,0,brontosaurus
1,1,0,1,1,1,1,0,1,1,1,1,9,6,0,1,1,1,1,1,0,0,0,0,1,2,3,6,1,1,0,1,1,11,9,13,1,0,6,1,1,1,1,1,0,8,0,2,0,1,11,1,0,3,0,0,0,0,0,15,0,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,1,0,0,0,9,12,10,1,0,9,1,0,1,0,0,0,15,0,2,0,1,11,0,0,1,0,0,0,0,0,13,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,3,5,0,0,15,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,brontosaurus
1,2,2,2,2,1,1,1,1,0,1,1,2,3,0,0,1,1,2,0,1,2,1,0,2,2,5,9,1,2,1,1,2,4,11,13,1,1,11,1,2,1,1,2,1,11,0,2,1,1,4,2,2,3,1,1,1,2,2,14,1,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,6,0,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,brontosaurus
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,3,0,0,0,14,0,0,1,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,brontosaurus
0,0,0,0,0,0,1,0,1,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,0,0,0,5,15,11,0,1,15,1,0,1,0,0,0,13,0,0,0,1,14,0,0,1,0,0,0,0,0,8,0,brontosaurus
1,0,1,0,0,0,1,0,1,0,1,1,7,5,0,1,0,1,1,1,1,0,0,0,1,1,3,8,0,1,0,0,1,6,13,15,1,0,5,1,0,1,1,1,0,10,0,1,0,1,6,0,1,3,0,0,0,1,0,15,1,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,10,10,9,0,0,15,0,0,1,0,0,0,15,0,2,0,0,14,0,0,0,0,0,0,0,0,6,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,brontosaurus
0,0,0,0,0,0,0,0,1,0,0,0,6,14,0,0,0,0,0,0,1,0,0,0,0,0,1,15,0,1,0,0,0,2,2,1,0,0,15,1,0,1,0,0,0,15,0,0,0,1,9,0,0,1,0,0,0,0,0,5,0,brontosaurus
2,2,3,2,1,2,1,3,1,1,2,2,4,2,0,2,2,2,1,1,1,1,2,1,1,4,4,4,1,1,1,0,0,4,11,7,3,2,3,1,3,1,2,3,1,4,3,1,2,2,8,2,0,4,0,1,0,1,2,13,1,brontosaurus
1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,1,0,2,11,1,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brontosaurus
0,0,1,0,0,0,1,0,1,0,0,0,9,11,0,0,0,0,0,0,0,1,1,0,0,0,2,15,1,1,0,0,0,6,15,10,0,0,14,0,0,1,0,0,0,15,0,0,0,0,4,0,0,1,0,0,2,1,1,4,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,2,0,0,0,0,0,0,1,15,0,0,0,0,0,6,9,9,0,0,15,1,0,0,0,0,0,14,0,1,0,1,15,0,0,1,1,0,0,0,0,13,0,brontosaurus
1,2,1,1,2,1,1,1,1,1,1,1,8,10,0,2,1,1,1,0,1,2,1,1,1,0,3,7,1,1,1,1,3,0,2,9,1,2,8,1,1,1,1,1,0,6,0,4,1,1,5,1,0,5,0,1,0,1,0,12,1,brontosaurus
1,0,1,1,0,0,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,1,0,0,0,6,15,15,1,0,5,0,0,1,0,1,0,12,1,3,0,0,7,1,1,2,0,0,1,0,1,11,1,brontosaurus
0,0,0,0,0,0,0,0,1,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,6,14,15,0,0,15,0,0,0,0,0,0,15,0,1,0,0,6,0,0,0,0,0,0,0,0,15,0,brontosaurus
