@relation datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns20' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns509' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns613' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,7,0,2,15,chandelier
1,8,0,3,15,chandelier
0,6,0,3,15,chandelier
1,3,0,2,15,chandelier
1,7,0,3,15,chandelier
0,11,0,3,15,chandelier
0,3,0,2,15,chandelier
1,5,0,3,7,chandelier
1,5,0,4,15,chandelier
1,4,0,1,11,chandelier
1,4,0,4,10,chandelier
1,4,0,3,15,chandelier
1,5,0,2,15,chandelier
0,3,0,1,7,chandelier
1,6,0,2,13,chandelier
0,7,0,2,15,chandelier
0,6,0,1,15,chandelier
1,5,0,2,15,chandelier
1,5,0,1,15,chandelier
1,6,0,3,15,chandelier
0,6,0,2,15,chandelier
1,4,0,1,15,chandelier
1,7,0,2,15,chandelier
0,7,0,2,15,chandelier
2,3,0,2,15,chandelier
0,6,0,1,9,chandelier
0,7,0,3,12,chandelier
1,3,0,3,15,chandelier
1,3,0,3,15,chandelier
2,3,0,2,15,chandelier
0,4,0,2,15,chandelier
1,7,0,2,15,chandelier
0,3,0,2,12,chandelier
1,3,0,1,15,chandelier
1,4,0,2,15,chandelier
1,7,0,1,15,chandelier
1,4,0,1,15,chandelier
0,7,0,2,15,chandelier
0,6,0,2,6,chandelier
0,7,0,2,0,chandelier
0,3,0,2,15,chandelier
2,3,1,4,15,chandelier
0,4,0,2,15,chandelier
0,5,0,1,15,chandelier
1,4,0,2,15,chandelier
1,4,0,2,15,chandelier
1,4,0,2,15,chandelier
0,5,0,1,6,chandelier
1,5,0,2,15,chandelier
1,3,0,3,15,chandelier
1,5,0,2,15,chandelier
0,9,0,3,15,chandelier
1,6,0,2,15,chandelier
1,6,0,2,15,chandelier
1,4,0,3,15,chandelier
1,5,0,3,8,chandelier
1,5,0,2,15,chandelier
0,4,0,2,15,chandelier
1,4,0,3,15,chandelier
1,4,0,3,15,chandelier
0,7,0,2,15,chandelier
1,4,0,4,15,chandelier
1,5,0,5,15,chandelier
1,6,0,3,14,chandelier
0,5,0,2,15,chandelier
1,4,0,4,15,chandelier
1,4,0,1,15,chandelier
1,5,0,3,6,chandelier
1,5,0,2,15,chandelier
0,6,0,1,15,chandelier
0,5,0,2,15,chandelier
1,6,0,1,15,chandelier
1,4,0,2,15,chandelier
2,5,0,3,15,chandelier
1,5,0,4,15,chandelier
1,4,0,2,15,chandelier
1,3,0,2,6,chandelier
1,8,0,2,15,chandelier
0,5,0,2,15,chandelier
0,5,0,1,15,chandelier
1,5,0,3,15,chandelier
0,4,0,2,15,chandelier
1,4,0,2,15,chandelier
0,5,0,1,15,chandelier
0,6,0,2,15,chandelier
0,7,0,2,15,chandelier
0,7,0,3,15,chandelier
0,5,0,2,15,chandelier
1,5,1,4,15,chandelier
1,6,0,3,15,chandelier
2,3,0,3,15,chandelier
0,5,0,1,15,chandelier
1,3,0,2,7,chandelier
1,4,0,3,15,chandelier
1,4,0,1,10,chandelier
0,12,0,2,15,chandelier
0,4,0,0,15,chandelier
1,7,0,3,15,chandelier
1,4,0,2,15,chandelier
0,10,0,2,15,chandelier
0,5,0,3,15,chandelier
0,5,0,3,15,chandelier
2,4,0,2,15,chandelier
1,3,0,3,15,chandelier
1,4,0,3,15,chandelier
1,6,0,4,3,chandelier
0,6,0,1,15,cup
0,5,0,1,15,cup
0,6,0,3,15,cup
0,5,0,0,15,cup
1,5,0,1,15,cup
1,4,0,4,15,cup
0,7,0,0,11,cup
1,3,0,2,15,cup
0,5,0,1,15,cup
0,6,0,2,15,cup
1,5,0,3,15,cup
0,5,0,2,15,cup
0,5,0,1,15,cup
0,5,0,0,0,cup
0,6,0,0,13,cup
0,4,0,1,15,cup
0,6,0,1,15,cup
0,4,0,1,15,cup
0,4,0,2,15,cup
1,6,0,4,15,cup
0,5,0,1,15,cup
0,9,0,1,15,cup
0,4,0,2,15,cup
0,6,0,1,15,cup
0,6,0,1,15,cup
0,8,0,0,15,cup
1,6,0,3,15,cup
0,9,0,1,15,cup
1,4,0,2,15,cup
0,5,0,2,15,cup
1,5,0,1,13,cup
0,3,0,1,15,cup
0,5,0,2,15,cup
2,2,0,3,0,cup
0,6,0,0,15,cup
1,4,0,1,15,cup
0,4,0,2,15,cup
0,5,0,0,15,cup
1,4,0,3,15,cup
1,4,0,3,11,cup
0,5,0,0,15,cup
1,4,0,3,15,cup
0,6,0,0,15,cup
1,5,0,2,15,cup
2,3,1,2,0,cup
0,5,0,0,15,cup
0,5,0,2,15,cup
0,5,0,2,15,cup
0,4,0,1,15,cup
1,5,0,2,15,cup
0,5,0,1,15,cup
0,4,0,4,15,cup
0,5,0,1,15,cup
0,6,0,2,15,cup
0,3,0,1,13,cup
1,3,0,3,0,cup
0,7,0,2,15,cup
1,4,0,3,0,ferry
0,2,0,0,7,ferry
0,3,0,4,9,ferry
1,3,0,3,15,ferry
0,3,0,3,15,ferry
1,3,0,1,15,ferry
0,3,0,3,15,ferry
1,2,0,2,15,ferry
0,4,0,0,15,ferry
1,4,0,2,15,ferry
0,4,0,1,7,ferry
0,3,0,3,15,ferry
0,4,0,4,15,ferry
1,3,0,2,15,ferry
1,2,0,4,15,ferry
1,4,0,2,15,ferry
0,4,0,0,15,ferry
1,2,0,2,15,ferry
0,3,0,1,15,ferry
1,3,0,3,15,ferry
0,3,0,0,2,ferry
1,3,0,2,15,ferry
0,4,0,1,15,ferry
0,3,0,3,15,ferry
1,3,0,3,15,ferry
1,3,0,0,15,ferry
0,4,0,2,8,ferry
1,3,0,3,15,ferry
1,3,0,3,15,ferry
0,2,0,1,15,ferry
0,3,0,2,15,ferry
1,3,0,3,15,ferry
1,3,0,1,15,ferry
1,3,0,3,15,ferry
0,3,0,0,15,ferry
1,3,0,2,15,ferry
1,3,0,3,14,ferry
1,3,0,3,15,ferry
0,4,0,1,6,ferry
1,4,0,3,15,ferry
1,2,0,1,15,ferry
1,3,0,2,15,ferry
0,4,0,5,15,ferry
0,3,0,2,15,ferry
1,2,0,2,15,ferry
0,4,0,1,15,ferry
0,3,0,4,15,ferry
1,4,0,2,15,ferry
0,2,0,3,15,ferry
0,2,0,1,15,ferry
2,3,1,2,15,ferry
1,4,0,3,15,ferry
1,2,1,3,15,ferry
1,3,0,2,15,ferry
0,4,0,1,15,ferry
1,4,0,1,12,ferry
1,3,0,3,15,ferry
1,3,0,2,15,ferry
0,5,0,2,15,ferry
1,3,0,2,15,ferry
0,2,0,3,15,ferry
0,3,0,2,15,ferry
1,4,0,2,15,ferry
1,3,0,3,14,ferry
1,3,0,4,0,ferry
1,2,0,3,15,ferry
1,4,0,3,15,ferry
0,7,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,4,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,14,Faces_easy
0,8,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
1,4,0,0,15,Faces_easy
0,6,0,0,8,Faces_easy
1,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,2,15,Faces_easy
1,4,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,8,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,4,0,0,15,Faces_easy
1,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
1,7,0,1,15,Faces_easy
1,4,0,0,15,Faces_easy
0,7,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
1,6,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
1,5,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
1,5,0,0,15,Faces_easy
0,8,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,6,0,0,12,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,8,Faces_easy
0,5,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,2,15,Faces_easy
0,4,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,13,Faces_easy
0,6,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
1,5,0,0,14,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
1,6,0,0,12,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
1,5,0,1,15,Faces_easy
0,8,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
1,7,0,1,15,Faces_easy
0,8,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,13,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
1,5,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,5,0,0,14,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,4,0,0,12,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
1,4,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
1,4,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,4,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
1,5,0,2,15,Faces_easy
0,7,0,2,14,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,7,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,8,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,8,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,4,15,Faces_easy
0,5,0,2,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,14,Faces_easy
0,5,0,2,15,Faces_easy
0,6,0,0,15,Faces_easy
0,7,0,0,15,Faces_easy
0,7,0,0,13,Faces_easy
0,5,0,1,15,Faces_easy
0,7,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
1,5,0,2,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
1,4,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,4,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,7,0,0,15,Faces_easy
0,6,0,0,10,Faces_easy
1,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,14,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
1,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,4,0,1,15,Faces_easy
0,6,0,0,14,Faces_easy
0,7,0,0,15,Faces_easy
1,4,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
1,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,7,0,1,13,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,2,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,13,Faces_easy
1,5,0,0,13,Faces_easy
0,4,0,0,15,Faces_easy
1,5,0,1,15,Faces_easy
0,7,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,12,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,4,0,0,14,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
1,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,14,Faces_easy
0,5,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,7,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,1,15,Faces_easy
0,4,0,1,15,Faces_easy
0,7,0,3,15,Faces_easy
0,6,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,8,0,0,15,Faces_easy
0,5,0,0,11,Faces_easy
0,6,0,1,15,Faces_easy
1,4,0,0,15,Faces_easy
0,4,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,8,0,1,15,Faces_easy
1,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,3,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,7,0,2,10,Faces_easy
1,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,12,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
1,5,0,1,13,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
1,5,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,7,0,0,15,Faces_easy
0,6,0,3,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
1,4,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,5,0,0,14,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,2,15,Faces_easy
0,4,0,1,14,Faces_easy
0,5,0,0,15,Faces_easy
1,5,0,2,15,Faces_easy
0,4,0,2,15,Faces_easy
0,5,0,0,15,Faces_easy
0,3,2,0,14,Faces_easy
0,4,0,2,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,2,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
1,11,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
1,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,6,Faces_easy
0,7,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,5,0,0,13,Faces_easy
0,5,0,2,15,Faces_easy
1,4,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,2,11,Faces_easy
1,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,14,Faces_easy
0,7,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
1,6,0,1,15,Faces_easy
0,7,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
1,6,0,0,15,Faces_easy
0,6,0,1,10,Faces_easy
0,4,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
1,4,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
1,4,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,7,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,8,0,1,12,Faces_easy
1,8,0,1,15,Faces_easy
1,5,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
0,4,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,2,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,2,15,Faces_easy
0,5,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,0,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,1,15,Faces_easy
0,5,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,5,0,1,15,Faces_easy
1,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,2,14,Faces_easy
0,5,0,1,12,Faces_easy
0,4,0,0,15,Faces_easy
0,7,0,0,15,Faces_easy
0,5,0,0,15,Faces_easy
0,7,0,1,15,Faces_easy
0,6,0,1,15,Faces_easy
0,6,0,0,15,Faces_easy
0,6,0,1,15,Faces_easy
0,4,0,2,15,cougar_body
1,5,0,1,15,cougar_body
1,4,0,2,15,cougar_body
0,3,0,2,12,cougar_body
2,3,0,2,15,cougar_body
1,2,1,3,15,cougar_body
1,4,0,4,15,cougar_body
0,6,0,2,15,cougar_body
0,5,0,1,15,cougar_body
0,5,0,2,15,cougar_body
0,5,0,2,15,cougar_body
0,7,0,2,15,cougar_body
0,5,0,0,15,cougar_body
0,7,0,2,15,cougar_body
1,4,0,3,13,cougar_body
0,3,0,1,15,cougar_body
2,3,0,3,15,cougar_body
0,4,0,2,7,cougar_body
2,4,0,4,15,cougar_body
0,2,0,1,15,cougar_body
0,4,0,1,15,cougar_body
1,4,0,2,15,cougar_body
0,5,0,3,15,cougar_body
0,4,0,1,15,cougar_body
0,6,0,1,15,cougar_body
0,6,0,4,15,cougar_body
1,4,0,3,15,cougar_body
1,4,0,3,15,cougar_body
1,4,0,2,14,cougar_body
1,3,0,2,15,cougar_body
2,2,0,3,15,cougar_body
0,8,0,1,15,cougar_body
2,1,0,3,15,cougar_body
0,3,0,0,15,cougar_body
0,6,0,3,15,cougar_body
1,4,0,3,15,cougar_body
0,4,0,3,15,cougar_body
1,4,0,1,14,cougar_body
0,4,0,1,10,cougar_body
0,6,0,2,10,cougar_body
0,4,0,2,15,cougar_body
0,5,0,2,0,cougar_body
1,4,0,3,15,cougar_body
0,5,0,1,15,cougar_body
0,6,0,1,0,cougar_body
1,5,0,2,15,cougar_body
0,5,0,1,15,cougar_body
1,3,0,3,4,cellphone
0,4,0,1,13,cellphone
1,3,0,2,9,cellphone
1,4,0,2,12,cellphone
1,5,0,1,4,cellphone
1,3,0,1,4,cellphone
1,3,0,3,5,cellphone
0,4,0,2,13,cellphone
1,5,0,3,12,cellphone
2,4,1,5,9,cellphone
1,4,0,1,4,cellphone
1,2,0,1,4,cellphone
1,4,0,2,3,cellphone
1,4,0,2,8,cellphone
2,4,0,1,11,cellphone
1,2,0,2,4,cellphone
1,7,0,1,9,cellphone
1,4,0,0,9,cellphone
1,3,0,2,9,cellphone
0,5,0,1,10,cellphone
0,4,0,1,8,cellphone
1,4,0,1,7,cellphone
1,5,0,1,8,cellphone
0,5,0,2,8,cellphone
2,2,1,3,7,cellphone
1,4,0,2,7,cellphone
1,3,0,3,13,cellphone
0,3,0,3,6,cellphone
1,5,0,3,7,cellphone
1,4,0,2,4,cellphone
0,3,0,1,12,cellphone
1,4,0,1,4,cellphone
2,3,0,3,12,cellphone
1,3,0,2,6,cellphone
1,4,0,5,15,cellphone
1,4,0,2,10,cellphone
0,5,0,0,7,cellphone
1,4,0,3,9,cellphone
1,4,0,1,7,cellphone
0,6,0,4,10,cellphone
1,3,0,1,4,cellphone
0,3,0,2,6,cellphone
