@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 43'

@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns40' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns755' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns124' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns6' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns52' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns10' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns592' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns14' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns119' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns507' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns86' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns179' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns107' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns731' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns395' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns11' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns116' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns613' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns358' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns47' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns155' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns584' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns571' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns44' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns217' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns407' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns148' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns72' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns569' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
2,3,2,3,15,3,1,1,1,2,9,1,1,3,1,3,1,1,2,0,15,15,3,2,3,2,1,13,1,2,2,10,15,0,1,2,2,3,11,1,3,7,0,ant
3,3,3,1,13,3,0,1,0,3,8,1,0,3,0,2,0,0,2,0,11,15,1,0,3,0,0,9,0,0,3,5,13,0,0,3,1,3,15,0,3,8,0,ant
1,5,1,0,15,1,0,0,0,2,5,0,0,1,0,2,0,0,1,0,9,5,0,0,2,0,0,5,0,0,3,15,15,0,0,3,0,5,6,0,1,4,0,ant
2,2,2,3,15,3,2,1,1,3,6,1,1,2,1,3,1,1,2,1,14,15,3,3,3,3,2,15,1,2,3,8,14,1,1,3,2,2,15,1,2,6,0,ant
2,6,2,0,12,2,0,0,0,2,4,0,0,1,0,2,0,0,0,0,7,4,0,0,2,0,0,5,0,0,4,15,13,0,0,5,0,5,9,0,2,4,0,ant
2,5,1,0,9,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0,8,8,0,0,2,0,0,6,0,0,4,15,15,0,0,2,0,5,15,0,1,8,0,ant
1,5,1,0,15,2,0,0,0,1,4,0,0,2,0,0,0,0,0,0,8,10,0,0,1,0,0,4,0,0,6,11,3,0,0,5,0,5,15,0,1,5,0,ant
2,8,2,0,7,3,0,0,0,3,4,0,0,2,0,3,0,0,0,0,7,7,0,0,4,0,0,7,0,0,7,15,10,0,0,6,0,8,15,0,2,4,0,ant
3,4,2,1,12,3,1,1,1,3,9,1,0,2,0,2,0,0,1,1,10,11,0,1,3,1,0,9,0,1,4,14,12,0,0,2,1,4,9,0,4,8,0,ant
2,3,2,3,9,3,1,1,1,3,10,1,1,2,1,2,1,0,1,1,12,14,2,3,3,4,0,8,0,2,4,14,14,1,0,4,1,3,15,1,2,12,1,ant
2,5,1,0,11,3,0,0,0,2,6,0,0,3,0,2,0,0,1,0,8,7,0,0,2,1,0,7,0,0,7,15,6,0,0,6,0,3,11,0,3,6,0,ant
2,5,2,0,4,2,0,0,0,3,6,0,0,0,0,4,0,0,1,0,8,6,0,0,3,0,0,6,0,0,6,15,13,0,0,5,0,5,12,0,3,6,0,ant
3,5,3,1,9,4,1,1,1,3,6,0,0,2,0,3,0,0,2,0,8,15,1,1,3,1,0,10,0,0,5,6,15,0,0,5,0,5,15,0,2,3,0,ant
1,6,2,0,5,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,4,5,0,0,1,0,0,7,0,0,6,15,9,0,0,4,0,7,15,0,2,4,0,ant
2,5,1,1,6,3,0,0,0,2,5,0,0,1,0,13,0,0,1,0,9,6,0,1,4,1,0,5,0,1,4,4,15,0,0,15,1,4,7,0,3,5,0,ant
2,5,2,1,9,1,0,0,0,2,6,0,0,1,0,1,0,0,1,0,8,11,0,0,2,0,0,7,0,0,4,15,10,0,0,4,2,3,14,0,3,9,0,ant
2,6,3,0,10,3,0,0,0,4,4,0,0,1,0,2,0,0,0,0,8,10,0,0,3,0,0,6,0,0,5,8,15,0,0,5,0,6,10,0,2,4,0,ant
2,5,0,0,13,2,0,0,0,0,6,0,0,1,0,5,0,0,1,0,11,13,0,0,2,1,0,15,0,1,5,15,2,0,0,15,0,0,0,0,4,6,0,ant
2,3,2,2,15,3,1,1,1,2,11,1,1,4,1,2,1,1,2,1,15,15,3,2,2,2,0,15,1,2,3,15,14,0,1,3,2,2,13,0,3,11,0,ant
2,3,2,3,0,4,1,1,1,2,8,2,1,4,1,13,1,1,3,1,12,14,3,2,4,3,0,15,1,1,4,10,15,1,0,3,5,2,12,1,2,7,0,ant
1,5,1,0,6,2,0,0,0,1,4,0,0,1,0,1,0,0,0,0,5,2,0,0,1,0,0,7,0,0,5,15,9,0,0,4,0,4,15,0,1,2,0,ant
1,2,0,0,9,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,7,6,0,0,1,0,0,8,0,0,1,15,12,0,0,2,0,1,11,0,1,5,0,ant
2,6,1,0,0,2,0,0,0,1,4,0,0,1,0,1,0,0,2,0,4,7,0,0,2,0,0,10,0,0,5,6,15,0,0,1,0,5,6,0,4,6,0,ant
2,4,0,1,5,3,0,0,1,1,7,0,0,3,0,1,0,0,1,0,6,8,0,0,2,1,0,12,0,2,5,15,6,0,0,5,1,3,0,0,1,9,0,ant
1,9,1,0,6,5,0,0,0,1,3,0,0,2,0,2,0,0,0,0,7,0,0,0,2,0,0,4,0,0,15,0,0,0,0,8,0,5,6,0,1,0,0,brontosaurus
3,5,3,1,6,4,1,1,1,4,6,1,0,4,1,5,0,0,0,0,8,6,1,1,4,0,0,6,0,1,5,0,5,1,0,5,1,5,12,0,3,6,0,brontosaurus
1,2,1,1,15,1,0,0,0,2,6,0,0,0,0,1,0,0,0,0,15,15,0,0,1,0,0,5,0,0,0,4,3,0,0,1,0,3,15,0,1,6,0,brontosaurus
2,4,2,0,12,3,0,0,0,2,6,0,0,2,0,1,0,0,0,0,10,7,0,0,2,0,0,7,0,1,4,15,11,0,0,3,0,4,14,0,2,6,0,brontosaurus
2,5,2,0,8,2,0,0,0,3,7,0,0,2,0,1,0,0,0,0,9,7,0,0,2,0,0,11,0,1,5,15,10,0,0,5,0,5,12,0,2,6,0,brontosaurus
3,4,3,2,9,4,1,1,1,4,11,1,1,5,1,4,1,0,1,1,10,11,2,2,4,3,0,10,0,3,4,14,12,0,0,2,3,4,10,1,3,11,0,brontosaurus
3,4,2,2,10,4,1,1,1,3,10,1,1,4,1,2,1,0,2,1,11,12,2,2,3,3,0,11,0,3,4,15,14,0,0,4,4,4,15,0,3,11,1,brontosaurus
1,3,3,1,4,2,0,0,1,3,7,0,0,2,0,2,0,0,3,0,6,7,0,1,3,1,0,11,0,0,4,15,12,0,0,2,0,4,15,0,1,6,0,brontosaurus
2,3,1,0,9,2,0,0,0,2,7,0,0,1,0,2,0,0,1,0,11,7,0,0,2,0,0,12,0,0,3,0,8,0,0,4,1,3,1,0,2,5,0,brontosaurus
2,3,2,1,9,2,0,0,1,1,7,0,0,3,0,2,0,0,1,0,10,7,1,1,2,2,0,6,0,2,3,12,11,0,0,3,2,2,15,0,2,5,1,brontosaurus
2,4,2,1,9,3,1,0,0,3,6,0,0,2,0,2,0,0,1,1,9,6,1,1,3,0,0,8,0,0,4,0,15,0,0,4,1,4,10,0,2,10,0,brontosaurus
3,4,3,1,11,3,1,1,1,2,11,1,1,2,1,2,1,0,2,0,12,11,1,1,3,1,0,13,0,2,2,14,14,0,0,3,1,4,15,0,3,11,0,brontosaurus
2,4,2,1,11,3,1,1,1,2,9,1,1,2,1,2,0,0,3,1,12,10,1,1,2,1,0,8,0,1,3,15,12,0,0,3,1,3,13,0,3,9,0,brontosaurus
2,5,2,1,8,3,1,0,0,2,7,0,0,2,0,3,0,0,1,0,11,6,1,1,2,0,0,7,0,0,6,13,8,0,0,4,1,4,15,0,3,6,0,brontosaurus
3,8,4,0,5,3,0,0,1,5,6,0,0,2,0,3,0,0,0,0,6,0,0,0,3,0,0,4,0,0,8,0,0,0,0,8,0,10,11,0,2,0,0,brontosaurus
1,4,1,0,7,1,0,0,0,2,5,0,0,0,0,1,0,0,0,0,9,4,0,0,1,0,0,5,0,0,3,9,15,0,0,2,0,4,2,0,1,2,0,brontosaurus
2,3,2,2,12,3,1,1,1,2,10,1,1,4,1,5,1,0,4,1,12,10,1,1,3,2,0,15,1,3,3,15,12,0,0,6,2,2,15,0,3,10,0,brontosaurus
1,5,1,0,10,2,0,0,0,2,6,0,0,3,0,1,0,0,0,0,7,5,0,0,2,1,0,5,0,1,4,15,5,0,0,4,0,5,15,0,1,5,0,brontosaurus
1,4,1,1,15,2,0,0,0,2,5,0,0,2,0,2,0,0,1,0,14,14,1,0,2,0,0,5,0,0,3,3,0,0,0,2,0,4,15,0,1,7,0,brontosaurus
1,4,0,0,6,2,0,0,0,0,4,0,0,1,0,1,0,0,0,0,5,2,0,0,1,0,0,2,0,0,5,15,4,0,0,5,0,2,1,0,1,2,0,brontosaurus
2,3,2,1,11,1,1,1,0,3,7,0,0,1,1,0,0,0,1,2,8,8,0,0,2,0,0,8,0,0,2,15,15,0,0,2,0,5,15,0,2,6,0,brontosaurus
3,4,3,1,12,2,1,1,1,2,9,1,0,2,1,4,1,0,1,0,12,11,2,1,3,1,0,8,0,0,4,15,14,0,0,4,2,5,15,0,3,9,0,brontosaurus
1,5,2,0,4,2,0,0,0,2,5,0,0,1,0,1,0,0,0,0,7,6,0,0,2,0,0,2,0,0,5,15,15,0,0,3,0,5,15,0,1,4,0,brontosaurus
1,3,1,1,12,1,0,0,0,2,6,0,0,1,0,1,0,0,0,0,9,6,1,0,1,0,0,5,0,1,3,0,0,0,0,3,0,3,15,0,1,8,0,brontosaurus
1,5,0,0,5,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,8,5,0,0,1,0,0,3,0,0,3,15,1,0,0,3,0,5,11,0,1,3,0,brontosaurus
1,4,1,0,7,2,0,0,0,1,4,0,0,1,0,1,0,0,0,1,6,7,0,1,2,0,0,3,0,0,3,15,6,0,0,4,0,4,15,0,2,2,0,brontosaurus
2,3,2,2,12,2,1,1,1,2,9,1,1,2,1,2,1,0,4,1,11,12,2,2,3,1,0,12,1,2,3,13,12,1,1,3,1,2,11,1,2,11,1,brontosaurus
2,2,1,2,15,2,1,1,0,2,4,1,0,2,1,3,0,0,0,0,15,2,3,1,2,0,0,6,1,1,2,0,0,1,1,1,1,1,13,0,2,4,0,brontosaurus
2,6,1,0,11,2,0,0,0,2,5,0,0,2,0,2,0,0,0,0,8,9,0,0,2,0,0,2,0,0,5,15,4,0,0,5,0,6,13,0,3,5,0,brontosaurus
2,4,1,1,8,3,1,0,1,2,6,1,0,2,0,2,0,0,1,0,9,7,1,1,3,1,0,10,0,1,3,8,11,0,0,2,0,4,14,0,1,5,0,brontosaurus
2,5,2,1,11,3,0,0,0,3,6,0,0,1,0,4,0,0,1,0,9,12,0,0,2,0,0,7,0,0,5,5,15,0,0,6,1,6,15,0,2,6,0,brontosaurus
2,3,2,1,9,3,1,1,1,2,9,1,1,3,1,2,0,1,1,0,10,9,1,2,3,2,0,11,0,2,4,15,15,0,0,4,2,2,15,0,2,8,0,brontosaurus
2,3,2,1,6,1,0,1,0,2,8,1,1,1,0,0,0,0,1,0,7,10,0,0,2,0,0,7,0,1,1,15,10,0,0,2,0,4,12,0,1,9,0,brontosaurus
2,4,2,0,5,2,0,0,0,2,5,0,0,1,0,1,0,0,0,0,4,6,0,0,2,0,0,5,0,0,4,15,13,0,0,3,0,4,15,0,2,5,0,brontosaurus
1,4,1,0,15,1,0,0,0,1,5,0,0,3,0,3,0,0,1,0,15,15,0,0,2,0,0,9,0,0,4,8,0,0,0,4,0,4,15,0,1,4,0,brontosaurus
3,4,3,1,9,2,1,1,1,3,9,1,1,3,1,3,1,0,0,1,11,10,2,2,3,1,1,12,0,1,3,14,15,0,0,4,1,4,9,0,3,7,0,brontosaurus
2,3,2,2,8,4,1,1,1,3,7,1,1,3,0,2,0,0,0,0,11,0,2,1,3,3,1,13,0,2,5,0,0,0,0,2,0,3,10,0,1,0,1,brontosaurus
2,2,2,2,13,1,1,1,1,3,10,1,1,1,1,3,1,0,3,1,12,14,2,1,2,2,1,12,1,2,1,15,15,1,1,1,4,2,11,0,2,12,0,brontosaurus
2,4,2,1,6,3,0,0,0,2,5,0,0,2,0,3,0,0,2,0,8,4,1,1,2,0,1,6,0,0,4,0,15,0,0,5,1,4,2,0,2,4,0,brontosaurus
2,3,4,2,10,3,1,1,1,6,8,1,1,2,1,2,1,0,1,1,11,9,2,1,3,1,0,10,0,1,2,15,15,0,0,3,2,5,15,1,3,9,1,brontosaurus
2,2,2,2,12,3,1,1,1,3,10,1,1,1,1,2,1,1,4,1,12,12,2,1,3,2,2,13,1,2,3,15,15,1,2,3,3,2,15,1,2,11,2,brontosaurus
2,4,1,0,12,2,0,0,0,2,8,0,0,2,0,2,0,0,0,0,11,8,0,1,2,1,0,3,0,0,5,15,10,0,0,4,0,5,15,0,2,7,0,brontosaurus
2,2,2,1,7,3,1,1,1,2,5,1,0,2,0,4,0,0,0,0,11,9,2,1,2,1,0,11,0,1,3,15,13,0,1,3,1,2,7,0,1,6,1,brontosaurus
2,5,0,0,9,3,0,0,0,1,5,0,0,2,0,5,0,0,0,0,10,5,0,0,2,0,0,5,0,0,5,15,9,0,0,9,0,4,15,0,2,4,0,chandelier
3,7,2,1,8,3,1,1,0,2,7,0,0,3,0,3,0,0,0,0,9,7,1,0,3,1,0,6,0,0,7,15,10,0,0,5,1,6,14,0,3,5,0,chandelier
3,8,2,1,0,2,0,0,0,4,7,0,0,4,0,1,0,0,2,0,7,4,1,1,3,3,0,9,0,2,5,15,15,0,0,7,2,10,3,0,4,4,0,chandelier
2,6,2,0,4,3,0,0,0,3,6,0,0,2,0,5,0,0,0,0,7,8,0,0,3,0,0,6,0,0,5,15,15,0,0,10,0,6,11,0,2,6,0,chandelier
2,3,2,1,10,1,1,0,0,2,9,0,0,2,0,1,0,0,0,1,11,9,0,0,2,0,0,9,0,1,2,15,12,0,0,3,2,4,15,0,2,9,0,chandelier
3,7,3,1,0,2,1,1,0,6,6,0,0,3,0,1,0,0,2,0,6,4,1,1,3,2,0,11,0,1,4,15,15,0,0,4,1,8,11,0,3,3,0,chandelier
2,11,1,0,0,3,0,0,0,3,3,0,0,5,0,0,0,0,0,0,3,2,0,0,4,1,0,10,0,1,7,15,0,0,0,6,0,8,14,0,1,2,0,chandelier
2,3,1,0,6,2,0,0,0,1,8,1,0,2,0,3,0,0,1,0,8,9,0,1,2,1,0,8,0,0,3,15,2,0,0,3,1,2,0,0,2,9,0,chandelier
2,5,2,1,15,2,0,0,1,2,8,1,0,3,0,1,0,0,1,0,14,13,1,0,2,1,0,11,0,1,4,7,7,0,0,3,1,5,9,0,3,8,0,chandelier
2,5,3,1,12,3,0,1,1,3,8,1,0,3,0,3,0,0,1,0,8,11,1,0,3,1,0,9,0,1,5,15,10,0,0,3,0,7,0,0,2,8,0,chandelier
2,4,1,1,15,3,0,1,1,2,8,1,0,4,0,2,0,0,1,1,15,15,2,1,4,1,1,11,0,1,4,11,14,0,0,2,1,3,0,0,3,6,0,chandelier
3,4,2,1,15,2,1,0,1,2,9,1,0,4,0,1,0,0,1,0,14,15,1,1,3,2,0,10,0,2,3,10,5,0,0,3,1,3,15,0,2,9,0,chandelier
2,4,2,1,9,3,1,1,1,2,10,1,0,3,1,3,0,0,0,0,12,12,2,2,3,2,0,8,0,2,4,15,10,0,0,4,2,4,14,1,3,9,1,chandelier
2,5,1,1,9,4,0,1,1,2,7,0,0,2,0,1,0,0,0,0,10,8,0,0,3,0,0,8,0,1,6,15,10,0,0,2,0,3,15,0,2,8,0,chandelier
1,3,1,0,15,1,0,0,0,1,5,0,0,2,0,1,0,0,0,0,15,15,0,0,1,0,0,7,0,0,2,7,3,0,0,2,1,4,15,0,1,5,0,chandelier
2,6,0,1,8,3,0,0,0,1,5,0,0,2,0,5,0,0,0,0,8,4,1,0,3,0,0,3,0,0,6,13,15,0,0,8,0,1,15,0,2,8,0,chandelier
1,7,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,2,0,0,1,0,0,6,0,1,5,15,4,0,0,5,0,5,15,0,1,2,0,chandelier
2,6,3,0,9,2,0,0,0,5,6,0,0,2,0,1,0,0,0,0,9,6,0,0,2,0,0,10,0,0,4,15,9,0,0,3,0,9,15,0,2,5,0,chandelier
3,5,3,1,9,3,1,1,1,3,9,1,1,3,1,4,0,0,0,0,11,8,1,2,3,2,0,15,0,1,4,15,15,0,0,4,0,8,15,0,2,5,0,chandelier
2,5,3,1,6,3,0,1,0,4,7,1,0,3,0,2,0,0,1,0,9,9,0,1,3,1,0,9,0,1,6,15,15,0,0,4,1,5,15,0,2,8,0,chandelier
3,6,3,1,8,3,1,1,1,3,8,0,0,3,0,3,0,0,0,0,9,9,1,1,3,1,0,9,0,1,6,15,13,0,0,5,1,6,15,0,3,7,0,chandelier
2,6,1,0,13,3,0,0,0,4,5,0,0,2,0,2,0,0,0,0,13,10,0,0,3,0,0,12,0,0,5,15,12,0,0,4,1,5,11,0,2,4,0,chandelier
2,4,2,1,5,2,1,0,0,3,7,0,0,2,0,3,0,0,0,0,10,5,1,1,3,2,0,6,0,1,4,15,8,0,0,3,1,5,15,0,2,6,0,chandelier
2,7,2,1,8,3,1,0,0,4,8,0,0,3,0,2,0,0,1,0,10,6,1,0,4,1,0,9,0,1,6,15,13,0,0,5,1,9,15,0,3,7,0,chandelier
2,7,2,0,6,2,0,0,0,3,5,0,0,2,0,2,0,0,1,0,7,6,0,0,3,0,0,7,0,0,6,15,12,0,0,5,1,6,7,0,1,3,0,chandelier
3,3,2,2,12,2,1,1,1,2,11,1,1,2,1,3,1,0,2,0,14,10,2,2,2,2,1,11,0,3,3,15,8,0,0,2,3,3,15,0,2,8,0,chandelier
2,6,1,0,15,2,1,0,0,1,6,0,0,2,0,2,0,0,1,0,15,15,0,1,3,1,0,12,0,1,5,9,2,0,0,6,0,2,0,0,2,6,0,chandelier
2,7,2,0,6,5,0,0,0,9,5,0,0,2,0,2,0,0,0,0,11,14,0,0,9,0,0,12,0,0,6,12,15,0,0,4,1,7,8,0,1,7,0,chandelier
2,3,2,1,14,3,1,0,0,1,8,0,0,2,0,2,0,0,1,0,10,10,1,2,2,2,0,9,0,1,4,15,7,0,0,2,0,3,15,0,2,8,0,chandelier
2,3,2,1,7,2,1,0,1,3,9,1,0,2,1,0,1,0,2,0,9,8,1,1,2,1,0,10,0,1,3,15,9,0,0,4,1,3,15,0,3,8,0,chandelier
2,3,2,2,11,3,1,1,1,2,8,1,1,1,1,2,1,0,1,0,11,9,2,2,3,2,0,7,0,1,3,15,14,0,0,3,2,4,15,0,2,7,0,chandelier
2,4,1,0,13,1,0,0,0,1,7,0,0,3,0,2,0,0,0,0,9,5,0,0,2,0,0,8,0,0,5,15,7,0,0,3,0,2,1,0,2,7,0,chandelier
3,7,1,1,7,3,1,0,0,2,7,0,0,3,0,4,0,0,0,0,8,6,0,1,3,1,0,6,0,0,7,15,6,0,0,8,0,6,13,0,3,4,0,chandelier
