@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/sine-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 43'

@attribute 'Spatial Pyramid of Local Binary Patterns8' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns44' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns40' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns80' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns584' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns152' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns116' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns27' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns358' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns556' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns412' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns106' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns332' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns592' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns148' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns124' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns368' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns440' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns171' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns76' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns52' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns110' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns364' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns404' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns688' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns340' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns328' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns146' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns448' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns548' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns578' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns2' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns362' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns544' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns434' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns567' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns99' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
3,1,1,1,2,1,4,5,3,1,4,1,1,7,0,1,0,1,1,5,2,1,1,1,1,1,2,4,1,0,0,2,1,0,8,0,2,0,1,0,0,1,0,ant
3,2,3,2,3,3,2,3,2,4,15,4,2,15,2,3,2,3,3,4,2,4,2,2,3,3,2,2,2,0,2,4,3,3,4,2,4,4,3,3,5,4,3,ant
3,3,3,3,3,3,3,4,3,3,13,3,2,14,2,2,1,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,6,2,3,3,4,3,4,3,1,ant
5,1,5,1,6,2,3,4,3,2,15,2,2,11,6,2,5,1,1,5,1,1,1,2,2,1,2,4,1,2,1,1,1,1,6,0,2,3,2,1,1,2,0,ant
2,2,2,2,2,3,3,2,3,3,14,3,3,15,1,3,3,2,3,2,1,3,1,3,3,2,2,4,1,3,1,3,3,2,1,3,3,4,2,3,2,4,3,ant
6,2,5,2,7,2,5,6,4,2,13,3,2,11,4,2,8,2,2,6,2,2,2,2,2,1,2,4,1,2,1,2,2,2,10,4,3,2,2,2,2,2,0,ant
5,2,5,1,5,2,2,4,4,2,15,2,2,13,5,0,5,1,1,8,0,2,2,1,1,1,2,6,2,2,1,2,2,0,3,1,2,2,1,0,2,2,0,ant
5,1,5,1,3,1,5,6,6,1,3,1,2,15,1,0,0,1,2,4,12,1,0,1,2,2,1,8,1,0,0,1,1,3,5,0,2,1,1,3,1,2,0,ant
8,2,8,2,9,4,6,7,7,3,10,2,2,15,6,3,10,2,3,9,8,2,2,3,2,2,2,6,2,4,2,2,3,3,6,2,2,2,2,1,2,3,0,ant
4,3,4,2,4,3,2,4,4,4,12,5,2,15,2,2,4,4,3,5,0,4,2,3,3,2,2,4,3,2,1,3,3,0,5,2,4,4,4,0,4,4,1,ant
3,2,3,2,4,3,4,3,4,4,14,2,3,15,3,2,2,2,3,5,4,4,2,3,4,2,3,5,2,4,2,3,2,2,4,3,4,3,2,4,4,4,3,ant
5,2,3,1,5,2,6,6,7,2,6,5,5,11,3,2,3,3,3,5,7,2,1,2,2,3,2,7,2,1,1,3,3,2,9,3,2,3,5,1,3,2,0,ant
5,2,5,2,5,3,5,4,6,3,13,2,1,10,5,4,5,3,2,5,3,3,2,3,2,0,2,5,4,4,2,2,4,1,3,2,3,2,1,0,2,3,0,ant
5,3,5,3,0,3,5,5,5,3,15,2,4,6,2,3,0,2,4,8,5,3,1,3,3,2,4,7,4,1,2,2,3,5,4,3,3,5,1,2,1,1,1,ant
6,1,7,2,5,1,4,5,6,2,9,1,1,15,1,0,3,2,1,7,5,1,1,2,1,1,1,6,2,1,1,1,1,0,5,0,1,2,1,0,1,2,0,ant
5,2,4,1,4,4,15,7,4,3,15,2,2,15,3,13,2,3,3,4,3,4,3,2,2,1,1,4,2,1,1,5,5,3,3,4,3,1,2,1,3,3,1,ant
5,2,3,2,4,2,4,5,4,3,10,3,1,13,2,1,4,3,1,3,3,3,3,2,1,1,2,2,4,2,1,2,2,0,5,1,2,2,3,0,3,4,1,ant
6,2,6,3,5,3,5,8,5,3,15,3,2,11,6,2,2,2,3,7,3,2,1,4,2,1,3,6,2,3,2,2,3,3,8,2,3,4,1,1,2,2,0,ant
5,2,0,0,3,2,15,10,5,2,2,3,2,3,0,5,0,4,2,0,6,3,1,0,1,1,2,4,1,0,0,3,4,1,12,4,2,0,5,0,2,1,0,ant
3,2,2,2,2,2,3,2,3,4,14,2,2,12,1,2,4,3,3,3,4,4,2,2,5,4,2,3,3,2,2,5,3,4,2,4,4,4,4,6,3,3,2,ant
3,2,2,2,3,4,3,3,4,4,15,9,6,15,1,13,2,2,4,2,5,4,2,2,5,4,2,5,2,1,1,2,7,4,7,2,4,4,2,2,5,3,3,ant
5,1,4,1,5,1,4,6,5,1,9,2,2,7,4,1,3,1,2,4,4,1,0,1,1,1,2,6,1,1,0,1,1,3,6,0,1,2,1,2,2,1,0,ant
2,1,1,0,2,1,2,3,1,1,12,0,0,11,2,1,1,1,0,3,2,1,1,1,1,0,0,1,0,0,0,1,1,1,4,0,1,2,0,0,1,0,0,ant
6,2,5,1,7,2,1,4,5,2,15,2,1,15,3,1,2,4,2,6,6,3,2,1,2,1,2,5,5,1,2,2,2,3,6,0,2,3,2,1,2,2,0,ant
4,2,3,0,3,2,5,6,5,2,6,2,4,9,0,1,1,1,3,8,2,2,2,1,3,3,1,4,2,0,0,2,2,1,4,1,2,0,1,1,2,2,1,ant
9,1,5,1,0,2,8,8,15,2,0,0,2,0,0,2,0,1,5,6,15,1,0,1,3,2,1,10,0,0,0,2,1,6,6,2,2,0,0,4,0,0,0,brontosaurus
5,3,5,3,4,4,5,4,5,4,5,3,5,5,14,5,0,3,4,4,4,4,0,4,3,4,2,7,15,8,4,3,4,4,4,3,3,2,3,2,4,2,1,brontosaurus
2,1,3,1,3,1,1,0,0,1,3,2,0,9,0,1,0,1,1,5,1,0,1,2,1,0,1,0,0,0,0,1,1,1,0,1,1,2,1,1,1,1,1,brontosaurus
4,2,4,2,3,2,3,4,4,2,11,1,2,11,2,1,2,2,3,4,1,2,1,2,2,2,1,6,4,0,0,2,2,2,4,2,3,2,2,2,2,2,0,brontosaurus
5,2,5,2,2,2,5,6,5,2,10,3,2,6,3,1,1,2,2,8,5,1,1,3,2,2,2,5,0,2,1,1,2,2,6,1,2,1,3,1,2,0,0,brontosaurus
4,3,4,3,4,4,2,4,4,4,12,3,4,15,3,4,2,3,4,6,4,4,3,4,5,5,4,5,5,3,2,4,4,4,2,4,4,5,4,3,3,4,2,brontosaurus
4,3,4,2,3,3,4,3,4,4,14,2,4,15,3,2,2,3,4,3,3,4,3,3,4,4,2,4,3,2,2,4,3,3,3,3,4,5,4,4,5,5,2,brontosaurus
3,1,4,3,2,3,2,3,4,2,12,1,2,10,3,2,1,1,2,4,2,1,1,3,2,2,2,4,1,2,1,2,2,1,3,2,2,3,0,2,2,1,1,brontosaurus
3,2,3,1,4,2,4,4,3,2,8,1,1,14,0,2,0,2,2,3,3,3,2,2,2,1,2,2,2,8,0,2,2,3,1,2,2,4,1,1,3,2,0,brontosaurus
3,2,2,2,4,2,3,3,3,3,11,3,3,15,2,2,3,2,2,2,3,3,1,1,3,3,1,2,1,1,1,3,2,2,3,3,2,1,3,3,4,1,1,brontosaurus
4,2,4,2,3,3,4,3,4,3,15,3,3,15,0,2,0,2,3,6,3,2,1,3,3,2,1,5,5,3,0,2,3,3,4,1,2,3,2,3,3,1,1,brontosaurus
4,3,4,3,4,3,3,4,2,3,14,2,3,15,6,2,3,3,3,3,2,3,3,2,3,2,5,2,4,3,2,3,3,2,4,2,3,5,3,0,3,4,1,brontosaurus
4,2,3,2,4,2,3,4,3,3,12,3,3,14,1,2,2,3,3,3,3,4,3,2,3,2,1,4,2,2,1,4,3,2,4,3,3,1,3,3,4,4,1,brontosaurus
5,2,4,2,5,2,4,4,6,3,8,2,3,15,4,3,3,3,3,2,4,3,2,2,3,2,3,6,3,1,2,3,3,3,4,2,3,3,3,4,4,3,1,brontosaurus
8,3,10,4,0,3,8,7,8,3,0,2,3,0,0,3,0,2,3,2,9,2,0,5,3,2,0,6,15,0,0,2,2,4,6,4,3,3,2,5,1,0,0,brontosaurus
4,1,4,1,3,1,2,3,3,2,15,1,2,15,4,1,2,1,1,7,2,1,1,2,1,0,1,4,1,1,1,1,1,1,3,2,1,2,1,1,1,1,0,brontosaurus
3,2,2,2,2,3,6,4,3,4,12,3,4,10,2,5,2,3,3,3,4,4,2,2,2,4,3,5,4,2,1,4,4,3,2,3,3,4,2,2,4,3,2,brontosaurus
5,1,5,1,4,2,4,5,4,2,5,1,3,12,1,1,2,1,2,6,3,1,1,2,2,3,2,8,1,0,0,2,1,1,6,1,2,2,1,2,1,2,0,brontosaurus
4,1,4,1,4,2,2,4,3,2,0,2,2,15,0,2,0,1,2,3,2,2,2,2,2,2,1,5,2,0,0,3,2,3,7,3,2,3,1,4,1,2,1,brontosaurus
4,1,2,0,2,1,5,5,5,1,4,1,1,10,0,1,0,1,2,3,4,1,0,0,1,1,0,4,2,0,0,1,2,2,4,1,1,1,1,1,1,1,0,brontosaurus
3,2,5,2,2,2,2,3,2,3,15,2,1,15,2,0,0,2,1,4,1,2,2,3,1,1,1,2,1,2,0,1,1,0,4,0,2,2,2,0,1,4,1,brontosaurus
4,3,5,3,3,3,4,4,4,4,14,4,3,12,3,4,1,3,2,6,2,5,2,2,2,2,3,5,3,2,2,5,3,1,5,4,4,3,3,2,6,3,1,brontosaurus
5,1,5,2,4,2,3,5,5,2,15,0,4,15,3,1,3,1,2,4,3,1,1,2,1,1,1,10,2,1,1,2,2,2,4,1,2,1,1,1,0,2,0,brontosaurus
3,1,3,1,4,1,3,3,3,2,0,1,1,4,0,1,0,1,1,3,2,2,4,2,1,1,1,3,1,0,0,2,1,0,1,1,2,2,0,1,1,3,1,brontosaurus
5,1,5,0,5,1,3,4,3,2,1,0,2,14,0,1,8,1,0,4,4,2,1,1,1,1,0,4,0,0,0,0,1,0,4,0,1,0,0,0,1,2,0,brontosaurus
4,1,4,1,3,2,4,4,3,2,6,2,1,12,2,1,2,2,2,5,2,2,1,1,2,1,1,5,0,1,1,2,2,3,6,2,2,1,2,2,2,2,0,brontosaurus
3,2,2,2,4,3,3,3,3,4,12,3,2,15,2,2,3,2,2,2,2,4,3,2,3,2,2,3,3,4,3,3,3,2,2,3,3,3,2,3,3,5,2,brontosaurus
2,2,1,1,3,2,1,2,2,3,0,2,2,5,0,3,0,2,2,2,3,4,1,2,1,2,1,4,5,0,0,4,3,2,2,3,3,2,2,2,3,2,2,brontosaurus
6,2,6,1,3,2,5,7,5,2,4,5,3,15,0,2,1,3,2,6,5,3,1,2,1,2,1,7,1,0,1,2,3,2,10,2,2,0,4,2,3,1,0,brontosaurus
4,2,4,1,5,3,2,2,3,2,11,2,3,10,4,2,4,1,3,2,6,2,6,2,3,2,0,1,0,2,1,3,3,4,2,4,4,2,2,4,2,2,1,brontosaurus
5,2,6,2,5,2,6,5,5,3,15,2,2,15,5,4,4,2,3,5,9,3,1,3,2,1,2,5,2,2,1,2,2,5,5,2,2,2,2,4,2,2,1,brontosaurus
3,2,2,2,3,3,4,4,4,4,15,2,3,14,0,2,2,2,3,4,3,3,2,2,3,3,3,4,2,1,0,3,3,2,3,2,3,4,3,3,3,4,1,brontosaurus
3,2,4,2,3,2,2,3,1,3,10,2,0,11,3,0,3,1,1,2,1,1,2,2,0,1,2,2,0,2,2,1,0,1,4,0,3,2,1,0,2,3,1,brontosaurus
4,2,4,2,5,2,3,4,4,2,13,0,2,12,3,1,5,2,2,5,4,1,1,2,2,1,3,4,2,2,2,1,2,2,2,0,2,3,0,1,0,2,0,brontosaurus
4,1,4,1,1,2,4,6,4,1,0,4,2,7,0,3,0,1,1,5,3,1,0,1,1,3,2,6,1,0,0,1,3,1,6,0,2,2,3,0,2,0,0,brontosaurus
4,3,4,3,4,3,4,4,3,5,15,3,3,15,4,3,3,3,2,4,3,5,3,3,3,3,2,4,4,4,3,4,3,2,3,4,4,4,3,3,4,5,1,brontosaurus
3,2,3,2,0,3,2,2,5,3,0,5,3,15,0,2,0,1,4,2,5,3,0,3,3,3,2,4,0,0,0,3,3,5,3,3,3,4,1,2,4,0,2,brontosaurus
2,2,2,2,2,2,1,2,1,4,15,3,2,15,1,3,2,2,1,3,0,3,2,3,2,1,2,2,2,1,2,3,3,1,3,3,3,5,1,1,3,5,2,brontosaurus
4,2,4,2,1,2,5,3,4,3,15,2,2,7,0,3,0,2,3,3,5,3,1,2,2,2,1,4,1,1,2,3,2,3,3,4,3,5,2,3,2,1,1,brontosaurus
3,2,5,4,2,3,3,4,2,3,15,2,2,15,3,2,3,3,3,4,2,4,2,6,3,2,2,2,4,2,2,4,4,2,2,5,3,2,2,3,2,3,2,brontosaurus
2,2,2,2,2,3,3,3,3,3,15,2,3,12,1,2,2,2,3,1,4,3,2,3,2,1,1,3,3,2,0,3,2,4,2,3,3,3,2,2,2,3,2,brontosaurus
4,2,5,1,3,2,4,4,5,3,10,2,1,9,5,2,4,2,2,4,4,3,1,2,3,2,0,7,3,1,1,3,2,2,5,3,2,1,1,4,2,2,0,brontosaurus
2,2,2,2,2,2,3,3,3,3,13,3,2,12,2,4,2,1,3,2,3,3,2,2,1,2,2,3,1,1,2,2,3,3,3,2,2,2,2,1,2,2,1,brontosaurus
5,2,4,0,4,2,9,9,5,2,9,3,2,12,3,5,3,2,3,6,5,2,1,1,2,2,1,6,2,1,0,2,4,2,7,1,2,2,3,2,3,1,0,chandelier
7,3,6,2,5,3,5,8,7,3,10,4,3,15,5,3,8,3,3,8,5,4,3,2,2,3,3,6,3,1,2,3,4,2,8,3,3,3,3,2,4,2,1,chandelier
8,3,10,2,7,3,7,7,5,3,15,3,3,7,8,1,6,4,2,4,4,3,1,4,2,4,4,4,6,1,1,4,3,0,5,2,3,4,4,0,4,1,1,chandelier
6,2,6,2,5,3,10,7,5,2,15,2,3,15,5,5,0,2,3,6,4,3,3,3,2,2,2,6,2,3,0,2,3,5,6,1,2,2,2,1,2,2,0,chandelier
3,2,4,2,3,2,3,1,2,2,12,2,2,9,3,1,2,2,1,5,2,0,2,2,1,2,3,3,0,2,1,1,1,0,1,0,2,3,2,1,3,2,1,chandelier
7,3,8,3,6,3,4,8,4,3,15,4,3,8,8,1,5,3,2,7,5,2,1,6,2,3,4,3,4,3,2,4,4,0,5,2,3,6,4,1,3,1,1,chandelier
11,2,8,1,8,4,6,7,7,2,0,2,4,4,7,0,6,1,3,6,6,1,1,3,1,5,3,8,3,0,0,1,2,0,4,0,2,4,2,1,2,1,0,chandelier
3,2,2,1,3,2,3,4,3,3,2,4,3,9,0,3,0,2,2,4,2,3,3,1,2,2,3,4,1,0,0,2,3,1,6,2,3,2,3,1,3,4,0,chandelier
5,2,5,2,5,2,3,5,4,3,7,3,2,10,5,1,4,3,2,6,2,3,2,2,2,3,3,5,5,2,2,3,3,0,5,2,3,3,2,1,3,3,1,chandelier
5,2,7,3,6,3,3,5,5,3,10,3,4,14,5,3,6,2,3,8,2,3,3,3,2,3,2,6,2,1,3,3,3,2,4,2,3,4,2,1,3,3,1,chandelier
4,2,3,1,3,4,2,4,4,3,14,5,5,11,3,2,2,3,3,6,2,4,2,2,2,4,4,6,2,1,0,3,4,3,6,2,2,3,3,2,3,3,1,chandelier
4,3,3,2,5,3,3,5,3,3,5,3,3,11,2,1,2,2,2,5,1,3,4,2,2,4,3,4,3,1,2,3,3,1,5,0,3,4,2,1,3,3,1,chandelier
4,2,4,2,4,3,4,4,4,3,10,3,3,12,1,3,2,3,3,6,3,3,2,2,4,3,2,3,2,2,2,4,3,2,4,3,4,3,3,3,4,2,1,chandelier
5,2,3,1,5,3,2,3,6,3,10,3,4,11,1,1,1,2,4,4,8,2,1,2,3,2,2,5,1,0,1,2,2,3,5,1,3,3,1,2,2,1,1,chandelier
3,1,4,1,4,1,2,2,2,1,3,2,1,6,2,1,1,1,1,4,1,1,1,1,1,2,3,4,0,0,0,0,1,0,4,0,1,3,2,0,1,1,0,chandelier
6,2,1,0,5,3,8,7,6,2,15,3,2,9,2,5,4,2,3,4,9,3,1,1,2,2,0,8,1,1,0,3,4,8,8,2,2,1,2,4,2,1,1,chandelier
7,1,5,0,5,1,5,6,5,1,4,1,3,4,5,0,5,1,0,7,4,0,0,0,0,2,3,6,3,0,0,0,1,0,8,0,1,3,1,0,1,0,0,chandelier
6,2,9,3,7,2,3,5,4,2,9,2,5,11,5,1,5,2,2,13,2,2,1,5,2,2,4,9,2,2,1,1,2,1,8,1,2,3,2,1,2,1,0,chandelier
5,3,8,3,6,3,4,4,4,4,15,3,3,12,4,4,2,2,3,15,3,4,2,3,3,3,5,5,2,2,2,3,3,3,7,3,3,3,2,2,4,2,1,chandelier
5,2,5,3,2,3,4,5,6,3,15,3,3,15,5,2,2,2,3,5,3,3,1,4,3,3,3,7,1,3,2,3,3,3,5,3,3,5,2,2,3,2,1,chandelier
6,3,6,3,8,3,5,5,6,3,13,3,3,15,5,3,5,3,3,9,5,3,3,3,3,3,3,7,3,2,2,3,3,3,5,3,3,3,3,3,3,3,1,chandelier
6,2,5,1,7,3,4,5,5,2,12,1,3,15,5,2,7,2,3,4,4,3,2,4,2,2,1,4,2,2,1,2,2,2,4,1,2,1,2,2,2,2,0,chandelier
4,2,5,2,4,3,3,4,4,3,8,3,2,10,2,3,0,2,2,7,3,3,2,3,2,2,2,4,3,1,1,2,4,5,4,1,2,3,2,1,6,1,1,chandelier
7,2,9,2,7,4,5,7,6,3,13,3,3,9,4,2,3,3,3,10,5,3,2,4,2,3,2,6,3,3,0,3,3,2,7,2,3,3,3,2,3,3,1,chandelier
7,2,6,2,5,3,5,6,6,2,12,5,3,12,4,2,4,1,2,9,8,2,1,3,1,2,3,6,2,2,1,2,3,4,10,2,2,2,2,2,5,2,0,chandelier
3,3,3,2,3,2,2,1,3,4,8,3,2,12,0,3,0,2,2,5,2,5,3,2,4,2,3,4,2,0,2,3,2,2,2,4,4,3,2,3,5,4,2,chandelier
6,2,2,1,7,3,6,6,5,2,2,3,2,11,2,2,8,2,2,3,4,2,2,1,2,2,1,5,2,0,1,2,3,0,6,2,2,2,2,0,1,2,0,chandelier
7,2,7,2,8,9,4,6,6,2,15,3,2,14,3,2,3,1,5,7,4,1,3,9,1,2,2,4,1,2,2,1,8,2,5,1,2,2,2,1,2,3,0,chandelier
3,2,3,2,3,2,2,2,4,2,7,2,4,15,2,2,2,2,3,2,3,2,1,1,2,2,1,5,2,1,1,2,2,3,2,1,2,1,2,3,2,2,1,chandelier
3,2,3,2,4,2,4,3,3,3,9,2,2,11,4,0,4,3,2,5,4,4,1,3,3,2,4,2,4,3,1,3,2,2,2,2,3,4,3,2,5,3,1,chandelier
3,2,4,2,3,3,3,3,3,4,14,3,2,15,2,2,2,2,3,4,3,4,2,2,3,1,2,2,4,2,2,4,3,3,3,4,3,2,2,4,4,3,2,chandelier
4,2,2,1,3,2,3,4,5,2,7,4,1,9,1,2,3,2,1,5,3,2,1,1,2,3,1,6,2,0,1,2,2,1,5,2,2,3,2,1,3,1,0,chandelier
7,3,6,1,3,3,8,7,7,3,6,4,4,11,3,4,0,3,3,6,7,3,1,2,3,3,1,7,3,2,0,3,4,3,6,3,3,2,3,3,3,2,1,chandelier
