@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 30'

@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns24' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns25' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns359' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns139' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns14' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns103' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns18' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns358' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns21' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns175' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns411' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns362' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
0,0,0,0,0,0,1,2,1,15,0,0,0,8,0,0,0,0,7,13,0,0,1,0,8,0,0,0,0,5,ant
0,2,2,2,1,1,1,0,2,7,1,1,1,0,2,2,1,1,8,12,1,1,1,1,0,2,1,0,0,6,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,brontosaurus
2,1,3,3,2,1,1,1,2,0,2,2,2,6,3,3,1,0,8,9,1,0,3,1,12,2,2,1,1,4,brontosaurus
0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,7,brontosaurus
3,1,1,1,1,1,4,1,2,15,1,1,2,4,2,3,1,1,11,12,1,0,1,1,5,1,1,0,1,3,brontosaurus
1,2,1,0,0,0,0,1,0,7,1,1,2,10,0,1,0,0,7,10,0,0,0,0,8,1,1,0,1,11,brontosaurus
2,2,4,4,1,2,4,2,4,11,1,2,2,13,3,3,1,4,6,13,1,1,3,1,14,2,2,3,1,6,brontosaurus
2,1,3,3,1,1,3,2,4,5,2,2,2,10,3,3,2,3,5,12,1,2,3,1,15,2,2,2,0,6,brontosaurus
5,1,1,1,0,1,1,1,1,7,0,0,4,11,1,1,0,1,4,9,0,0,1,1,15,1,1,0,1,2,brontosaurus
3,1,1,1,1,1,1,1,1,0,1,1,2,15,1,1,1,0,9,5,1,0,1,1,5,1,1,0,0,1,brontosaurus
1,1,2,1,1,1,2,2,2,12,1,1,2,11,1,2,1,0,10,11,2,2,3,2,15,1,1,2,3,9,brontosaurus
1,0,2,2,1,1,2,1,2,0,0,1,1,6,2,1,1,1,8,8,1,0,2,0,15,2,2,2,0,5,brontosaurus
2,2,3,2,1,1,2,2,2,13,1,1,2,11,2,2,2,3,5,12,2,2,2,1,11,2,2,3,1,5,brontosaurus
1,1,2,3,1,1,2,2,3,7,1,1,1,14,3,3,1,3,6,13,1,1,2,1,15,1,2,3,1,7,brontosaurus
2,1,2,2,1,1,1,0,2,15,1,1,1,8,1,1,1,2,7,6,1,1,2,1,8,2,1,2,1,8,brontosaurus
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,9,3,0,0,0,0,0,1,0,0,1,3,brontosaurus
2,2,0,0,0,0,0,1,0,15,0,0,1,2,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,2,brontosaurus
1,1,4,5,1,1,4,2,3,3,1,2,1,15,4,3,1,4,9,11,2,1,4,1,11,2,2,5,1,4,brontosaurus
0,0,0,0,0,0,1,0,0,4,0,0,0,8,0,0,0,0,6,3,0,0,0,0,10,0,0,0,0,3,brontosaurus
0,0,2,1,0,0,1,1,2,0,0,1,0,0,2,2,1,2,11,4,1,0,1,0,0,1,1,1,0,7,brontosaurus
2,1,1,0,1,0,1,1,1,0,1,0,2,0,0,0,1,0,15,4,1,5,1,0,0,0,0,0,0,9,brontosaurus
1,1,1,1,1,1,3,2,1,4,1,1,7,3,1,1,1,0,13,8,1,1,1,1,4,0,0,1,1,5,brontosaurus
1,1,3,3,1,1,4,0,3,4,1,1,1,10,3,3,1,1,5,11,1,1,3,1,15,2,2,4,1,5,brontosaurus
1,1,1,1,1,1,0,2,1,15,1,1,1,10,2,0,1,2,13,5,1,0,1,0,15,1,1,1,0,8,brontosaurus
1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,9,8,1,0,0,0,0,1,1,0,1,5,brontosaurus
1,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,brontosaurus
2,1,1,1,0,1,2,1,2,14,1,1,2,12,2,1,0,0,12,6,0,2,1,1,6,1,1,1,1,3,brontosaurus
1,2,4,4,1,1,2,1,3,4,1,1,1,12,4,4,1,3,4,11,1,2,4,2,15,2,2,4,1,2,brontosaurus
2,1,2,2,1,1,0,1,2,0,1,0,1,0,2,0,1,1,4,5,1,0,2,0,0,1,1,2,1,0,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,1,5,brontosaurus
1,1,2,2,1,1,2,0,2,15,1,1,1,11,1,1,1,1,9,4,1,0,4,0,10,1,1,3,0,4,brontosaurus
0,1,1,1,0,0,1,0,1,7,0,0,0,8,1,1,1,0,12,7,0,0,1,1,13,0,0,1,1,6,brontosaurus
1,1,3,3,1,1,3,1,3,11,1,1,1,13,3,5,1,3,7,13,1,1,4,1,10,2,2,3,1,3,brontosaurus
2,2,3,2,1,1,0,0,0,6,1,1,1,11,0,2,1,3,4,5,1,1,1,0,11,2,2,1,0,5,brontosaurus
1,0,1,1,0,1,0,1,0,15,0,0,1,11,1,0,1,1,9,6,1,0,0,0,14,1,1,0,0,5,brontosaurus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,0,0,0,0,0,0,0,7,brontosaurus
2,2,2,2,1,1,3,1,3,1,1,1,2,14,3,3,1,2,4,13,1,1,3,1,15,1,1,2,1,5,brontosaurus
1,1,4,3,1,1,4,1,3,0,1,1,1,0,4,5,1,0,5,13,1,0,4,1,0,2,2,2,1,4,brontosaurus
1,1,3,3,1,1,1,3,1,1,1,1,1,11,1,1,1,4,3,9,1,2,3,1,15,1,1,3,1,2,brontosaurus
1,1,2,2,1,1,2,0,3,0,1,1,1,2,2,1,1,1,8,7,1,1,2,0,0,2,1,2,0,6,brontosaurus
1,0,3,3,1,1,3,2,4,9,1,1,1,15,2,3,1,3,6,8,1,1,3,1,13,2,2,3,0,0,brontosaurus
2,1,5,5,1,1,6,1,6,2,1,1,2,14,5,5,2,5,5,13,2,2,4,1,15,2,1,5,1,3,brontosaurus
3,3,2,2,2,1,2,1,3,15,1,1,2,9,3,2,1,1,8,12,1,2,2,2,14,2,2,2,2,3,brontosaurus
1,1,3,2,1,1,4,0,3,11,1,1,1,12,2,3,1,1,12,5,1,0,3,1,15,1,2,3,1,6,brontosaurus
0,1,0,0,0,0,1,1,1,15,0,0,0,3,1,1,0,0,9,8,0,0,1,0,6,0,0,0,1,6,chandelier
1,1,1,1,1,1,1,1,1,15,1,0,2,6,1,1,1,1,9,6,0,1,2,1,12,1,1,2,1,7,chandelier
2,2,1,1,0,0,3,3,2,15,1,0,1,1,2,4,0,0,8,15,0,1,2,1,1,0,0,1,1,5,chandelier
2,2,1,1,0,0,1,2,1,0,1,1,2,11,1,1,1,1,12,7,1,0,1,1,13,0,0,0,1,11,chandelier
2,2,1,1,1,1,3,0,3,5,1,1,3,9,2,1,1,1,4,11,1,1,0,1,12,1,1,0,1,8,chandelier
0,2,1,1,0,0,2,2,2,15,0,0,1,3,1,2,1,1,7,10,0,2,1,1,4,0,0,1,2,9,chandelier
0,0,0,0,0,0,1,2,0,15,0,0,0,1,0,2,0,0,11,9,0,0,0,0,1,0,0,0,1,5,chandelier
3,2,3,3,1,1,3,3,3,3,1,1,3,0,2,2,1,3,6,15,1,4,3,2,0,2,1,3,2,4,chandelier
3,3,2,2,1,1,3,1,3,7,1,1,2,15,2,1,1,2,6,10,1,1,2,1,8,1,1,1,2,4,chandelier
1,1,1,1,1,0,1,1,1,15,1,1,1,12,1,1,1,1,11,8,0,1,1,0,12,1,1,1,0,4,chandelier
2,3,1,1,0,0,1,3,1,4,0,0,3,15,1,1,0,0,7,9,0,3,1,1,3,0,0,1,1,3,chandelier
1,1,3,2,1,1,2,1,2,6,1,1,2,15,2,2,1,2,8,12,1,2,3,1,5,1,1,2,1,7,chandelier
2,1,4,3,2,2,5,1,5,8,1,1,2,8,4,5,1,2,5,14,1,1,4,2,7,1,2,2,2,5,chandelier
2,2,2,1,1,1,2,1,1,15,1,1,1,8,1,2,1,1,8,13,1,1,2,1,6,1,1,2,1,9,chandelier
1,2,0,0,0,0,1,2,1,9,0,0,1,8,0,1,0,0,4,8,0,1,0,0,4,0,0,0,0,5,chandelier
1,0,1,1,0,1,1,0,1,15,1,1,2,4,2,2,1,0,10,2,1,5,1,0,7,1,1,1,1,0,chandelier
0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,8,2,0,0,0,0,3,0,0,0,0,0,chandelier
1,0,0,0,0,0,1,1,0,10,0,0,1,15,0,0,0,0,12,6,1,1,0,0,10,1,0,0,0,7,chandelier
1,1,2,2,1,1,2,2,2,6,1,1,2,6,2,2,1,0,4,9,1,1,2,0,7,2,2,2,1,5,chandelier
2,1,1,2,1,1,2,1,1,15,1,1,1,15,1,1,1,1,8,10,1,0,1,1,14,2,2,2,1,4,chandelier
1,1,2,1,1,1,2,1,2,8,1,1,1,10,1,1,1,1,8,9,1,1,1,1,15,1,1,1,1,7,chandelier
4,3,0,0,0,0,1,2,0,8,0,0,4,11,1,1,0,0,7,7,0,2,0,0,15,0,0,0,0,1,chandelier
3,1,1,0,0,0,1,2,1,2,1,0,3,4,1,1,1,0,6,8,1,4,0,0,3,1,1,0,1,7,chandelier
1,0,1,1,1,0,3,1,2,15,1,0,1,12,1,2,1,1,10,10,1,1,1,1,11,1,1,1,1,6,chandelier
0,0,0,0,0,0,0,1,0,15,0,0,0,5,0,0,0,0,7,2,0,0,0,0,3,0,0,0,0,2,chandelier
1,1,3,3,1,1,4,3,2,1,1,1,2,7,2,4,1,2,2,15,1,1,3,1,9,1,2,3,1,6,chandelier
1,1,1,0,0,0,1,0,1,15,0,0,1,9,0,0,0,0,10,6,0,2,1,1,12,1,0,0,1,2,chandelier
1,3,0,0,0,0,1,4,0,5,0,0,2,15,0,0,0,0,15,7,0,4,0,0,4,0,0,0,0,6,chandelier
2,1,2,2,1,1,2,2,2,4,1,1,2,1,3,3,1,1,7,10,1,1,3,1,1,2,2,3,1,5,chandelier
1,2,2,3,1,1,3,1,3,6,2,2,1,13,2,2,1,3,4,13,2,2,2,1,9,1,1,3,1,11,chandelier
3,1,2,2,1,1,3,1,2,7,1,1,3,10,2,1,1,1,6,7,1,1,2,1,14,1,1,2,1,3,chandelier
1,0,0,0,0,0,0,1,0,15,0,0,1,5,0,0,0,1,7,2,0,0,0,0,8,0,0,0,0,3,chandelier
1,2,2,1,1,1,2,2,2,0,1,1,1,5,2,2,2,0,15,12,2,0,2,1,6,1,1,2,2,7,chandelier
3,3,1,1,1,1,2,1,1,10,1,0,2,5,2,2,0,1,6,11,1,1,2,1,15,1,1,1,2,4,chandelier
1,1,3,2,1,2,3,2,2,0,1,1,1,15,3,3,1,1,8,12,1,1,3,2,0,1,1,2,2,8,chandelier
2,1,2,1,1,1,1,1,1,3,1,1,2,12,1,1,1,1,6,7,1,2,1,1,15,1,1,1,0,6,chandelier
3,2,1,1,1,1,1,2,1,13,0,1,3,15,2,1,1,1,7,10,0,5,1,1,15,1,1,2,0,4,chandelier
5,0,2,2,1,1,3,1,2,6,1,1,4,14,2,3,1,1,8,13,2,1,2,1,14,1,1,2,1,9,chandelier
0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,13,3,0,0,0,0,6,0,0,0,0,7,chandelier
0,0,0,0,0,0,1,0,0,5,0,0,2,12,0,0,0,0,12,6,0,0,0,0,11,0,0,0,0,7,chandelier
0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,1,7,2,0,0,0,0,4,0,0,0,0,5,chandelier
6,3,1,1,1,1,1,2,0,14,0,1,5,6,1,1,1,0,9,10,1,1,1,0,8,1,1,1,1,2,chandelier
2,2,2,2,1,1,3,2,3,4,1,1,2,14,3,4,1,3,4,14,1,2,2,1,15,2,2,2,1,4,chandelier
1,1,2,1,1,1,2,1,2,15,1,1,1,11,2,2,1,0,10,10,1,3,2,1,15,1,1,2,2,2,chandelier
0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,7,4,0,0,0,0,7,0,0,0,0,2,chandelier
2,2,3,3,1,1,3,1,2,6,1,1,3,11,3,4,1,3,8,14,1,2,3,1,10,1,1,2,1,6,chandelier
2,3,2,1,1,1,2,2,3,8,1,1,3,8,2,2,1,0,6,10,1,4,2,1,9,1,1,2,1,5,chandelier
2,2,2,2,1,1,2,2,2,6,1,1,3,11,3,3,1,2,5,12,1,3,2,1,15,1,2,2,1,4,chandelier
1,2,0,0,0,0,0,1,0,15,0,0,1,4,0,0,0,0,7,3,0,0,0,0,2,0,0,0,0,2,chandelier
1,1,1,1,0,0,2,1,1,15,1,0,1,10,1,1,1,1,9,9,1,0,1,0,9,1,1,1,1,6,chandelier
2,3,1,0,0,0,1,2,1,8,1,1,3,0,0,0,1,1,6,9,1,5,1,1,1,0,0,1,1,3,chandelier
1,2,1,1,1,0,1,2,1,4,1,1,4,9,1,1,1,0,12,9,1,1,2,1,14,1,1,1,1,6,chandelier
0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,7,2,0,0,0,0,2,0,0,0,0,3,chandelier
2,1,2,2,1,1,2,1,2,8,1,1,2,15,2,2,1,3,9,13,1,2,2,1,12,2,1,2,1,7,chandelier
1,1,2,2,1,1,2,1,2,7,1,1,2,8,2,3,2,3,9,10,1,0,2,1,12,2,2,2,1,6,chandelier
1,1,3,5,2,2,3,2,3,8,1,1,2,14,5,5,1,5,9,14,2,1,3,1,15,2,3,4,1,4,chandelier
1,1,2,2,1,1,3,1,2,7,1,1,1,10,2,3,2,1,8,12,2,1,3,1,5,1,2,2,1,10,chandelier
1,1,2,1,1,1,1,1,2,14,1,1,1,10,1,2,1,2,7,9,1,1,2,0,13,1,1,1,1,6,chandelier
2,2,2,2,1,1,1,2,2,8,1,1,2,13,2,1,1,2,8,11,1,2,1,1,15,1,2,2,1,8,chandelier
3,3,1,1,0,1,1,5,1,15,0,0,3,2,1,1,1,1,4,12,1,3,1,0,1,1,1,0,0,4,chandelier
2,2,2,2,1,1,3,1,3,9,1,1,2,10,3,3,1,2,6,13,1,2,2,1,10,1,2,2,1,6,chandelier
1,0,1,1,0,0,2,0,1,15,0,0,1,14,1,1,0,0,11,8,0,0,1,1,15,1,1,1,1,4,chandelier
4,3,1,1,1,1,2,4,1,4,1,1,3,10,1,2,1,1,4,14,1,2,1,1,14,1,1,1,1,5,chandelier
2,2,2,3,2,1,4,1,3,5,1,1,2,11,4,5,1,2,10,12,2,2,3,1,15,2,2,2,1,6,chandelier
3,3,2,2,1,1,2,2,2,15,1,1,2,13,2,2,1,1,8,11,1,1,2,1,15,2,1,2,1,4,chandelier
0,1,1,0,0,0,0,1,1,15,0,0,1,6,0,0,0,1,9,7,0,2,0,0,6,1,1,0,0,3,chandelier
2,2,1,1,1,1,2,1,1,15,2,1,2,8,1,1,1,1,10,14,1,2,1,1,14,1,1,1,1,8,chandelier
2,3,0,0,0,0,1,1,1,7,0,0,2,15,1,0,0,0,8,5,0,4,0,0,6,0,1,0,0,0,chandelier
1,1,1,1,0,1,1,1,1,15,0,0,1,11,1,1,1,2,9,9,0,0,1,0,5,1,1,1,1,6,chandelier
2,2,1,1,1,1,1,1,1,12,1,1,2,12,1,2,1,2,9,11,1,2,1,1,15,1,2,1,0,6,chandelier
1,1,1,1,0,0,1,3,1,15,0,0,1,11,1,2,0,0,7,9,0,1,1,0,12,1,1,1,0,1,chandelier
2,2,0,0,0,0,0,2,0,15,0,0,1,4,0,0,0,0,8,7,0,1,0,0,5,0,0,0,1,8,chandelier
6,2,1,1,1,1,1,3,1,6,0,1,4,15,1,1,1,1,12,8,1,5,2,1,15,1,1,1,1,4,chandelier
1,0,3,3,1,1,3,2,3,1,1,1,1,5,3,4,1,2,4,14,1,1,3,1,8,1,1,3,1,3,chandelier
1,1,3,3,1,1,3,1,2,8,1,1,1,15,2,2,1,3,6,10,1,1,3,1,14,2,2,3,2,4,chandelier
1,2,1,1,1,1,2,1,1,14,1,1,1,9,1,2,1,1,15,12,1,2,1,0,15,1,1,1,1,11,chandelier
1,1,2,2,1,1,2,2,2,6,1,1,2,6,2,2,1,2,6,11,1,2,2,1,7,1,1,2,2,4,chandelier
2,2,1,1,1,1,1,3,1,3,1,1,2,6,1,2,0,1,3,14,0,2,1,1,0,1,1,1,2,3,chandelier
2,3,1,2,1,1,2,2,1,10,1,1,3,8,1,2,1,1,7,12,1,5,2,1,15,1,1,2,1,2,chandelier
2,1,1,1,1,1,1,1,1,9,1,1,2,6,1,0,1,0,14,9,1,5,1,1,15,1,1,1,1,4,chandelier
0,0,1,1,0,0,0,0,0,15,1,0,1,12,1,1,1,1,8,7,1,1,1,0,15,1,1,1,0,4,chandelier
2,3,1,1,0,0,1,2,1,11,1,1,2,10,0,0,1,1,8,2,1,1,1,0,15,1,1,1,0,3,chandelier
3,3,1,0,1,1,1,3,1,15,1,1,2,7,0,0,1,0,13,8,1,2,1,1,9,1,1,1,1,7,chandelier
2,2,2,2,1,1,2,1,2,13,1,1,1,8,2,1,2,2,10,12,1,0,3,1,7,2,1,2,1,5,chandelier
1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,9,9,1,1,1,1,3,1,1,1,1,8,chandelier
3,3,1,1,0,1,1,4,1,7,1,0,4,0,1,1,1,1,8,9,1,3,1,1,0,1,1,1,1,3,chandelier
1,2,0,0,0,0,1,1,0,15,0,0,1,15,0,0,0,0,15,5,0,0,0,0,5,0,0,0,1,8,chandelier
2,2,1,0,0,1,0,1,1,7,1,1,2,8,0,0,1,1,15,7,1,2,1,1,12,0,0,0,1,8,chandelier
2,2,1,1,1,1,1,2,1,5,1,1,2,13,1,1,1,1,7,9,1,1,1,1,15,1,1,1,1,5,chandelier
2,2,2,2,1,1,2,1,2,8,1,2,2,12,2,2,2,2,9,11,2,1,1,2,15,1,1,1,2,11,chandelier
2,1,1,1,1,1,1,2,1,5,1,1,4,5,1,1,1,2,9,9,1,6,1,1,5,1,1,1,1,4,chandelier
2,2,3,3,1,1,1,5,3,2,1,1,2,15,3,1,1,4,3,15,1,2,3,2,15,2,1,3,0,0,chandelier
0,0,0,0,0,0,1,0,0,15,0,0,0,1,0,0,0,0,6,3,0,0,0,0,1,0,0,1,0,14,chandelier
