@relation datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original

@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns176' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns485' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,1,2,0,1,brontosaurus
1,1,0,0,1,brontosaurus
0,0,1,0,0,brontosaurus
0,2,1,0,1,brontosaurus
4,4,1,0,2,brontosaurus
1,3,1,0,1,brontosaurus
0,0,0,0,0,brontosaurus
2,1,0,1,1,brontosaurus
1,1,0,0,1,brontosaurus
3,3,1,0,1,brontosaurus
3,1,0,0,2,brontosaurus
1,0,1,0,0,brontosaurus
0,0,0,0,0,brontosaurus
2,3,1,1,2,brontosaurus
5,4,1,0,1,brontosaurus
2,3,3,2,1,brontosaurus
1,3,0,0,1,brontosaurus
2,4,2,1,0,brontosaurus
4,4,1,3,1,brontosaurus
2,1,1,0,3,brontosaurus
3,4,0,0,1,brontosaurus
0,0,1,0,1,chandelier
1,2,1,0,1,chandelier
0,2,3,0,2,chandelier
0,1,2,0,2,chandelier
2,0,0,0,2,chandelier
0,1,2,0,2,chandelier
0,0,2,0,0,chandelier
3,2,3,1,2,chandelier
1,2,1,0,3,chandelier
1,2,1,0,1,chandelier
0,2,3,0,3,chandelier
3,2,1,1,1,chandelier
2,3,1,0,1,chandelier
2,1,1,0,2,chandelier
1,1,2,0,2,chandelier
0,2,0,0,0,chandelier
0,0,0,0,0,chandelier
1,0,1,0,0,chandelier
2,3,2,0,1,chandelier
2,2,1,0,1,chandelier
1,2,1,0,1,chandelier
0,1,2,0,3,chandelier
1,2,2,0,1,chandelier
0,2,1,0,0,chandelier
0,0,1,0,0,chandelier
3,4,3,2,1,chandelier
1,0,0,0,1,chandelier
0,0,4,0,3,chandelier
1,3,2,0,1,chandelier
2,3,1,1,2,chandelier
1,2,1,0,1,chandelier
0,0,1,0,0,chandelier
0,2,2,0,2,chandelier
0,1,1,0,3,chandelier
0,1,2,0,1,chandelier
2,3,1,0,1,chandelier
1,3,2,2,2,chandelier
0,2,1,0,0,chandelier
0,0,0,0,0,chandelier
0,0,0,0,0,chandelier
0,0,0,0,0,chandelier
1,1,2,0,3,chandelier
2,3,2,1,2,chandelier
0,4,1,0,1,chandelier
0,0,0,0,0,chandelier
3,2,1,1,2,chandelier
1,2,2,0,3,chandelier
2,3,2,1,2,chandelier
0,0,1,0,2,chandelier
1,3,1,0,1,chandelier
0,2,2,0,3,chandelier
1,2,2,0,2,chandelier
0,0,0,0,0,chandelier
2,2,1,0,1,chandelier
2,3,1,0,1,chandelier
3,3,2,1,1,chandelier
3,2,1,0,1,chandelier
1,3,1,0,1,chandelier
1,2,2,0,2,chandelier
1,2,5,0,3,chandelier
2,2,1,0,2,chandelier
0,1,0,0,0,chandelier
1,1,4,1,3,chandelier
2,3,1,1,2,chandelier
1,2,2,0,3,chandelier
0,1,1,0,1,chandelier
1,1,1,0,2,chandelier
0,1,1,0,3,chandelier
2,1,1,0,1,chandelier
0,3,1,0,2,chandelier
1,1,3,0,1,chandelier
1,0,2,0,2,chandelier
1,2,3,1,2,chandelier
2,2,2,0,0,chandelier
3,3,1,0,1,chandelier
1,0,1,0,2,chandelier
2,3,2,0,1,chandelier
3,1,3,0,2,chandelier
1,3,2,0,3,chandelier
0,1,1,0,1,chandelier
0,1,0,0,0,chandelier
1,2,2,0,3,chandelier
1,2,3,0,3,chandelier
2,3,1,1,2,chandelier
1,1,0,0,1,chandelier
0,2,4,0,3,chandelier
0,0,1,0,2,chandelier
1,0,1,0,2,chandelier
1,3,2,1,2,chandelier
3,1,1,1,2,chandelier
0,3,2,0,1,chandelier
3,2,5,1,2,chandelier
0,1,0,0,0,chandelier
1,3,2,0,2,chandelier
4,2,1,0,2,chandelier
3,3,1,0,1,chandelier
0,0,2,0,1,chandelier
0,2,1,0,2,chandelier
1,1,1,0,2,chandelier
2,2,2,0,2,chandelier
0,0,1,0,1,chandelier
1,2,1,0,1,chandelier
2,2,1,0,1,chandelier
3,3,3,1,3,chandelier
2,2,3,0,1,chandelier
1,2,1,0,2,chandelier
1,2,2,0,2,chandelier
1,1,1,0,1,cup
1,1,0,0,0,cup
0,0,1,0,0,cup
0,0,0,0,0,cup
1,1,1,0,0,cup
1,2,1,0,2,cup
0,0,0,0,0,cup
4,2,9,1,2,cup
1,1,1,0,3,cup
1,0,4,0,1,cup
1,1,3,0,1,cup
0,2,1,0,2,cup
0,0,0,0,0,cup
0,0,0,1,0,cup
0,0,1,0,1,cup
0,1,0,0,1,cup
1,1,1,0,2,cup
0,0,1,0,2,cup
0,3,2,0,0,cup
1,2,1,0,1,cup
1,1,0,0,1,cup
0,0,1,0,3,cup
0,0,0,0,0,cup
0,0,0,0,1,cup
0,1,0,0,0,cup
0,0,0,0,2,cup
0,1,1,0,2,cup
0,0,2,0,0,cup
1,1,2,3,2,cup
0,3,1,0,1,cup
0,1,0,0,0,cup
0,0,0,0,0,cup
1,1,0,0,1,cup
1,1,1,0,1,cup
0,1,1,0,1,cup
1,4,5,1,1,cup
1,0,3,0,0,cup
0,0,2,0,0,cup
0,2,1,0,0,cup
2,3,1,2,1,cup
0,0,0,0,0,cup
1,1,1,0,4,cup
0,1,0,0,3,cup
2,2,4,0,0,cup
2,5,1,1,0,cup
0,2,1,0,1,cup
0,1,2,0,1,cup
0,0,2,0,2,cup
0,0,1,0,1,cup
0,3,0,0,0,cup
0,0,0,0,0,cup
0,1,0,1,0,cup
0,1,0,0,3,cup
1,0,0,0,0,cup
1,0,0,0,2,cup
0,2,1,0,0,cup
1,0,0,0,0,cup
1,2,4,0,5,ferry
0,0,2,0,2,ferry
1,0,4,0,3,ferry
2,3,1,0,3,ferry
0,1,1,0,2,ferry
1,0,1,0,2,ferry
1,0,3,0,0,ferry
2,2,3,1,2,ferry
0,1,3,0,3,ferry
1,1,5,0,3,ferry
0,1,3,0,2,ferry
2,0,6,0,7,ferry
0,0,2,0,1,ferry
1,1,2,0,3,ferry
2,1,1,1,3,ferry
1,1,3,0,3,ferry
0,0,2,0,2,ferry
0,0,3,0,2,ferry
0,1,2,0,3,ferry
1,2,1,0,1,ferry
1,2,4,0,3,ferry
1,1,2,0,2,ferry
0,1,2,0,2,ferry
2,0,2,0,0,ferry
0,1,2,0,1,ferry
0,1,5,0,2,ferry
1,0,2,0,3,ferry
2,3,2,0,1,ferry
1,2,3,0,5,ferry
1,1,3,0,4,ferry
0,2,2,0,1,ferry
1,1,4,0,2,ferry
3,2,2,0,2,ferry
1,2,2,0,2,ferry
0,1,4,0,2,ferry
1,1,1,0,5,ferry
2,2,1,0,1,ferry
2,1,2,0,2,ferry
0,1,0,1,1,ferry
1,1,2,0,3,ferry
0,1,4,0,2,ferry
1,2,1,0,2,ferry
1,1,2,0,2,ferry
2,1,1,1,1,ferry
1,2,2,1,2,ferry
0,0,3,0,2,ferry
2,1,4,0,3,ferry
2,1,3,1,3,ferry
1,1,3,0,4,ferry
1,1,1,0,2,ferry
4,1,2,2,3,ferry
1,1,1,0,1,ferry
2,3,2,0,2,ferry
0,1,2,0,4,ferry
1,1,3,0,2,ferry
0,1,3,0,1,ferry
2,2,2,1,4,ferry
2,1,1,0,3,ferry
1,0,3,4,3,ferry
0,1,3,1,4,ferry
0,0,4,0,2,ferry
0,0,6,0,5,ferry
2,1,5,0,3,ferry
1,1,3,0,4,ferry
3,2,2,2,5,ferry
1,2,3,0,2,ferry
1,1,3,0,3,ferry
1,1,0,0,0,Faces_easy
2,1,1,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,3,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,0,0,0,1,Faces_easy
0,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,2,1,0,1,Faces_easy
1,1,0,0,0,Faces_easy
2,2,1,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,0,0,1,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,1,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
1,1,0,0,1,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,3,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,0,0,0,1,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,0,0,1,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,1,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,1,Faces_easy
2,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,2,0,0,1,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
1,0,1,1,0,Faces_easy
1,1,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,1,0,0,Faces_easy
2,1,1,0,5,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,1,Faces_easy
0,1,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,1,1,0,Faces_easy
0,0,0,0,1,Faces_easy
0,1,0,0,0,Faces_easy
1,2,1,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,3,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,2,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
3,1,2,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,3,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
3,1,3,0,4,Faces_easy
1,1,0,0,0,Faces_easy
0,3,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
0,1,1,0,1,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,1,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
2,3,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
0,2,1,0,1,Faces_easy
1,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,3,0,0,1,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,1,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
3,3,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,1,0,Faces_easy
0,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
1,0,1,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,2,2,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
1,2,0,0,1,Faces_easy
1,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,0,0,1,Faces_easy
1,2,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,1,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,1,0,1,Faces_easy
1,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
1,1,0,1,0,Faces_easy
1,2,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,2,1,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,1,0,1,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,1,Faces_easy
1,1,1,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,1,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
1,1,0,0,1,Faces_easy
1,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,2,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
2,3,2,1,0,Faces_easy
0,1,1,0,0,Faces_easy
1,2,6,0,1,Faces_easy
1,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,2,0,0,1,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,1,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
2,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,3,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,1,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,2,0,0,1,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,1,0,1,Faces_easy
1,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
2,2,1,0,1,Faces_easy
0,1,0,0,0,Faces_easy
1,2,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,2,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,1,0,2,0,Faces_easy
0,0,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
1,1,0,0,0,Faces_easy
1,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,0,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
0,1,0,0,0,Faces_easy
2,1,0,0,0,Faces_easy
0,0,0,0,1,cougar_body
1,1,1,0,1,cougar_body
2,2,2,1,1,cougar_body
0,0,0,0,0,cougar_body
2,3,1,1,1,cougar_body
2,2,0,1,1,cougar_body
3,3,1,0,2,cougar_body
1,0,0,0,0,cougar_body
1,1,0,0,2,cougar_body
0,1,2,0,1,cougar_body
0,0,0,0,0,cougar_body
0,0,0,0,0,cougar_body
1,1,0,0,0,cougar_body
0,0,0,0,0,cougar_body
1,1,0,0,0,cougar_body
1,0,0,0,0,cougar_body
2,3,1,0,2,cougar_body
0,1,0,0,0,cougar_body
3,3,1,1,1,cougar_body
1,1,0,0,0,cougar_body
0,0,1,0,1,cougar_body
1,3,1,1,2,cougar_body
2,1,1,0,0,cougar_body
2,8,1,0,0,cougar_body
0,0,0,0,0,cougar_body
0,1,1,0,1,cougar_body
2,1,0,0,0,cougar_body
3,3,1,2,1,cougar_body
2,2,0,0,0,cougar_body
2,4,1,1,2,cougar_body
3,4,2,0,3,cougar_body
0,0,0,0,0,cougar_body
4,5,1,2,1,cougar_body
1,2,1,0,2,cougar_body
0,0,0,0,0,cougar_body
2,2,1,0,2,cougar_body
0,1,0,0,0,cougar_body
3,3,2,0,1,cougar_body
0,0,0,0,0,cougar_body
0,0,0,0,0,cougar_body
3,2,2,1,2,cougar_body
1,2,0,0,1,cougar_body
2,3,1,0,1,cougar_body
0,0,0,0,0,cougar_body
0,0,0,0,1,cougar_body
2,2,1,0,1,cougar_body
0,0,1,0,1,cougar_body
6,0,2,0,0,cellphone
1,0,0,0,0,cellphone
4,1,1,0,0,cellphone
4,1,1,2,0,cellphone
2,0,0,0,0,cellphone
3,0,1,0,0,cellphone
3,3,1,0,1,cellphone
3,0,1,0,0,cellphone
3,1,0,1,0,cellphone
4,2,1,1,1,cellphone
7,1,0,1,1,cellphone
5,1,1,0,1,cellphone
3,1,1,10,1,cellphone
6,1,0,3,1,cellphone
3,0,2,0,1,cellphone
2,1,1,2,2,cellphone
2,0,0,0,0,cellphone
2,2,1,0,0,cellphone
6,1,1,0,0,cellphone
0,2,1,0,0,cellphone
2,0,0,0,2,cellphone
2,0,1,1,0,cellphone
3,0,0,1,0,cellphone
1,2,0,0,1,cellphone
2,2,1,0,1,cellphone
3,4,2,1,3,cellphone
4,2,2,1,1,cellphone
2,1,2,1,1,cellphone
2,1,1,1,2,cellphone
5,2,1,1,2,cellphone
2,0,1,0,0,cellphone
5,2,1,1,0,cellphone
5,2,1,1,1,cellphone
4,3,2,1,0,cellphone
4,3,1,1,2,cellphone
3,2,0,0,1,cellphone
1,0,0,0,0,cellphone
3,2,1,4,3,cellphone
4,1,2,0,1,cellphone
0,0,1,0,2,cellphone
0,0,0,0,1,cellphone
3,0,1,0,0,cellphone
