@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 30'

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns139' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns111' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns15' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns103' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns12' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns26' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns147' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns39' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns175' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns471' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns21' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns468' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns541' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns75' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns123' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns363' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
4,3,4,5,13,5,12,4,2,2,1,2,3,12,1,4,1,9,2,4,3,3,6,2,3,15,3,2,2,3,ant
3,2,1,0,10,1,14,2,2,1,2,2,2,15,1,2,1,12,2,2,3,2,2,2,9,15,3,1,2,3,ant
0,0,0,0,3,0,4,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,ant
2,2,2,1,3,2,4,2,1,0,1,0,2,1,1,2,1,3,1,3,3,2,3,1,3,9,2,1,1,3,ant
0,0,0,0,2,0,3,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,1,5,0,0,0,0,ant
1,1,0,0,6,0,5,0,0,1,1,1,1,11,0,0,1,9,1,1,0,1,0,1,5,9,2,0,1,1,ant
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ant
0,0,0,0,5,0,8,0,1,1,0,2,0,13,2,1,0,6,0,0,0,0,0,0,4,14,0,1,2,0,ant
3,3,1,2,8,2,6,2,0,1,1,1,3,12,0,2,1,10,2,3,3,3,2,3,9,12,3,0,1,3,ant
4,3,4,4,11,3,8,4,1,1,1,1,3,2,0,5,1,9,1,4,4,3,4,2,8,15,3,1,1,2,ant
0,0,0,0,10,0,5,0,0,0,2,1,1,15,1,1,0,5,0,1,0,0,1,0,4,8,1,0,0,0,ant
2,1,2,0,8,2,4,3,0,1,1,0,2,15,0,1,1,8,1,1,2,1,2,2,10,4,1,2,0,1,ant
2,2,3,2,9,3,6,2,0,1,1,1,1,2,1,1,1,8,1,1,2,1,2,2,0,7,3,2,1,2,ant
0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,2,0,0,1,0,0,0,3,2,0,0,0,1,ant
1,2,4,2,9,4,6,3,1,1,1,1,1,8,1,1,1,5,1,1,0,1,1,1,5,12,1,2,1,1,ant
3,3,2,1,11,1,15,1,2,1,1,2,4,6,2,4,1,12,2,3,3,2,3,2,13,15,3,0,2,2,ant
1,0,0,0,4,0,3,0,2,0,0,1,0,13,0,0,0,3,0,0,1,0,1,0,2,9,1,1,0,0,ant
1,0,1,1,9,1,6,1,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,13,0,0,0,15,ant
4,3,4,2,13,3,12,4,2,1,1,2,3,4,0,3,1,10,1,4,4,3,5,1,9,14,4,1,1,3,ant
2,2,3,2,4,3,4,2,0,1,1,1,3,0,2,2,1,6,1,2,2,4,3,1,6,7,3,1,2,2,ant
0,0,0,1,3,1,2,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,ant
0,0,0,0,7,0,2,0,0,0,4,0,0,15,2,0,0,4,0,0,0,0,0,0,7,5,0,0,0,0,ant
0,0,1,0,13,0,3,1,0,0,2,0,0,15,0,1,0,4,0,1,0,0,1,0,6,4,0,0,0,1,ant
2,2,1,2,12,2,8,2,2,1,0,0,1,7,1,2,1,11,1,1,2,0,2,2,11,13,2,1,1,2,ant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,brontosaurus
3,3,1,3,9,3,13,2,1,1,1,2,0,0,0,3,2,11,2,3,3,1,0,2,0,15,2,1,2,3,brontosaurus
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0,2,0,0,5,0,brontosaurus
1,1,4,3,12,2,10,2,1,1,1,3,1,15,0,3,1,8,1,1,0,0,0,1,2,15,1,1,2,0,brontosaurus
1,0,0,1,10,0,10,0,2,0,1,1,0,7,0,0,0,8,1,0,1,0,0,1,11,15,0,0,2,2,brontosaurus
4,4,4,3,13,3,11,4,2,2,2,2,4,11,1,3,1,15,2,3,3,3,3,2,15,15,4,1,2,3,brontosaurus
3,3,3,3,12,3,11,4,1,1,2,2,3,5,2,4,1,13,2,3,2,2,3,2,11,14,3,1,2,2,brontosaurus
1,1,1,1,9,1,4,1,1,1,1,5,1,7,0,1,0,9,1,1,2,0,2,1,11,4,0,1,4,2,brontosaurus
1,1,1,1,5,1,3,1,1,1,1,3,0,0,0,0,1,7,1,1,0,0,0,1,0,14,0,1,2,0,brontosaurus
2,1,2,2,11,1,12,2,1,1,2,1,0,12,2,4,1,10,1,3,1,2,1,1,8,15,1,2,2,1,brontosaurus
2,2,2,1,8,2,6,2,0,1,1,1,1,0,0,2,1,7,2,2,2,2,0,2,0,9,1,0,1,2,brontosaurus
3,2,2,2,12,2,13,2,2,1,2,2,3,13,2,1,1,13,2,2,3,3,4,2,13,15,3,1,2,3,brontosaurus
2,3,2,3,13,3,11,3,1,1,2,1,3,7,1,2,1,12,2,2,1,3,1,1,12,15,3,1,1,2,brontosaurus
2,2,1,1,6,1,12,2,1,1,0,2,2,15,1,3,1,11,1,2,1,2,1,2,5,15,1,1,1,3,brontosaurus
0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,1,brontosaurus
0,0,0,0,3,0,3,0,2,0,1,2,0,15,0,0,0,2,0,0,0,0,0,0,1,10,0,0,1,0,brontosaurus
4,5,4,3,11,4,13,3,1,1,2,1,4,3,1,3,1,14,2,4,4,5,4,2,12,15,5,1,1,4,brontosaurus
0,0,1,0,3,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,brontosaurus
2,1,1,2,4,2,5,2,0,0,1,0,2,0,0,1,0,5,1,1,2,1,0,1,0,6,2,0,0,0,brontosaurus
1,0,1,0,4,0,6,1,1,0,1,2,0,0,5,1,1,6,0,1,0,0,0,0,0,9,0,0,2,1,brontosaurus
1,1,3,1,8,1,9,1,1,1,2,1,0,4,1,1,1,9,0,1,0,1,0,0,2,12,1,1,7,0,brontosaurus
3,3,4,3,11,3,13,3,1,1,0,1,1,4,1,4,1,13,2,3,1,4,3,2,15,12,3,1,1,1,brontosaurus
1,1,0,0,5,2,4,1,1,1,2,1,2,15,0,0,1,9,1,1,1,1,0,1,5,7,2,0,1,1,brontosaurus
0,0,2,0,8,0,2,0,1,0,0,1,2,0,0,1,0,4,1,0,1,0,0,1,0,6,0,0,1,1,brontosaurus
0,0,0,0,1,0,1,0,0,0,1,1,0,15,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,brontosaurus
1,1,2,1,6,2,6,2,1,1,1,2,0,14,2,1,0,4,1,1,0,1,0,1,1,11,0,1,2,1,brontosaurus
4,4,2,4,11,4,11,3,2,1,1,1,3,4,2,5,1,11,2,4,4,4,1,2,9,13,3,2,1,4,brontosaurus
2,2,0,0,5,2,4,2,1,1,1,2,1,0,0,0,1,3,1,2,1,2,0,1,0,10,0,0,1,1,brontosaurus
0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,0,0,0,brontosaurus
2,2,2,1,4,1,10,2,1,1,0,1,1,15,0,3,1,6,1,4,2,3,1,1,8,14,1,0,1,2,brontosaurus
1,1,1,1,7,1,8,1,1,0,0,0,0,7,0,1,0,5,0,1,1,1,1,0,4,10,1,1,0,1,brontosaurus
3,3,3,5,13,3,12,3,1,1,1,1,3,11,1,5,1,10,2,4,3,3,2,2,8,15,2,1,1,2,brontosaurus
3,2,0,2,5,0,7,0,2,1,0,2,3,6,1,2,1,12,2,1,3,1,3,2,14,15,3,0,1,4,brontosaurus
1,1,0,0,6,1,2,0,0,1,1,1,1,15,0,0,0,6,1,0,1,0,2,1,9,1,1,0,1,0,brontosaurus
0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,brontosaurus
2,2,3,3,13,3,11,3,2,1,1,2,2,1,1,3,1,12,1,3,2,2,2,1,10,13,2,1,2,2,brontosaurus
4,3,4,5,13,4,9,3,1,1,1,1,0,0,0,3,1,9,2,4,5,2,0,2,0,13,0,1,1,3,brontosaurus
3,3,1,1,9,1,13,1,1,1,3,1,4,1,2,3,1,10,1,3,2,3,5,1,12,14,3,1,1,2,brontosaurus
2,2,2,1,7,2,9,3,1,1,0,1,1,0,1,2,1,6,1,2,1,2,0,2,0,12,0,0,1,1,brontosaurus
3,3,3,3,8,2,10,4,0,1,2,1,3,9,1,2,1,9,2,3,2,3,1,2,12,15,2,1,1,3,brontosaurus
5,5,6,5,13,5,12,6,1,1,1,2,5,2,2,4,1,13,1,4,4,5,5,2,13,15,6,1,2,5,brontosaurus
2,2,2,2,12,3,8,3,3,1,1,3,1,15,2,1,2,11,2,2,2,2,2,2,12,13,2,2,2,1,brontosaurus
3,2,4,3,5,2,5,3,1,1,0,1,1,11,0,2,1,6,2,3,3,3,0,1,6,11,2,1,1,3,brontosaurus
0,0,1,1,8,1,7,1,1,0,1,0,0,15,0,1,0,4,0,1,0,0,0,0,0,8,0,0,0,0,chandelier
1,1,1,1,6,1,7,1,1,1,1,1,1,15,1,2,1,7,1,2,1,2,1,1,6,11,1,1,2,2,chandelier
1,1,3,4,15,2,12,2,2,0,3,2,0,15,1,3,0,7,0,2,0,1,0,0,1,15,1,1,1,2,chandelier
1,1,1,1,7,1,10,1,2,0,2,2,1,0,0,2,0,6,0,1,0,0,0,0,15,13,1,1,2,1,chandelier
1,1,3,1,11,2,11,3,2,1,0,2,1,5,1,0,1,10,1,0,2,0,0,1,6,15,0,1,3,2,chandelier
1,1,2,2,10,1,13,2,2,0,2,0,1,15,2,2,0,6,0,1,0,1,0,0,3,15,1,1,1,2,chandelier
0,0,1,2,9,0,5,0,0,0,2,0,0,15,0,1,0,2,0,0,0,0,0,0,0,9,0,0,0,1,chandelier
3,3,3,2,15,2,14,3,2,1,3,3,3,3,4,4,1,14,1,3,3,3,1,2,4,15,2,2,3,3,chandelier
2,2,3,1,10,2,10,3,3,1,1,3,2,7,1,2,1,11,1,2,1,1,2,1,11,15,2,1,2,1,chandelier
1,1,1,1,8,1,14,1,1,0,1,1,1,15,1,2,1,8,1,1,1,1,1,1,8,15,1,0,1,1,chandelier
1,1,1,1,9,1,11,1,3,0,3,2,0,4,3,1,0,6,0,1,0,1,1,0,7,15,0,1,3,2,chandelier
3,2,2,2,12,2,11,2,1,1,1,1,2,6,2,3,1,11,1,3,3,2,2,1,15,15,3,1,2,2,chandelier
4,3,5,5,14,4,13,5,1,2,1,2,2,8,1,4,2,14,2,4,2,2,5,1,13,15,3,2,2,4,chandelier
2,1,2,2,13,1,11,1,2,1,1,2,1,15,1,1,1,10,1,2,2,2,3,1,9,15,2,1,1,3,chandelier
0,0,1,1,8,0,5,1,2,0,2,1,0,9,1,0,0,6,0,0,1,0,0,0,2,7,1,0,1,0,chandelier
1,1,1,2,2,2,3,1,0,1,0,1,0,15,5,1,0,6,1,1,0,1,1,1,5,6,1,0,2,1,chandelier
0,0,0,0,2,0,2,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,2,4,0,0,0,1,chandelier
0,0,1,0,6,0,6,0,0,0,1,1,0,10,1,0,0,5,0,0,1,0,1,1,3,11,0,0,1,1,chandelier
2,2,2,2,9,2,12,2,1,1,2,1,0,6,1,2,1,11,2,2,2,2,1,2,8,12,1,0,2,1,chandelier
1,2,2,1,10,1,11,1,1,1,1,2,1,15,0,1,1,8,2,1,2,2,1,2,2,15,1,1,1,2,chandelier
2,1,2,1,9,1,9,2,1,1,1,1,1,8,1,1,1,9,1,1,1,1,1,1,8,15,1,1,1,1,chandelier
0,0,1,1,7,1,7,0,3,0,2,4,0,8,2,1,0,6,0,0,0,0,0,0,6,11,0,0,4,0,chandelier
1,0,1,1,8,1,8,1,1,0,2,3,0,2,4,0,0,8,1,0,1,0,0,1,6,15,1,0,3,1,chandelier
1,1,3,2,10,1,10,2,0,0,1,1,1,15,1,2,1,9,1,1,0,1,1,1,6,12,1,1,1,0,chandelier
0,0,0,0,2,0,4,0,0,0,1,0,0,15,0,0,0,2,0,0,0,0,0,0,3,8,0,0,0,0,chandelier
3,3,4,4,15,2,15,2,1,1,3,1,2,1,1,4,1,12,2,3,3,3,7,1,14,15,3,1,2,4,chandelier
1,0,1,0,6,0,3,1,1,0,0,1,0,15,2,1,0,5,0,1,1,0,1,1,5,7,1,1,1,1,chandelier
0,0,1,0,7,0,8,0,3,0,4,1,0,5,4,1,0,2,0,0,0,0,0,0,2,10,0,0,2,0,chandelier
2,2,2,3,10,3,15,2,1,1,2,2,1,4,1,3,1,10,2,3,1,3,0,2,11,15,1,1,2,0,chandelier
2,3,3,2,13,2,12,3,2,1,1,1,3,6,2,3,1,12,1,2,2,3,2,1,13,15,3,1,1,2,chandelier
2,2,3,1,7,2,8,2,1,1,1,3,1,7,1,3,1,10,1,2,1,2,1,1,7,11,1,1,3,1,chandelier
0,0,0,0,2,0,2,0,0,0,1,1,1,15,0,0,0,3,0,0,0,0,0,0,3,5,0,0,1,0,chandelier
2,1,2,2,12,2,12,2,2,1,2,1,0,0,0,3,1,11,1,2,0,2,0,1,15,15,0,1,1,0,chandelier
1,1,2,2,11,2,13,1,3,1,1,3,1,10,1,2,1,10,1,2,0,1,1,1,10,15,1,1,2,1,chandelier
3,2,3,3,12,3,14,2,1,2,2,1,1,0,1,4,1,12,1,3,0,2,0,1,0,15,0,2,1,0,chandelier
2,1,1,1,7,1,9,1,1,1,1,2,1,3,2,1,1,10,1,1,2,1,1,1,9,11,1,1,2,2,chandelier
1,1,1,1,10,2,9,1,2,1,2,3,1,13,5,1,1,10,1,1,1,2,2,1,11,14,0,1,3,1,chandelier
2,2,3,3,13,2,8,2,0,1,1,5,1,6,1,2,1,9,1,2,0,2,0,1,15,15,1,1,4,0,chandelier
0,0,0,0,3,0,3,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,chandelier
0,0,1,0,6,0,5,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,11,0,0,2,0,chandelier
0,0,0,0,2,0,1,0,0,0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,chandelier
1,1,1,1,10,1,12,0,3,1,2,6,0,14,1,1,1,9,1,1,1,1,0,1,6,15,0,0,5,1,chandelier
2,2,3,4,14,3,14,3,2,1,2,2,3,4,2,3,1,12,2,2,2,2,2,2,14,15,2,1,2,2,chandelier
2,1,2,2,10,2,11,2,1,1,1,1,0,15,3,4,1,9,1,2,0,2,0,1,8,15,0,1,1,0,chandelier
0,0,0,0,4,0,3,0,0,0,0,0,0,15,0,1,0,3,0,0,0,0,0,0,2,4,0,0,0,0,chandelier
3,3,3,4,14,3,15,2,2,1,1,2,3,6,2,4,1,12,1,3,3,2,2,1,14,15,3,1,3,4,chandelier
2,1,2,2,10,2,12,3,3,1,2,2,0,8,4,3,1,10,1,2,1,2,0,1,7,15,1,1,3,2,chandelier
2,2,2,3,12,3,13,2,2,1,2,2,2,6,3,1,1,11,2,2,2,2,2,1,11,14,1,1,3,2,chandelier
0,0,0,0,3,0,4,0,2,0,1,1,0,15,0,1,0,3,0,0,0,0,0,0,0,7,0,0,1,1,chandelier
1,1,2,1,9,1,7,1,1,0,1,1,1,15,0,1,0,8,1,1,1,1,1,1,10,10,0,0,1,1,chandelier
1,0,1,0,9,0,10,1,3,0,2,2,1,8,5,1,0,8,0,1,0,1,0,0,0,15,1,1,3,0,chandelier
1,1,1,1,9,1,9,1,2,0,2,1,0,4,1,2,1,9,1,2,1,1,0,1,7,12,0,1,4,0,chandelier
0,0,0,0,2,0,3,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,chandelier
2,2,2,2,13,2,12,2,1,1,1,2,3,8,2,3,1,13,1,2,2,2,2,2,13,13,3,1,2,3,chandelier
2,2,2,3,10,2,10,2,1,1,1,1,3,7,0,2,1,11,2,2,2,2,3,2,11,14,3,1,2,1,chandelier
3,5,3,5,14,5,14,3,1,2,2,1,5,8,1,3,2,15,3,3,3,4,3,2,15,15,4,1,2,3,chandelier
2,2,3,3,12,2,14,2,1,1,1,1,1,7,1,3,1,13,2,3,3,2,1,1,11,15,2,1,1,2,chandelier
2,1,1,2,9,1,11,2,1,1,1,1,2,14,1,2,1,11,1,2,1,1,2,1,10,15,2,0,1,2,chandelier
2,2,1,1,11,2,14,2,2,1,2,2,2,8,2,1,1,11,2,1,1,2,0,1,8,15,2,1,2,1,chandelier
1,1,1,1,12,1,9,1,3,1,5,3,1,15,3,1,0,9,1,1,1,0,0,1,2,15,1,0,3,1,chandelier
2,2,3,3,13,3,11,3,2,1,1,2,2,9,2,2,1,12,2,2,2,2,1,1,8,15,1,1,2,4,chandelier
1,1,2,1,8,1,7,1,0,0,0,1,0,15,0,2,0,5,1,1,0,1,1,1,5,9,1,1,1,1,chandelier
1,1,2,2,14,1,11,1,3,1,4,4,1,4,2,2,1,10,1,1,1,1,2,1,10,15,1,1,3,2,chandelier
2,3,4,5,12,4,12,3,2,1,1,2,2,5,2,4,2,12,2,3,2,2,2,2,9,15,2,1,2,2,chandelier
2,2,2,2,11,2,15,2,3,1,2,3,1,15,1,3,1,11,1,2,1,2,1,2,3,14,2,1,2,2,chandelier
1,0,0,0,7,0,5,1,1,0,1,0,1,15,2,1,0,5,1,0,0,0,1,1,3,8,1,0,1,0,chandelier
1,1,2,1,14,1,11,1,2,1,1,2,1,15,2,1,1,12,1,1,1,1,2,1,10,15,1,1,2,1,chandelier
0,0,1,0,5,1,8,1,3,0,1,2,0,7,4,1,0,6,1,0,0,0,0,0,3,15,0,0,2,0,chandelier
1,1,1,1,9,1,5,1,1,1,1,1,2,15,0,1,0,7,1,1,2,1,1,1,7,9,2,0,1,2,chandelier
1,1,1,2,11,1,10,1,2,1,1,2,2,12,2,1,1,10,2,1,0,1,2,1,11,15,2,1,2,1,chandelier
1,1,1,2,9,1,8,1,1,0,3,1,0,15,1,1,0,8,1,1,1,1,1,1,7,9,0,0,1,0,chandelier
0,0,0,0,7,0,7,0,2,0,2,2,0,15,1,0,0,5,0,0,1,0,0,0,4,13,0,0,1,0,chandelier
1,1,1,1,8,1,10,1,2,1,3,6,1,6,5,2,1,8,1,2,1,1,2,1,9,15,1,1,4,1,chandelier
3,3,3,4,14,3,11,3,0,1,2,1,2,1,1,2,1,12,1,3,2,3,3,1,12,15,3,1,1,1,chandelier
3,3,3,2,10,2,11,2,1,1,1,1,3,8,1,3,1,11,2,3,3,3,3,2,11,15,3,1,1,4,chandelier
1,1,2,2,12,1,11,1,2,1,1,1,1,14,2,3,1,7,1,1,1,1,1,1,7,15,1,0,1,1,chandelier
2,2,2,2,11,2,12,2,1,1,2,1,2,6,2,3,1,11,1,2,2,2,2,1,11,15,2,1,2,2,chandelier
1,1,1,2,14,1,11,1,2,1,3,2,1,3,2,1,1,10,1,1,3,1,3,1,7,11,1,1,2,2,chandelier
1,2,2,2,12,1,14,1,3,1,2,2,1,10,5,3,1,9,1,2,1,2,1,1,7,15,1,1,3,1,chandelier
1,1,1,0,9,1,9,1,1,1,1,2,0,9,5,1,1,9,1,1,0,1,0,1,4,13,0,1,2,0,chandelier
1,1,0,1,7,1,4,0,0,0,0,0,1,15,1,0,0,6,1,1,0,1,1,1,9,8,1,0,1,0,chandelier
1,1,1,0,2,0,8,1,3,0,2,2,1,11,1,1,0,6,1,1,1,1,1,1,6,15,1,0,2,1,chandelier
1,0,1,0,8,0,8,1,3,1,3,3,0,15,2,1,1,8,1,1,1,1,2,1,7,15,0,1,2,0,chandelier
2,2,2,1,12,2,10,2,2,1,1,2,2,13,0,2,1,12,1,3,2,2,2,2,12,15,3,1,1,2,chandelier
1,1,1,1,9,1,10,1,1,1,0,1,0,0,1,1,1,9,1,1,1,1,0,1,0,15,1,1,1,2,chandelier
1,1,1,1,9,1,10,1,3,1,4,3,1,7,3,1,0,9,1,1,0,1,0,1,9,15,1,1,4,0,chandelier
0,0,1,0,5,0,9,0,2,0,1,1,0,15,0,2,0,4,0,0,0,0,0,0,8,12,0,0,1,1,chandelier
1,0,0,0,7,0,8,1,2,1,1,2,1,7,2,0,0,7,0,1,1,0,1,0,7,12,1,1,2,1,chandelier
1,1,1,1,9,1,7,1,2,1,2,2,1,5,1,1,1,9,1,1,1,1,1,1,9,15,1,1,2,1,chandelier
2,2,2,2,11,2,12,2,2,1,1,2,2,8,1,2,1,11,1,1,3,1,3,1,13,14,2,2,2,2,chandelier
1,1,1,1,9,1,11,1,1,1,2,2,2,5,6,2,1,9,1,1,0,1,1,1,9,12,1,1,4,1,chandelier
3,3,1,1,15,3,14,3,2,1,5,2,4,2,2,4,1,10,1,3,3,3,3,2,4,15,3,2,2,0,chandelier
0,0,1,0,3,0,2,0,0,0,0,0,0,15,0,0,0,2,0,0,0,1,0,0,4,3,0,0,0,1,chandelier
