@relation datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original

@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
28,Faces_easy
10,Faces_easy
19,Faces_easy
21,Faces_easy
21,Faces_easy
16,Faces_easy
23,Faces_easy
17,Faces_easy
24,Faces_easy
27,Faces_easy
27,Faces_easy
28,Faces_easy
26,Faces_easy
22,Faces_easy
32,Faces_easy
24,Faces_easy
17,Faces_easy
22,Faces_easy
15,Faces_easy
19,Faces_easy
25,Faces_easy
24,Faces_easy
19,Faces_easy
20,Faces_easy
30,Faces_easy
22,Faces_easy
24,Faces_easy
23,Faces_easy
18,Faces_easy
27,Faces_easy
29,Faces_easy
17,Faces_easy
26,Faces_easy
27,Faces_easy
20,Faces_easy
18,Faces_easy
24,Faces_easy
22,Faces_easy
27,Faces_easy
24,Faces_easy
19,Faces_easy
33,Faces_easy
21,Faces_easy
23,Faces_easy
23,Faces_easy
23,Faces_easy
20,Faces_easy
17,Faces_easy
26,Faces_easy
17,Faces_easy
24,Faces_easy
25,Faces_easy
24,Faces_easy
20,Faces_easy
25,Faces_easy
20,Faces_easy
23,Faces_easy
31,Faces_easy
21,Faces_easy
18,Faces_easy
24,Faces_easy
17,Faces_easy
23,Faces_easy
23,Faces_easy
19,Faces_easy
17,Faces_easy
23,Faces_easy
18,Faces_easy
20,Faces_easy
19,Faces_easy
11,Faces_easy
20,Faces_easy
19,Faces_easy
27,Faces_easy
23,Faces_easy
22,Faces_easy
18,Faces_easy
30,Faces_easy
27,Faces_easy
19,Faces_easy
22,Faces_easy
17,Faces_easy
18,Faces_easy
22,Faces_easy
30,Faces_easy
18,Faces_easy
15,Faces_easy
19,Faces_easy
25,Faces_easy
22,Faces_easy
18,Faces_easy
24,Faces_easy
16,Faces_easy
25,Faces_easy
18,Faces_easy
21,Faces_easy
25,Faces_easy
23,Faces_easy
20,Faces_easy
26,Faces_easy
23,Faces_easy
26,Faces_easy
25,Faces_easy
19,Faces_easy
27,Faces_easy
23,Faces_easy
26,Faces_easy
21,Faces_easy
21,Faces_easy
25,Faces_easy
19,Faces_easy
30,Faces_easy
26,Faces_easy
17,Faces_easy
26,Faces_easy
21,Faces_easy
29,Faces_easy
23,Faces_easy
29,Faces_easy
21,Faces_easy
23,Faces_easy
20,Faces_easy
17,Faces_easy
23,Faces_easy
27,Faces_easy
23,Faces_easy
22,Faces_easy
18,Faces_easy
20,Faces_easy
12,Faces_easy
26,Faces_easy
18,Faces_easy
26,Faces_easy
14,Faces_easy
18,Faces_easy
19,Faces_easy
20,Faces_easy
13,Faces_easy
20,Faces_easy
14,Faces_easy
25,Faces_easy
23,Faces_easy
24,Faces_easy
19,Faces_easy
11,Faces_easy
24,Faces_easy
23,Faces_easy
20,Faces_easy
22,Faces_easy
25,Faces_easy
26,Faces_easy
19,Faces_easy
17,Faces_easy
25,Faces_easy
23,Faces_easy
28,Faces_easy
20,Faces_easy
19,Faces_easy
21,Faces_easy
23,Faces_easy
23,Faces_easy
29,Faces_easy
25,Faces_easy
25,Faces_easy
21,Faces_easy
24,Faces_easy
24,Faces_easy
23,Faces_easy
24,Faces_easy
27,Faces_easy
19,Faces_easy
21,Faces_easy
23,Faces_easy
26,Faces_easy
22,Faces_easy
19,Faces_easy
18,Faces_easy
23,Faces_easy
20,Faces_easy
20,Faces_easy
19,Faces_easy
31,Faces_easy
17,Faces_easy
24,Faces_easy
17,Faces_easy
26,Faces_easy
18,Faces_easy
24,Faces_easy
34,Faces_easy
33,Faces_easy
30,Faces_easy
27,Faces_easy
23,Faces_easy
34,Faces_easy
18,Faces_easy
27,Faces_easy
22,Faces_easy
26,Faces_easy
22,Faces_easy
16,Faces_easy
25,Faces_easy
23,Faces_easy
31,Faces_easy
23,Faces_easy
22,Faces_easy
26,Faces_easy
23,Faces_easy
18,Faces_easy
22,Faces_easy
15,Faces_easy
18,Faces_easy
26,Faces_easy
16,Faces_easy
27,Faces_easy
20,Faces_easy
25,Faces_easy
19,Faces_easy
21,Faces_easy
26,Faces_easy
23,Faces_easy
17,Faces_easy
21,Faces_easy
24,Faces_easy
23,Faces_easy
30,Faces_easy
19,Faces_easy
21,Faces_easy
25,Faces_easy
24,Faces_easy
29,Faces_easy
16,Faces_easy
18,Faces_easy
19,Faces_easy
22,Faces_easy
20,Faces_easy
29,Faces_easy
17,Faces_easy
31,Faces_easy
25,Faces_easy
20,Faces_easy
24,Faces_easy
19,Faces_easy
24,Faces_easy
25,Faces_easy
21,Faces_easy
22,Faces_easy
20,Faces_easy
24,Faces_easy
28,Faces_easy
29,Faces_easy
20,Faces_easy
24,Faces_easy
18,Faces_easy
20,Faces_easy
25,Faces_easy
29,Faces_easy
24,Faces_easy
25,Faces_easy
19,Faces_easy
17,Faces_easy
30,Faces_easy
20,Faces_easy
17,Faces_easy
15,Faces_easy
25,Faces_easy
21,Faces_easy
23,Faces_easy
27,Faces_easy
23,Faces_easy
20,Faces_easy
21,Faces_easy
19,Faces_easy
18,Faces_easy
23,Faces_easy
20,Faces_easy
22,Faces_easy
20,Faces_easy
27,Faces_easy
20,Faces_easy
25,Faces_easy
27,Faces_easy
17,Faces_easy
28,Faces_easy
27,Faces_easy
19,Faces_easy
28,Faces_easy
27,Faces_easy
16,Faces_easy
26,Faces_easy
27,Faces_easy
20,Faces_easy
26,Faces_easy
22,Faces_easy
17,Faces_easy
21,Faces_easy
18,Faces_easy
12,Faces_easy
19,Faces_easy
20,Faces_easy
19,Faces_easy
20,Faces_easy
30,Faces_easy
23,Faces_easy
15,Faces_easy
21,Faces_easy
20,Faces_easy
29,Faces_easy
21,Faces_easy
27,Faces_easy
17,Faces_easy
20,Faces_easy
19,Faces_easy
20,Faces_easy
22,Faces_easy
15,Faces_easy
20,Faces_easy
24,Faces_easy
21,Faces_easy
18,Faces_easy
21,Faces_easy
28,Faces_easy
18,Faces_easy
22,Faces_easy
22,Faces_easy
26,Faces_easy
21,Faces_easy
28,Faces_easy
20,Faces_easy
19,Faces_easy
21,Faces_easy
22,Faces_easy
18,Faces_easy
19,Faces_easy
23,Faces_easy
25,Faces_easy
18,Faces_easy
27,Faces_easy
25,Faces_easy
15,Faces_easy
19,Faces_easy
22,Faces_easy
19,Faces_easy
21,Faces_easy
27,Faces_easy
29,Faces_easy
16,Faces_easy
15,Faces_easy
18,Faces_easy
18,Faces_easy
26,Faces_easy
15,Faces_easy
28,Faces_easy
22,Faces_easy
22,Faces_easy
22,Faces_easy
24,Faces_easy
23,Faces_easy
18,Faces_easy
18,Faces_easy
18,Faces_easy
27,Faces_easy
25,Faces_easy
19,Faces_easy
18,Faces_easy
16,Faces_easy
18,Faces_easy
26,Faces_easy
31,Faces_easy
28,Faces_easy
18,Faces_easy
23,Faces_easy
21,Faces_easy
14,Faces_easy
21,Faces_easy
15,Faces_easy
26,Faces_easy
21,Faces_easy
25,Faces_easy
20,Faces_easy
18,Faces_easy
21,Faces_easy
17,Faces_easy
19,Faces_easy
29,Faces_easy
24,Faces_easy
17,Faces_easy
18,Faces_easy
24,Faces_easy
18,Faces_easy
14,Faces_easy
15,Faces_easy
11,Faces_easy
23,Faces_easy
23,Faces_easy
26,Faces_easy
20,Faces_easy
23,Faces_easy
29,Faces_easy
23,Faces_easy
18,Faces_easy
18,Faces_easy
19,Faces_easy
27,Faces_easy
18,Faces_easy
20,Faces_easy
28,Faces_easy
21,Faces_easy
21,Faces_easy
17,Faces_easy
22,Faces_easy
21,Faces_easy
20,Faces_easy
24,Faces_easy
24,Faces_easy
18,Faces_easy
22,Faces_easy
20,Faces_easy
21,Faces_easy
32,Faces_easy
30,Faces_easy
14,Faces_easy
21,Faces_easy
18,Faces_easy
28,cougar_body
21,cougar_body
30,cougar_body
33,cougar_body
17,cougar_body
4,cougar_body
16,cougar_body
23,cougar_body
27,cougar_body
18,cougar_body
22,cougar_body
11,cougar_body
21,cougar_body
26,cougar_body
41,cougar_body
9,cougar_body
25,cougar_body
11,cougar_body
23,cougar_body
12,cougar_body
22,cougar_body
30,cougar_body
20,cougar_body
25,cougar_body
18,cougar_body
20,cougar_body
21,cougar_body
18,cougar_body
41,cougar_body
34,cougar_body
18,cougar_body
14,cougar_body
35,cougar_body
15,cougar_body
27,cougar_body
22,cougar_body
22,cougar_body
25,cougar_body
13,cougar_body
21,cougar_body
12,cougar_body
14,cougar_body
32,cougar_body
12,cougar_body
16,cougar_body
27,cougar_body
20,cougar_body
4,cellphone
28,cellphone
5,cellphone
5,cellphone
8,cellphone
7,cellphone
17,cellphone
5,cellphone
21,cellphone
32,cellphone
3,cellphone
6,cellphone
5,cellphone
4,cellphone
6,cellphone
11,cellphone
10,cellphone
4,cellphone
7,cellphone
15,cellphone
20,cellphone
10,cellphone
5,cellphone
14,cellphone
7,cellphone
34,cellphone
13,cellphone
13,cellphone
9,cellphone
8,cellphone
3,cellphone
5,cellphone
7,cellphone
24,cellphone
22,cellphone
23,cellphone
15,cellphone
3,cellphone
21,cellphone
11,cellphone
12,cellphone
17,cellphone
4,cellphone
8,cellphone
11,cellphone
8,cellphone
9,cellphone
17,cellphone
19,cellphone
19,cellphone
32,cellphone
5,cellphone
0,cellphone
16,cellphone
6,cellphone
4,cellphone
3,cellphone
15,cellphone
1,cellphone
11,dalmatian
23,dalmatian
21,dalmatian
25,dalmatian
21,dalmatian
29,dalmatian
11,dalmatian
20,dalmatian
23,dalmatian
11,dalmatian
22,dalmatian
25,dalmatian
23,dalmatian
21,dalmatian
39,dalmatian
44,dalmatian
12,dalmatian
22,dalmatian
21,dalmatian
13,dalmatian
23,dalmatian
33,dalmatian
15,dalmatian
34,dalmatian
6,dalmatian
10,dalmatian
9,dalmatian
20,dalmatian
11,dalmatian
21,dalmatian
10,dalmatian
25,dalmatian
14,dalmatian
19,dalmatian
12,dalmatian
9,dalmatian
17,dalmatian
28,dalmatian
20,dalmatian
0,dalmatian
25,dalmatian
26,dalmatian
13,dalmatian
25,dalmatian
22,dalmatian
25,dalmatian
18,dalmatian
25,dalmatian
5,dalmatian
1,dalmatian
6,dalmatian
17,dalmatian
25,dalmatian
0,dalmatian
21,dalmatian
26,dalmatian
30,dalmatian
7,dalmatian
17,dalmatian
21,dalmatian
30,dalmatian
22,dalmatian
11,dalmatian
0,dalmatian
3,dalmatian
19,dalmatian
25,dalmatian
4,anchor
9,anchor
8,anchor
24,anchor
5,anchor
0,anchor
10,anchor
169,anchor
22,anchor
19,anchor
19,anchor
7,anchor
4,anchor
15,anchor
32,anchor
13,anchor
9,anchor
16,anchor
2,anchor
21,anchor
14,anchor
30,anchor
23,anchor
15,anchor
5,anchor
22,anchor
1,anchor
19,anchor
23,anchor
21,anchor
25,anchor
17,anchor
2,anchor
6,anchor
14,anchor
48,anchor
22,anchor
6,anchor
6,anchor
0,anchor
3,anchor
9,anchor
0,brain
0,brain
0,brain
1,brain
5,brain
9,brain
6,brain
20,brain
0,brain
0,brain
0,brain
10,brain
15,brain
12,brain
9,brain
48,brain
0,brain
0,brain
6,brain
0,brain
0,brain
22,brain
10,brain
3,brain
3,brain
11,brain
0,brain
19,brain
0,brain
12,brain
9,brain
3,brain
7,brain
16,brain
13,brain
31,brain
0,brain
24,brain
17,brain
9,brain
3,brain
24,brain
14,brain
7,brain
13,brain
14,brain
10,brain
13,brain
6,brain
2,brain
0,brain
0,brain
3,brain
3,brain
24,brain
10,brain
11,brain
5,brain
5,brain
0,brain
4,brain
6,brain
19,brain
0,brain
9,brain
0,brain
0,brain
0,brain
8,brain
7,brain
13,brain
2,brain
7,brain
0,brain
0,brain
17,brain
0,brain
0,brain
22,brain
3,brain
42,brain
12,brain
0,brain
9,brain
0,brain
9,brain
17,brain
12,brain
4,brain
11,brain
8,brain
15,brain
0,brain
6,brain
3,brain
4,brain
19,brain
14,brain
9,ewer
7,ewer
3,ewer
25,ewer
8,ewer
7,ewer
3,ewer
13,ewer
22,ewer
3,ewer
6,ewer
18,ewer
25,ewer
11,ewer
11,ewer
5,ewer
19,ewer
12,ewer
5,ewer
11,ewer
11,ewer
14,ewer
13,ewer
6,ewer
16,ewer
23,ewer
21,ewer
7,ewer
8,ewer
0,ewer
10,ewer
13,ewer
20,ewer
16,ewer
7,ewer
13,ewer
11,ewer
9,ewer
3,ewer
12,ewer
2,ewer
6,ewer
16,ewer
0,ewer
18,ewer
10,ewer
18,ewer
13,ewer
19,ewer
2,ewer
18,ewer
11,ewer
11,ewer
15,ewer
8,ewer
10,ewer
15,ewer
7,ewer
18,ewer
9,ewer
23,ewer
17,ewer
18,ewer
41,ewer
5,ewer
11,ewer
10,ewer
16,ewer
8,ewer
28,ewer
10,ewer
8,ewer
18,ewer
13,ewer
8,ewer
24,ewer
12,ewer
17,ewer
9,ewer
21,ewer
23,ewer
12,ewer
6,ewer
2,ewer
21,ewer
12,buddha
12,buddha
5,buddha
10,buddha
19,buddha
24,buddha
11,buddha
16,buddha
27,buddha
7,buddha
6,buddha
25,buddha
25,buddha
16,buddha
16,buddha
22,buddha
14,buddha
17,buddha
13,buddha
22,buddha
11,buddha
27,buddha
15,buddha
7,buddha
22,buddha
20,buddha
5,buddha
6,buddha
26,buddha
11,buddha
3,buddha
21,buddha
14,buddha
13,buddha
12,buddha
27,buddha
15,buddha
8,buddha
16,buddha
0,buddha
9,buddha
10,buddha
16,buddha
0,buddha
7,buddha
29,buddha
14,buddha
18,buddha
7,buddha
7,buddha
20,buddha
15,buddha
4,buddha
7,buddha
4,buddha
21,buddha
25,buddha
24,buddha
33,buddha
13,buddha
15,buddha
22,buddha
2,buddha
19,buddha
23,buddha
17,buddha
0,buddha
10,buddha
7,buddha
32,buddha
15,buddha
8,buddha
12,buddha
13,buddha
14,buddha
31,buddha
0,buddha
13,buddha
13,buddha
20,buddha
13,buddha
20,buddha
17,buddha
10,buddha
12,buddha
21,bonsai
15,bonsai
11,bonsai
6,bonsai
15,bonsai
17,bonsai
13,bonsai
6,bonsai
32,bonsai
5,bonsai
10,bonsai
19,bonsai
25,bonsai
12,bonsai
10,bonsai
21,bonsai
10,bonsai
18,bonsai
30,bonsai
11,bonsai
6,bonsai
12,bonsai
11,bonsai
32,bonsai
18,bonsai
30,bonsai
16,bonsai
17,bonsai
27,bonsai
27,bonsai
19,bonsai
18,bonsai
12,bonsai
27,bonsai
40,bonsai
15,bonsai
24,bonsai
15,bonsai
16,bonsai
26,bonsai
7,bonsai
4,bonsai
27,bonsai
18,bonsai
10,bonsai
9,bonsai
14,bonsai
13,bonsai
11,bonsai
20,bonsai
18,bonsai
10,bonsai
20,bonsai
10,bonsai
45,bonsai
22,bonsai
15,bonsai
13,bonsai
23,bonsai
5,bonsai
11,bonsai
12,bonsai
8,bonsai
18,bonsai
14,bonsai
13,bonsai
9,bonsai
23,bonsai
6,bonsai
8,bonsai
19,bonsai
35,bonsai
19,bonsai
19,bonsai
13,bonsai
23,bonsai
27,bonsai
8,bonsai
21,bonsai
26,bonsai
14,bonsai
14,bonsai
17,bonsai
16,bonsai
18,bonsai
14,bonsai
30,bonsai
14,bonsai
12,bonsai
12,bonsai
19,bonsai
23,bonsai
18,bonsai
14,bonsai
14,bonsai
8,bonsai
5,bonsai
48,bonsai
11,bonsai
18,bonsai
10,bonsai
13,bonsai
11,bonsai
18,bonsai
25,bonsai
15,bonsai
18,bonsai
6,bonsai
22,bonsai
13,bonsai
17,bonsai
7,bonsai
21,bonsai
23,bonsai
29,bonsai
14,bonsai
30,bonsai
34,bonsai
15,bonsai
26,bonsai
23,bonsai
19,bonsai
9,bonsai
41,bonsai
20,bonsai
6,bonsai
6,bonsai
14,bonsai
31,chair
28,chair
26,chair
17,chair
18,chair
4,chair
25,chair
11,chair
9,chair
18,chair
15,chair
4,chair
5,chair
29,chair
9,chair
0,chair
11,chair
24,chair
16,chair
12,chair
5,chair
31,chair
16,chair
23,chair
13,chair
15,chair
7,chair
16,chair
24,chair
6,chair
3,chair
16,chair
13,chair
8,chair
7,chair
6,chair
4,chair
14,chair
8,chair
15,chair
2,chair
5,chair
13,chair
20,chair
15,chair
3,chair
13,chair
18,chair
17,chair
4,chair
16,chair
14,chair
22,chair
19,chair
17,chair
6,chair
19,chair
2,chair
3,chair
6,chair
21,chair
18,chair
16,airplanes
6,airplanes
1,airplanes
9,airplanes
13,airplanes
7,airplanes
7,airplanes
2,airplanes
5,airplanes
8,airplanes
1,airplanes
2,airplanes
14,airplanes
6,airplanes
5,airplanes
1,airplanes
4,airplanes
4,airplanes
10,airplanes
2,airplanes
3,airplanes
9,airplanes
11,airplanes
10,airplanes
4,airplanes
13,airplanes
9,airplanes
11,airplanes
15,airplanes
14,airplanes
8,airplanes
3,airplanes
10,airplanes
10,airplanes
7,airplanes
7,airplanes
7,airplanes
10,airplanes
6,airplanes
12,airplanes
4,airplanes
5,airplanes
14,airplanes
12,airplanes
6,airplanes
3,airplanes
5,airplanes
14,airplanes
14,airplanes
6,airplanes
13,airplanes
6,airplanes
9,airplanes
8,airplanes
13,airplanes
8,airplanes
14,airplanes
14,airplanes
2,airplanes
3,airplanes
2,airplanes
3,airplanes
16,airplanes
3,airplanes
8,airplanes
8,airplanes
21,airplanes
15,airplanes
18,airplanes
5,airplanes
1,airplanes
9,airplanes
9,airplanes
14,airplanes
8,airplanes
12,airplanes
10,airplanes
20,airplanes
2,airplanes
5,airplanes
4,airplanes
15,airplanes
15,airplanes
21,airplanes
6,airplanes
6,airplanes
13,airplanes
11,airplanes
10,airplanes
8,airplanes
10,airplanes
15,airplanes
14,airplanes
5,airplanes
2,airplanes
16,airplanes
16,airplanes
6,airplanes
8,airplanes
4,airplanes
16,airplanes
7,airplanes
7,airplanes
15,airplanes
10,airplanes
17,airplanes
3,airplanes
5,airplanes
10,airplanes
2,airplanes
3,airplanes
12,airplanes
12,airplanes
2,airplanes
2,airplanes
12,airplanes
9,airplanes
5,airplanes
3,airplanes
9,airplanes
4,airplanes
17,airplanes
11,airplanes
8,airplanes
9,airplanes
6,airplanes
9,airplanes
15,airplanes
4,airplanes
14,airplanes
7,airplanes
1,airplanes
6,airplanes
18,airplanes
7,airplanes
2,airplanes
5,airplanes
3,airplanes
4,airplanes
14,airplanes
23,airplanes
5,airplanes
1,airplanes
10,airplanes
4,airplanes
6,airplanes
6,airplanes
10,airplanes
2,airplanes
11,airplanes
8,airplanes
3,airplanes
4,airplanes
2,airplanes
5,airplanes
3,airplanes
7,airplanes
6,airplanes
10,airplanes
12,airplanes
13,airplanes
21,airplanes
3,airplanes
9,airplanes
8,airplanes
3,airplanes
5,airplanes
5,airplanes
9,airplanes
4,airplanes
8,airplanes
9,airplanes
8,airplanes
5,airplanes
13,airplanes
9,airplanes
7,airplanes
3,airplanes
10,airplanes
14,airplanes
4,airplanes
3,airplanes
7,airplanes
9,airplanes
14,airplanes
14,airplanes
10,airplanes
5,airplanes
8,airplanes
6,airplanes
12,airplanes
4,airplanes
11,airplanes
11,airplanes
15,airplanes
12,airplanes
13,airplanes
13,airplanes
14,airplanes
10,airplanes
14,airplanes
17,airplanes
2,airplanes
11,airplanes
4,airplanes
9,airplanes
4,airplanes
2,airplanes
2,airplanes
6,airplanes
1,airplanes
7,airplanes
8,airplanes
11,airplanes
9,airplanes
10,airplanes
11,airplanes
13,airplanes
7,airplanes
7,airplanes
9,airplanes
10,airplanes
2,airplanes
15,airplanes
10,airplanes
5,airplanes
3,airplanes
21,airplanes
16,airplanes
14,airplanes
4,airplanes
4,airplanes
4,airplanes
3,airplanes
4,airplanes
5,airplanes
4,airplanes
9,airplanes
7,airplanes
12,airplanes
15,airplanes
10,airplanes
6,airplanes
14,airplanes
12,airplanes
25,airplanes
4,airplanes
19,airplanes
6,airplanes
11,airplanes
16,airplanes
12,airplanes
9,airplanes
7,airplanes
13,airplanes
7,airplanes
6,airplanes
17,airplanes
14,airplanes
23,airplanes
6,airplanes
8,airplanes
9,airplanes
11,airplanes
18,airplanes
1,airplanes
8,airplanes
7,airplanes
6,airplanes
6,airplanes
7,airplanes
9,airplanes
6,airplanes
13,airplanes
9,airplanes
16,airplanes
18,airplanes
4,airplanes
8,airplanes
5,airplanes
12,airplanes
15,airplanes
9,airplanes
8,airplanes
3,airplanes
11,airplanes
7,airplanes
8,airplanes
4,airplanes
4,airplanes
2,airplanes
11,airplanes
7,airplanes
8,airplanes
12,airplanes
7,airplanes
16,airplanes
13,airplanes
12,airplanes
4,airplanes
10,airplanes
8,airplanes
5,airplanes
10,airplanes
6,airplanes
12,airplanes
2,airplanes
19,airplanes
3,airplanes
5,airplanes
3,airplanes
3,airplanes
6,airplanes
3,airplanes
6,airplanes
12,airplanes
13,airplanes
8,airplanes
3,airplanes
8,airplanes
12,airplanes
2,airplanes
10,airplanes
10,airplanes
6,airplanes
2,airplanes
1,airplanes
6,airplanes
8,airplanes
4,airplanes
6,airplanes
6,airplanes
7,airplanes
1,airplanes
13,airplanes
4,airplanes
4,airplanes
9,airplanes
9,airplanes
8,airplanes
2,airplanes
4,airplanes
16,airplanes
9,airplanes
4,airplanes
6,airplanes
4,airplanes
6,airplanes
16,airplanes
15,airplanes
11,airplanes
5,airplanes
10,airplanes
13,airplanes
12,airplanes
9,airplanes
8,airplanes
13,airplanes
12,airplanes
6,airplanes
8,airplanes
19,airplanes
3,airplanes
8,airplanes
8,airplanes
5,airplanes
2,airplanes
10,airplanes
18,airplanes
2,airplanes
12,airplanes
7,airplanes
8,airplanes
12,airplanes
7,airplanes
6,airplanes
3,airplanes
4,airplanes
3,airplanes
18,airplanes
5,airplanes
5,airplanes
8,airplanes
14,airplanes
9,airplanes
6,airplanes
19,airplanes
3,airplanes
9,airplanes
4,airplanes
12,airplanes
4,airplanes
9,airplanes
4,airplanes
3,airplanes
3,airplanes
5,airplanes
7,airplanes
2,airplanes
13,airplanes
3,airplanes
12,airplanes
9,airplanes
7,airplanes
6,airplanes
14,airplanes
3,airplanes
10,airplanes
3,airplanes
10,airplanes
5,airplanes
16,airplanes
7,airplanes
12,airplanes
8,airplanes
9,airplanes
22,airplanes
9,airplanes
8,airplanes
4,airplanes
4,airplanes
11,airplanes
15,airplanes
4,airplanes
5,airplanes
8,airplanes
9,airplanes
20,airplanes
4,airplanes
3,airplanes
5,airplanes
9,airplanes
16,airplanes
10,airplanes
17,airplanes
4,airplanes
13,airplanes
10,airplanes
17,airplanes
6,airplanes
8,airplanes
9,airplanes
13,airplanes
10,airplanes
4,airplanes
5,airplanes
5,airplanes
7,airplanes
10,airplanes
1,airplanes
3,airplanes
13,airplanes
7,airplanes
11,airplanes
14,airplanes
18,airplanes
2,airplanes
9,airplanes
2,airplanes
15,airplanes
7,airplanes
3,airplanes
10,airplanes
8,airplanes
8,airplanes
17,airplanes
3,airplanes
11,airplanes
19,airplanes
11,airplanes
13,airplanes
4,airplanes
15,airplanes
12,airplanes
7,airplanes
4,airplanes
9,airplanes
17,airplanes
9,airplanes
20,airplanes
1,airplanes
