@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 19'

@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients157' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients96' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients149' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients160' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
17,29,20,192,179,30,10,9,61,14,23,9,19,10,28,48,29,210,28,chandelier
14,18,12,65,43,14,5,6,89,9,7,6,7,9,7,85,8,215,6,chandelier
36,41,38,38,47,40,16,13,138,34,8,21,28,19,8,125,3,109,6,chandelier
47,53,34,194,235,50,21,29,121,36,23,21,29,28,42,119,29,210,13,chandelier
29,49,25,110,96,32,12,15,78,27,8,15,23,16,12,96,9,180,7,chandelier
24,45,23,153,142,37,14,12,89,21,47,19,17,18,67,105,47,237,43,chandelier
9,9,9,112,197,11,4,6,57,8,4,6,7,9,19,54,5,61,3,chandelier
26,50,21,20,20,35,11,13,117,25,10,10,17,20,8,119,6,203,9,chandelier
21,36,19,83,114,26,9,12,110,21,15,12,15,12,12,171,22,183,40,chandelier
46,57,43,215,253,57,25,25,104,38,29,29,30,28,38,113,20,234,20,chandelier
7,11,22,17,32,37,21,5,98,8,21,21,20,8,35,60,5,42,5,chandelier
60,92,43,116,150,57,27,45,75,78,19,22,44,44,20,91,34,43,31,chandelier
23,35,15,161,167,28,14,21,89,24,9,15,17,19,18,115,19,97,10,chandelier
34,52,33,123,132,42,15,21,71,34,6,17,26,17,7,69,4,255,4,chandelier
12,18,22,65,89,32,13,10,118,16,15,14,18,15,10,87,4,193,4,chandelier
30,61,69,238,210,80,40,20,118,34,29,40,46,19,26,82,31,205,22,chandelier
48,59,36,62,91,41,23,33,120,38,9,21,29,31,18,122,21,25,10,chandelier
27,48,27,82,49,27,14,15,130,27,4,15,21,20,5,155,9,255,9,chandelier
6,12,6,41,56,8,5,5,79,4,2,6,5,5,3,76,4,255,3,chandelier
45,64,26,144,103,39,15,26,55,44,27,13,25,31,17,70,22,155,23,chandelier
45,60,34,122,116,53,17,30,129,37,17,21,26,28,21,125,24,255,14,chandelier
7,14,7,16,14,11,5,5,53,8,1,6,5,4,1,59,2,154,4,chandelier
6,10,5,49,57,5,3,4,70,5,2,4,4,5,2,79,2,228,2,chandelier
36,36,53,131,159,59,29,23,101,32,19,24,49,19,32,95,13,93,9,chandelier
49,81,53,119,79,84,33,30,122,44,37,27,35,30,33,125,27,161,33,chandelier
27,34,0,158,135,0,0,15,36,28,0,0,0,14,0,56,7,255,12,chandelier
33,44,32,145,113,39,14,17,98,28,15,19,26,20,14,107,11,249,9,chandelier
21,43,23,123,150,41,17,15,114,30,13,18,22,11,17,99,21,98,19,chandelier
42,54,25,51,66,41,7,25,85,41,19,10,16,28,34,105,10,80,10,chandelier
8,19,12,11,8,22,5,3,72,6,12,10,6,9,6,63,8,157,11,chandelier
28,43,29,102,96,44,16,13,114,18,14,16,24,15,25,86,16,255,11,chandelier
9,16,10,100,114,11,6,7,57,10,6,5,9,8,5,59,9,255,8,chandelier
26,59,48,140,185,60,35,16,130,26,34,22,32,19,32,107,38,165,35,chandelier
21,30,17,91,68,26,9,6,81,12,7,9,14,9,8,70,7,255,9,chandelier
30,40,28,84,126,43,17,17,105,29,12,15,31,17,18,92,15,203,8,chandelier
38,46,27,46,55,40,14,21,98,34,21,15,26,22,19,120,14,148,8,chandelier
28,30,18,23,67,26,8,13,80,20,9,8,16,14,9,100,9,255,9,chandelier
19,31,14,76,62,19,9,13,77,21,10,7,16,11,10,82,9,255,6,chandelier
28,41,32,127,111,43,19,23,83,28,9,14,20,13,12,93,12,244,10,chandelier
20,41,16,140,149,41,10,9,60,23,19,9,14,11,15,71,14,143,18,chandelier
29,43,23,85,110,42,18,17,139,26,14,18,19,18,18,136,24,255,22,chandelier
34,42,29,95,115,44,16,18,120,29,41,18,23,18,38,105,43,255,39,chandelier
12,23,16,85,64,24,7,6,83,8,13,8,15,9,11,75,8,255,10,chandelier
24,39,23,113,109,28,10,10,101,20,2,10,17,17,8,102,15,224,10,chandelier
38,65,39,124,105,55,20,27,143,37,17,18,35,27,9,114,13,245,11,chandelier
32,54,27,54,107,37,19,22,86,37,10,16,26,23,30,115,27,255,6,chandelier
24,34,21,72,78,27,11,12,83,21,30,15,18,21,40,91,41,116,26,chandelier
17,29,16,145,126,23,9,9,78,18,10,8,9,10,12,82,11,207,6,chandelier
9,15,8,141,125,11,4,6,63,9,5,5,4,7,7,75,8,142,3,chandelier
21,38,21,19,16,33,10,12,68,17,22,17,15,18,14,76,8,168,15,chandelier
15,28,12,226,255,32,4,5,59,14,18,6,9,12,19,51,16,204,17,chandelier
21,39,14,96,88,24,9,10,87,19,9,7,11,13,10,111,17,255,11,chandelier
47,56,33,108,62,50,34,25,104,29,18,22,29,23,40,117,34,159,16,chandelier
28,39,18,42,84,25,8,13,147,23,44,9,10,19,49,177,15,119,30,chandelier
20,23,19,2,3,22,10,14,85,20,5,12,17,12,3,80,1,145,4,chandelier
54,64,42,62,35,63,23,34,86,56,12,23,44,27,12,89,14,49,7,chandelier
13,21,12,147,173,24,5,5,44,16,40,7,14,9,21,40,17,54,24,chandelier
13,18,13,41,40,19,9,8,75,10,5,8,10,9,5,64,3,255,2,chandelier
7,6,8,0,2,9,3,2,53,3,1,3,5,4,1,51,2,132,2,chandelier
22,38,26,49,44,33,12,12,122,19,6,13,19,19,3,138,8,196,12,chandelier
6,15,15,16,18,18,7,3,72,6,3,8,11,5,2,74,6,150,8,chandelier
22,33,28,104,113,41,20,10,84,22,5,17,34,14,5,63,7,166,7,chandelier
31,46,22,19,23,34,13,17,108,34,11,14,21,18,9,109,6,161,7,chandelier
39,48,17,185,165,19,7,19,77,32,10,10,12,23,13,126,21,250,12,chandelier
51,74,19,126,139,35,7,35,88,50,12,13,17,37,17,129,37,164,16,chandelier
40,60,29,89,97,43,21,33,139,41,13,20,25,28,21,145,23,255,11,chandelier
11,19,16,90,71,24,17,8,144,7,7,17,13,14,24,103,10,255,2,chandelier
79,79,0,97,120,0,0,34,36,72,0,0,0,34,0,149,37,255,28,chandelier
16,20,8,24,28,16,4,9,61,16,6,7,10,11,3,75,2,157,2,chandelier
18,30,31,136,156,52,21,10,98,18,6,22,35,11,6,60,5,165,7,chandelier
45,50,38,110,151,34,25,29,95,42,9,19,26,24,18,105,16,75,6,chandelier
6,11,11,17,35,14,5,3,92,5,2,8,6,9,18,78,4,255,1,chandelier
7,11,8,204,227,13,5,3,72,7,11,7,7,5,9,65,8,215,10,chandelier
28,56,23,179,190,32,16,20,75,26,15,19,20,22,11,105,28,200,25,chandelier
10,13,11,5,4,12,7,6,67,11,2,6,13,6,1,59,1,140,2,chandelier
46,72,58,180,196,90,40,25,100,47,17,36,73,28,23,77,27,190,18,chandelier
20,28,20,14,12,30,9,12,67,23,9,12,17,10,6,67,5,158,7,chandelier
19,26,28,81,62,34,22,11,145,16,11,17,27,14,29,112,22,255,13,chandelier
12,20,9,91,56,12,8,8,63,8,3,8,5,10,15,81,19,255,5,chandelier
22,29,25,83,96,28,11,11,177,14,11,15,14,15,26,135,22,171,12,chandelier
40,61,29,186,248,33,14,26,87,47,18,12,24,24,17,108,22,215,21,chandelier
37,60,29,83,75,34,21,21,90,28,11,18,25,20,20,146,27,255,11,chandelier
54,67,39,94,86,46,18,31,127,36,11,26,32,46,14,139,20,126,13,chandelier
36,39,22,145,119,35,12,14,81,24,17,18,19,17,22,78,19,255,17,chandelier
16,24,14,99,122,19,12,11,107,22,5,11,11,14,6,92,5,214,2,chandelier
46,54,52,156,168,63,29,27,92,47,47,36,45,24,40,99,32,114,18,chandelier
10,13,11,3,3,12,6,5,67,6,4,6,6,5,2,64,1,149,3,chandelier
9,12,8,31,33,5,3,5,58,7,2,6,5,7,2,82,3,181,4,chandelier
10,17,9,104,91,11,4,6,61,9,11,8,5,8,10,69,12,255,13,cup
42,59,34,217,238,40,19,26,71,42,31,23,26,29,38,96,33,255,31,cup
30,46,35,104,92,47,19,15,131,23,14,21,32,15,15,89,11,255,10,cup
40,45,37,101,68,47,22,23,98,34,10,21,38,24,13,104,10,255,10,cup
15,25,20,61,55,26,9,6,110,14,17,9,17,11,20,101,31,255,24,cup
16,24,7,56,67,12,4,7,53,15,6,5,5,8,5,55,16,164,18,cup
16,27,21,111,85,25,9,11,87,14,17,12,22,8,15,63,15,255,17,cup
41,71,38,58,81,65,14,23,109,45,45,23,33,28,79,144,41,49,33,cup
4,4,3,139,129,4,1,1,42,2,4,1,2,2,4,44,5,255,4,cup
36,44,25,255,218,43,11,23,86,31,18,14,22,18,26,92,34,189,20,cup
26,33,29,226,255,41,11,12,64,21,26,14,26,11,34,58,44,133,28,cup
46,62,27,158,118,38,16,33,68,48,19,15,31,34,19,110,13,255,14,cup
33,47,20,113,99,40,19,25,140,37,11,20,22,17,25,148,32,255,17,cup
21,27,17,81,68,19,7,15,90,16,11,13,15,13,12,85,15,255,10,cup
10,15,10,62,44,10,5,8,84,8,5,7,6,8,12,100,13,255,6,cup
6,10,9,129,128,11,5,4,115,6,3,7,6,7,12,95,6,255,7,cup
28,50,40,241,241,45,21,21,150,23,19,21,29,24,22,127,27,255,18,cup
28,43,24,133,101,34,17,22,140,26,9,11,22,21,19,115,18,255,10,cup
36,45,32,209,205,38,22,28,106,34,23,21,30,27,29,101,31,209,17,cup
25,41,21,56,53,35,12,17,110,22,19,20,21,18,18,93,26,255,21,cup
46,62,40,200,201,50,26,26,72,47,17,20,32,31,17,72,14,153,11,cup
15,26,6,77,60,9,3,9,81,12,9,4,3,11,11,107,16,255,17,cup
10,17,10,67,43,11,6,6,52,11,5,5,8,5,5,50,6,167,6,cup
38,42,23,133,84,42,19,17,118,24,12,14,15,24,11,142,19,255,14,cup
12,24,15,198,207,16,8,8,93,10,20,13,11,10,27,87,30,255,22,cup
8,15,9,44,39,13,5,5,72,7,6,8,6,7,7,98,8,255,8,cup
18,23,4,60,61,6,2,12,44,22,9,3,5,10,10,99,55,255,48,cup
30,40,22,66,41,33,16,20,116,23,11,18,24,22,14,128,15,255,9,cup
50,61,47,77,69,58,21,23,136,40,36,27,30,38,36,151,41,235,50,cup
14,30,23,122,110,29,17,9,105,16,11,15,22,15,21,100,14,255,12,cup
5,7,11,78,47,10,9,2,58,3,6,6,10,4,5,46,2,255,2,cup
3,5,0,74,64,0,0,1,36,5,0,0,0,3,0,39,2,247,3,cup
19,30,11,235,204,19,8,9,71,18,13,9,8,10,26,70,24,93,14,cup
4,4,0,12,16,0,0,3,36,7,0,0,0,3,0,37,2,130,3,cup
31,48,23,217,202,33,15,24,108,31,31,16,24,30,44,147,35,203,14,cup
12,18,15,39,44,23,8,6,115,10,10,11,11,9,17,91,8,255,9,cup
8,14,11,130,132,13,6,6,72,8,9,8,8,7,17,79,14,255,8,cup
36,63,23,172,172,39,16,27,119,39,22,19,28,31,25,154,30,255,24,cup
28,45,32,218,172,37,17,20,92,35,31,22,26,22,35,84,33,218,27,cup
28,38,20,62,68,23,15,14,97,20,10,14,19,15,15,108,14,255,9,cup
28,42,25,163,120,33,20,14,74,32,33,18,22,22,41,78,37,185,25,cup
27,40,38,222,248,40,16,13,77,26,29,17,31,15,38,67,29,120,28,cup
6,9,13,82,66,17,8,4,107,6,10,9,12,6,11,73,6,255,5,cup
40,61,31,154,135,36,29,39,112,39,9,21,33,30,18,109,20,255,14,cup
22,28,20,13,17,25,9,9,60,18,14,12,21,12,14,65,5,136,7,cup
17,25,27,171,138,33,14,9,82,17,5,15,27,12,13,82,11,175,9,cup
13,23,14,106,105,17,13,9,104,12,7,16,17,14,15,97,15,255,8,cup
29,38,34,227,180,35,20,21,75,25,27,17,23,16,29,57,30,192,19,cup
33,46,26,142,97,31,14,18,114,26,11,14,19,17,20,128,15,255,14,cup
12,20,6,34,29,9,3,5,69,9,18,5,3,7,16,108,18,219,14,cup
34,42,32,226,154,45,24,20,96,28,12,23,34,21,24,103,17,169,8,cup
36,50,26,137,155,43,27,26,134,30,25,21,29,24,34,129,43,255,27,cup
18,31,17,93,104,22,12,13,100,18,27,13,11,16,31,115,30,255,34,cup
35,47,23,83,85,31,12,16,153,25,15,13,12,18,10,160,10,255,10,cup
22,31,32,249,215,34,19,13,62,19,29,22,28,8,22,40,24,128,29,cup
6,11,7,78,84,8,3,4,56,6,6,3,5,8,12,52,14,255,5,cup
77,62,0,77,83,0,0,28,36,68,0,0,0,28,0,60,0,93,2,cup
22,27,0,162,223,0,0,15,36,26,0,0,0,11,0,58,3,145,6,ferry
10,23,7,211,147,12,10,9,38,7,23,10,9,12,63,49,77,75,26,ferry
25,35,20,196,169,32,14,21,68,21,33,12,17,20,59,64,55,117,20,ferry
24,29,24,48,58,25,13,12,100,16,23,21,21,24,35,103,31,33,16,ferry
29,46,21,237,193,29,17,24,40,39,18,8,13,21,25,65,52,24,29,ferry
35,41,24,151,209,28,24,30,59,25,22,16,20,18,41,59,55,27,33,ferry
23,27,21,238,255,32,18,12,40,25,31,13,21,10,38,30,33,70,28,ferry
33,26,19,89,174,25,11,27,34,30,42,13,21,16,37,54,50,8,48,ferry
31,33,14,132,169,26,8,15,75,22,23,8,15,18,37,90,63,255,24,ferry
27,46,33,216,251,36,22,21,72,31,29,16,29,22,40,68,31,74,21,ferry
26,37,24,186,144,34,22,24,71,25,28,16,16,27,50,99,68,96,39,ferry
24,27,28,205,199,30,12,14,95,22,20,14,26,16,24,90,15,55,15,ferry
42,54,20,245,238,32,19,21,110,31,36,16,19,21,32,97,32,121,27,ferry
31,50,24,230,214,30,18,27,107,34,39,15,22,25,47,121,27,102,31,ferry
10,18,12,62,107,16,16,8,69,8,33,7,9,5,49,51,42,14,23,ferry
64,86,36,133,159,42,23,34,73,46,30,22,36,36,42,88,78,42,44,ferry
19,34,12,217,185,18,7,15,70,17,16,7,8,11,24,85,34,255,21,ferry
22,35,24,237,255,30,16,24,89,21,35,17,14,23,56,89,74,133,28,ferry
34,47,19,253,206,30,21,24,34,25,50,15,24,19,64,54,48,70,42,ferry
9,17,12,158,184,13,7,7,55,9,13,9,7,10,25,54,30,109,16,ferry
24,37,30,122,153,46,23,21,113,21,21,17,24,24,43,82,59,62,34,ferry
46,57,48,73,96,52,22,31,85,41,29,25,47,28,44,104,45,25,36,ferry
16,25,16,150,154,30,17,9,49,18,40,13,21,13,36,57,35,61,44,ferry
26,35,22,231,255,25,20,23,54,26,23,22,20,19,40,75,57,112,24,ferry
38,56,32,237,255,34,18,23,115,32,25,20,24,22,44,97,52,123,31,ferry
26,32,25,255,235,39,12,22,107,25,38,17,26,17,47,85,33,120,24,ferry
29,35,19,253,157,27,12,23,46,24,22,9,21,15,21,55,21,20,21,ferry
63,70,28,133,175,33,16,29,43,61,20,11,27,27,14,36,23,8,21,ferry
20,18,0,124,115,0,0,11,36,32,0,0,0,11,0,45,1,107,4,ferry
4,7,4,64,117,5,4,3,45,4,2,3,2,3,5,47,7,98,4,ferry
17,24,33,170,239,41,23,11,96,19,60,19,27,12,55,47,33,48,52,ferry
30,41,22,131,195,34,19,18,84,26,8,16,26,16,15,113,14,42,12,ferry
17,27,13,178,191,19,8,10,64,13,19,9,12,8,21,71,22,110,22,ferry
38,47,35,232,252,47,21,20,102,38,28,25,36,22,45,81,40,176,33,ferry
16,27,20,151,178,30,17,9,68,14,31,14,16,12,71,72,44,81,16,ferry
31,51,31,135,153,49,19,19,111,29,32,21,21,22,42,108,42,49,40,ferry
23,26,34,230,194,42,23,12,50,20,37,12,33,17,30,35,48,54,37,ferry
34,41,31,198,249,34,23,18,89,41,16,18,32,21,35,95,36,114,13,ferry
31,33,23,234,155,32,17,14,45,26,40,15,24,17,31,42,27,159,40,ferry
31,42,36,102,163,58,25,17,118,25,18,29,31,17,40,91,27,19,30,ferry
24,32,21,255,253,27,19,12,89,15,54,19,23,13,78,74,55,64,29,ferry
40,49,15,193,255,29,10,24,31,37,36,9,18,20,39,66,37,65,41,ferry
33,55,28,160,242,42,31,24,128,24,12,24,24,19,34,128,26,47,11,ferry
8,19,10,164,227,17,4,6,54,7,17,7,7,8,21,52,28,198,16,ferry
25,20,33,119,170,34,13,8,59,20,6,16,26,9,9,35,6,42,6,ferry
