@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 19'

@attribute 'Histogram of JPEG Coefficients57' numeric
@attribute 'Histogram of JPEG Coefficients45' numeric
@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients58' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients31' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients23' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
36,19,23,13,131,44,23,21,52,0,0,44,0,0,0,0,14,0,50,ant
137,39,22,69,169,103,54,102,141,17,22,121,22,23,12,25,110,37,67,ant
14,5,23,169,255,13,30,106,19,9,15,28,13,6,11,25,44,18,98,ant
24,14,17,11,132,30,17,12,29,0,0,40,0,0,0,0,10,0,48,ant
9,9,43,128,255,14,58,105,25,10,32,34,21,17,15,17,43,37,102,ant
64,2,45,116,255,49,45,67,30,20,31,44,25,26,26,11,49,46,101,ant
6,7,5,151,255,9,7,117,19,2,7,20,5,1,4,7,24,7,57,ant
19,0,14,42,108,5,22,39,4,6,13,17,10,9,9,4,22,22,79,ant
86,82,27,98,202,97,23,139,147,0,0,95,0,0,0,0,46,0,49,ant
47,27,25,19,14,64,29,15,49,79,52,58,54,106,29,7,20,37,30,ant
26,9,25,211,198,10,39,235,17,15,37,65,34,29,16,28,140,48,74,ant
67,36,49,118,255,36,73,94,170,13,31,199,25,21,11,5,82,40,55,ant
17,5,18,17,155,16,23,15,21,4,9,31,7,10,4,6,11,16,59,ant
5,3,24,154,157,3,45,127,11,17,26,19,31,26,19,26,71,41,67,ant
11,4,10,17,145,9,18,12,10,2,7,16,4,3,2,5,8,13,54,ant
69,56,75,117,83,85,67,153,145,0,0,187,0,0,0,0,184,0,48,ant
12,2,18,37,197,6,23,25,13,9,17,28,10,12,9,3,16,21,70,ant
11,8,8,22,176,16,18,22,21,4,15,27,10,7,6,2,23,16,60,ant
57,31,51,3,24,67,46,7,69,0,0,76,0,0,0,0,10,0,25,ant
7,21,13,8,135,7,20,11,18,11,10,19,7,16,6,3,11,15,57,ant
17,9,27,148,255,7,42,74,11,14,23,15,21,22,10,10,30,34,55,ant
0,0,41,107,76,0,59,105,17,31,29,37,29,23,26,25,69,50,78,ant
19,12,37,147,185,18,48,129,26,15,33,21,27,19,33,35,61,48,123,ant
28,31,26,93,255,27,38,91,54,20,28,45,32,26,21,15,35,50,114,ant
0,0,4,18,154,1,10,17,2,1,3,4,2,1,2,4,7,6,48,brontosaurus
7,2,6,9,143,4,12,6,14,2,6,14,6,5,4,2,6,9,57,brontosaurus
4,1,6,33,136,5,9,36,8,2,8,15,3,5,3,17,24,9,52,brontosaurus
37,24,23,223,182,35,36,188,77,11,20,68,19,18,9,33,185,35,81,brontosaurus
57,4,60,178,172,30,65,185,34,27,49,62,42,46,32,31,133,56,108,brontosaurus
70,74,22,5,21,81,34,8,135,21,26,112,27,24,11,15,7,38,62,brontosaurus
143,168,47,77,29,176,56,69,252,16,36,213,27,34,17,13,78,43,67,brontosaurus
68,29,34,97,232,49,49,112,66,18,31,85,34,20,22,13,72,43,114,brontosaurus
10,2,16,41,175,7,17,42,10,7,13,15,14,9,7,8,41,18,70,brontosaurus
73,28,35,212,96,69,44,254,47,20,23,46,27,14,20,32,218,37,86,brontosaurus
5,5,10,11,136,8,16,12,11,9,12,16,11,11,6,2,8,13,55,brontosaurus
156,134,48,28,61,151,72,33,211,15,25,219,24,17,11,8,37,37,102,brontosaurus
169,96,41,103,86,166,46,95,255,19,31,206,31,25,18,19,118,43,75,brontosaurus
169,61,49,206,214,127,56,167,139,27,36,139,32,35,23,16,163,54,80,brontosaurus
1,1,7,5,150,2,6,4,4,0,0,6,0,0,0,0,2,0,40,brontosaurus
29,5,21,240,125,9,31,255,13,11,26,15,20,18,14,67,170,29,68,brontosaurus
47,117,34,14,149,68,50,21,109,16,25,70,15,26,10,16,27,36,95,brontosaurus
23,9,39,255,102,15,71,211,35,18,28,49,27,20,20,52,97,35,98,brontosaurus
9,3,10,14,152,7,13,10,7,3,6,5,5,7,3,2,8,8,57,brontosaurus
21,8,32,181,131,19,56,151,25,18,27,50,21,21,17,38,101,43,68,brontosaurus
59,6,32,199,158,29,48,222,29,22,24,63,20,15,24,48,255,33,117,brontosaurus
137,73,32,141,255,124,40,126,210,17,22,223,30,30,19,34,77,47,69,brontosaurus
62,10,19,191,240,52,31,202,67,27,29,78,35,36,19,25,144,33,52,brontosaurus
14,3,11,49,149,16,20,49,11,8,8,13,10,12,9,14,43,14,54,brontosaurus
6,8,17,251,127,10,27,211,12,8,19,16,16,12,11,38,92,23,69,brontosaurus
27,12,58,198,201,35,57,146,31,0,0,51,0,0,0,0,119,0,94,brontosaurus
56,29,58,66,31,49,50,75,96,0,0,93,0,0,0,0,61,0,69,brontosaurus
4,1,3,8,134,5,4,9,5,1,2,3,2,2,2,1,7,4,40,brontosaurus
22,5,44,155,221,20,65,148,17,21,34,25,40,25,21,12,90,51,85,brontosaurus
20,9,15,23,155,17,24,25,26,10,14,30,11,14,8,12,23,13,59,brontosaurus
18,9,25,136,185,18,29,152,48,15,30,44,25,24,16,4,42,42,70,brontosaurus
72,52,67,112,54,91,75,158,122,0,0,114,0,0,0,0,91,0,51,brontosaurus
113,34,59,106,62,78,68,152,65,15,21,99,18,23,12,86,160,29,110,brontosaurus
43,14,47,188,222,35,45,204,48,15,33,44,26,20,20,29,121,46,115,brontosaurus
4,0,4,28,150,2,19,21,7,6,12,9,6,8,5,6,13,13,51,brontosaurus
85,59,71,47,27,81,67,64,255,53,73,239,75,75,28,46,93,77,88,brontosaurus
5,3,5,4,132,5,6,5,8,2,3,10,2,3,2,4,4,6,46,brontosaurus
142,40,47,40,81,115,41,45,105,0,0,90,0,0,0,0,43,0,57,brontosaurus
9,3,7,13,136,7,11,17,9,2,5,15,4,4,2,6,10,5,44,brontosaurus
33,24,21,44,164,47,31,42,55,13,32,59,15,21,13,40,50,47,61,brontosaurus
31,158,41,16,143,24,55,14,37,22,23,27,22,32,12,10,17,40,93,brontosaurus
181,69,19,206,89,123,39,201,147,12,17,168,18,19,10,36,141,34,41,brontosaurus
20,6,5,22,131,12,6,19,18,3,4,19,2,4,2,12,18,5,48,brontosaurus
14,7,37,141,228,12,52,113,42,9,27,47,22,18,11,16,43,36,121,chandelier
10,13,49,229,173,5,60,224,73,16,31,73,23,25,18,27,119,35,83,chandelier
18,29,25,87,255,26,31,50,53,6,15,48,11,11,6,15,30,24,77,chandelier
38,9,34,138,205,26,48,134,28,9,18,57,14,9,13,21,61,28,135,chandelier
44,14,36,181,229,58,64,239,73,7,19,112,14,12,8,11,206,24,112,chandelier
23,28,36,46,255,27,57,40,33,8,15,36,13,11,9,15,26,34,127,chandelier
17,8,26,88,255,12,40,98,20,18,37,26,28,24,24,21,72,43,90,chandelier
4,4,7,1,130,5,11,3,10,2,7,13,4,3,2,1,4,10,63,chandelier
47,22,36,117,163,32,53,106,96,20,35,114,28,33,22,21,62,47,116,chandelier
11,12,11,23,159,19,16,58,20,3,10,42,9,6,6,11,82,15,65,chandelier
31,12,27,38,255,34,36,51,40,8,18,53,14,15,11,20,74,30,134,chandelier
65,50,25,148,239,68,43,123,102,18,19,114,21,31,17,17,102,36,73,chandelier
43,52,31,91,181,59,39,75,112,14,20,94,16,17,12,13,40,32,136,chandelier
65,34,17,210,225,48,33,194,116,13,21,121,18,23,15,15,85,35,72,chandelier
9,2,12,10,150,6,18,9,9,2,8,7,7,3,4,2,4,12,55,chandelier
13,18,34,100,216,23,39,94,43,19,32,47,27,21,23,44,49,50,122,chandelier
5,6,22,157,166,1,29,175,5,9,15,11,11,11,8,35,103,26,86,chandelier
36,6,5,186,212,22,10,132,22,5,13,43,8,4,8,11,80,14,51,chandelier
56,36,43,114,156,53,65,135,129,17,30,132,20,21,17,41,92,42,114,chandelier
108,28,17,192,210,80,29,179,69,13,20,69,19,20,10,28,197,30,48,chandelier
23,21,14,65,215,17,18,43,44,2,12,50,7,4,5,7,36,14,85,chandelier
19,3,36,38,109,15,41,47,16,11,38,24,28,20,16,8,33,40,125,chandelier
74,15,47,194,210,63,53,235,54,21,34,68,29,23,21,42,85,50,119,chandelier
53,31,29,110,180,38,49,96,85,12,25,84,23,21,12,12,60,32,96,chandelier
25,5,24,153,237,21,45,142,31,10,23,28,17,12,14,67,65,37,105,chandelier
150,53,9,112,61,120,9,197,86,4,9,94,7,6,4,19,167,11,54,chandelier
6,4,26,20,203,5,50,20,16,10,21,21,17,15,11,8,8,35,119,chandelier
12,1,21,83,183,11,36,114,10,8,19,18,15,11,9,12,91,26,171,chandelier
81,30,46,215,234,101,57,253,58,23,43,69,30,30,25,38,250,57,113,chandelier
237,100,7,17,42,215,11,32,241,11,22,255,20,17,21,35,57,37,60,chandelier
120,34,60,116,43,109,92,150,78,37,43,113,44,57,27,20,239,57,91,chandelier
4,3,23,161,97,13,35,167,12,11,15,11,17,10,14,18,38,28,115,chandelier
45,9,34,123,255,44,52,132,50,17,33,95,26,22,15,7,62,42,69,chandelier
15,8,12,65,193,14,18,89,35,8,22,39,18,14,13,10,58,32,87,chandelier
37,30,30,238,205,48,61,210,84,35,69,96,46,51,40,26,73,80,82,chandelier
25,16,48,62,25,18,59,91,58,15,36,48,29,20,23,18,255,41,122,chandelier
32,11,27,82,255,28,48,49,38,10,27,52,21,18,14,5,30,27,155,chandelier
8,13,6,41,255,13,12,56,23,3,6,44,5,5,5,3,21,8,76,chandelier
9,3,45,144,155,4,64,103,6,15,26,7,25,21,15,17,33,39,70,chandelier
15,6,45,122,255,7,60,116,26,16,34,31,26,23,17,21,65,53,125,chandelier
1,0,7,16,154,0,14,14,5,3,7,6,5,4,5,1,8,11,59,chandelier
11,9,6,49,228,10,10,57,16,1,5,29,4,2,3,2,17,5,79,chandelier
109,151,36,131,93,92,36,159,164,47,53,140,49,65,29,32,171,59,95,chandelier
34,17,49,119,161,36,81,79,34,22,53,61,35,29,33,33,38,84,125,chandelier
25,7,27,158,255,19,34,135,16,0,0,29,0,0,0,0,60,0,56,chandelier
42,39,33,145,249,45,44,113,111,14,32,95,26,27,14,14,48,39,107,chandelier
67,32,21,123,98,54,43,150,65,16,23,84,22,28,17,17,234,41,99,chandelier
145,61,42,51,80,118,54,66,144,9,25,156,16,15,7,34,70,41,105,chandelier
4,3,8,11,157,5,19,8,9,2,12,10,6,5,5,6,4,22,63,chandelier
14,35,28,102,255,24,43,96,29,13,29,49,24,14,16,25,64,44,86,chandelier
57,15,9,100,255,38,16,114,27,4,10,40,9,7,6,5,65,11,59,chandelier
50,30,26,140,165,28,59,185,90,23,48,120,32,29,35,32,186,60,107,chandelier
3,3,21,91,255,5,30,68,7,7,17,7,14,12,9,8,14,26,70,chandelier
49,37,30,84,203,53,40,126,89,20,28,89,31,24,17,18,97,43,92,chandelier
27,23,38,46,148,26,46,55,55,16,27,58,26,27,14,19,34,40,120,chandelier
32,29,28,23,255,45,30,67,66,3,18,80,16,13,8,9,54,26,100,chandelier
30,31,19,76,255,44,31,62,62,10,14,85,16,15,9,10,69,19,82,chandelier
81,49,28,127,244,86,41,111,97,18,32,141,20,24,19,12,93,43,93,chandelier
77,23,20,140,143,51,41,149,106,14,16,144,14,20,10,15,79,41,71,chandelier
56,16,29,85,255,45,43,110,32,14,23,63,19,19,18,18,109,42,136,chandelier
152,36,34,95,255,94,42,115,98,15,29,109,23,30,16,38,96,44,105,chandelier
20,11,12,85,255,18,23,64,51,7,16,81,15,9,7,11,38,24,75,chandelier
32,35,24,113,224,26,39,109,71,10,23,75,17,12,10,8,95,28,102,chandelier
65,44,38,124,245,74,65,105,104,21,39,124,35,30,20,9,76,55,114,chandelier
35,25,32,54,255,54,54,107,56,17,27,74,26,23,19,30,24,37,115,chandelier
15,8,24,72,116,23,34,78,23,7,21,36,18,13,11,40,43,27,91,chandelier
31,15,17,145,207,41,29,126,54,4,16,68,9,6,9,12,50,23,82,chandelier
31,12,9,141,142,33,15,125,15,3,8,28,4,3,4,7,60,11,75,chandelier
17,6,21,19,168,16,38,16,13,6,21,17,15,10,10,14,11,33,76,chandelier
111,16,15,226,204,107,28,255,80,5,12,117,9,9,4,19,112,32,51,chandelier
23,18,21,96,255,35,39,88,28,6,14,41,11,12,9,10,66,24,111,chandelier
13,8,47,108,159,14,56,62,27,28,33,29,29,23,34,40,19,50,117,chandelier
73,15,28,42,119,68,39,84,38,5,18,50,10,11,8,49,106,25,177,chandelier
21,13,20,2,145,22,23,3,26,17,19,38,17,24,10,3,4,22,80,chandelier
85,60,54,62,49,108,64,35,158,33,42,171,44,44,23,12,38,63,89,chandelier
54,10,13,147,54,27,21,173,33,7,12,42,14,13,5,21,144,24,40,chandelier
23,19,13,41,255,35,18,40,59,4,13,69,10,5,9,5,44,19,64,chandelier
3,3,7,0,132,5,6,2,5,3,8,5,5,7,3,1,1,9,51,chandelier
17,11,22,49,196,27,38,44,46,8,26,42,19,10,12,3,22,33,138,chandelier
15,0,6,16,150,8,15,18,14,6,15,19,11,10,7,2,13,18,74,chandelier
14,6,22,104,166,17,33,113,29,20,28,37,34,29,20,5,144,41,63,chandelier
15,8,31,19,161,11,46,23,27,14,22,33,21,15,13,9,20,34,109,chandelier
42,15,39,185,250,28,48,165,44,6,17,75,12,10,7,13,100,19,126,chandelier
51,26,51,126,164,70,74,139,65,7,19,72,17,10,7,17,42,35,129,chandelier
20,7,40,89,255,15,60,97,30,19,29,46,25,18,21,21,16,43,145,chandelier
15,17,11,90,255,19,19,71,24,10,16,35,13,6,17,24,21,24,103,chandelier
23,12,79,97,255,18,79,120,16,0,0,22,0,0,0,0,65,0,149,chandelier
6,2,16,24,157,2,20,28,9,5,8,20,10,11,4,3,11,16,75,chandelier
50,13,18,136,165,48,30,156,69,27,31,84,35,30,21,6,91,52,60,chandelier
125,22,45,110,75,110,50,151,127,19,38,184,26,26,25,18,54,34,105,chandelier
11,10,6,17,255,27,11,35,22,2,11,40,6,3,5,18,44,14,78,chandelier
44,31,7,204,215,48,11,227,92,6,8,105,7,7,5,9,156,13,65,chandelier
24,20,28,179,200,27,56,190,35,10,23,42,20,16,16,11,81,32,105,chandelier
6,8,10,5,140,8,13,4,19,8,11,17,13,13,7,1,2,12,59,chandelier
82,60,46,180,190,90,72,196,107,48,58,99,73,70,40,23,94,90,77,chandelier
26,16,20,14,158,35,28,12,29,13,20,34,17,28,9,6,8,30,67,chandelier
17,3,19,81,255,13,26,62,18,15,28,24,27,19,22,29,42,34,112,chandelier
16,14,12,91,255,18,20,56,24,4,9,34,5,4,8,15,55,12,81,chandelier
33,9,22,83,171,37,29,96,26,6,25,26,14,10,11,26,37,28,135,chandelier
106,39,40,186,215,86,61,248,111,20,29,143,24,25,14,17,174,33,108,chandelier
14,8,37,83,255,13,60,75,16,17,29,28,25,15,21,20,29,34,146,chandelier
8,8,54,94,126,5,67,86,49,21,39,75,32,17,18,14,30,46,139,chandelier
37,28,36,145,255,68,39,119,95,13,22,86,19,15,12,22,36,35,78,chandelier
25,33,16,99,214,29,24,122,96,9,14,85,11,10,12,6,48,19,92,chandelier
27,21,46,156,114,33,54,168,90,31,52,75,45,38,29,40,121,63,99,chandelier
6,5,10,3,149,5,13,3,11,3,11,13,6,7,6,2,4,12,64,chandelier
13,5,9,31,181,13,12,33,25,2,8,28,5,2,3,2,18,5,82,chandelier
15,13,10,104,255,22,17,91,45,2,9,72,5,5,4,10,89,11,69,cup
131,15,42,217,255,59,59,238,68,14,34,138,26,28,19,38,169,40,96,cup
2,1,30,104,255,6,46,92,34,11,35,47,32,26,19,15,41,47,89,cup
3,3,40,101,255,4,45,68,9,27,37,8,38,23,22,13,21,47,104,cup
11,6,15,61,255,9,25,55,13,10,20,20,17,16,9,20,46,26,101,cup
35,4,16,56,164,15,24,67,21,4,7,28,5,7,4,5,50,12,55,cup
8,1,16,111,255,3,27,85,6,13,21,12,22,18,9,15,59,25,63,cup
30,9,41,58,49,33,71,81,40,13,38,52,33,21,14,79,70,65,144,cup
42,24,4,139,255,39,4,129,47,2,3,50,2,3,1,4,84,4,44,cup
17,4,36,255,189,17,44,218,17,13,25,21,22,19,11,26,143,43,92,cup
57,34,26,226,133,46,33,255,47,17,29,33,26,27,11,34,191,41,58,cup
47,8,46,158,255,78,62,118,39,15,27,56,31,25,16,19,95,38,110,cup
3,4,33,113,255,5,47,99,6,19,20,10,22,16,19,25,79,40,148,cup
12,4,21,81,255,7,27,68,11,10,17,18,15,13,7,12,48,19,85,cup
5,3,10,62,255,5,15,44,10,3,10,14,6,3,5,12,35,10,100,cup
13,6,6,129,255,13,10,128,25,4,9,26,6,2,5,12,65,11,95,cup
36,3,28,241,255,13,50,241,26,14,40,44,29,17,21,22,137,45,127,cup
3,4,28,133,255,4,43,101,6,20,24,12,22,17,17,19,71,34,115,cup
53,11,36,209,209,42,45,205,27,22,32,33,30,27,22,29,140,38,101,cup
14,8,25,56,255,30,41,53,22,8,21,32,21,16,12,18,34,35,93,cup
91,1,46,200,153,28,62,201,34,22,40,93,32,30,26,17,155,50,72,cup
9,3,15,77,255,7,26,60,8,1,6,14,3,2,3,11,33,9,107,cup
2,1,10,67,167,2,17,43,11,5,10,17,8,6,6,5,19,11,50,cup
3,5,38,133,255,4,42,84,8,17,23,10,15,21,19,11,58,42,142,cup
22,16,12,198,255,24,24,207,37,2,15,33,11,8,8,27,128,16,87,cup
10,4,8,44,255,6,15,39,10,4,9,17,6,5,5,7,20,13,98,cup
13,8,18,60,255,13,23,61,15,2,4,22,5,4,2,10,42,6,99,cup
1,2,30,66,255,3,40,41,7,11,22,15,24,19,16,14,45,33,128,cup
67,30,50,77,235,51,61,69,52,20,47,59,30,36,21,36,63,58,151,cup
52,10,14,122,255,40,30,110,30,14,23,60,22,13,17,21,67,29,100,cup
27,6,5,78,255,32,7,47,10,13,11,12,10,9,9,5,26,10,46,cup
9,8,3,74,247,9,5,64,17,0,0,13,0,0,0,0,40,0,39,cup
75,17,19,235,93,45,30,204,33,6,11,56,8,10,8,26,157,19,70,cup
10,1,4,12,130,9,4,16,4,0,0,4,0,0,0,0,17,0,37,cup
8,10,31,217,203,9,48,202,22,12,23,37,24,19,15,44,118,33,147,cup
28,12,12,39,255,19,18,44,39,3,15,44,11,9,8,17,35,23,91,cup
18,11,8,130,255,23,14,132,41,3,11,38,8,6,6,17,61,13,79,cup
3,1,36,172,255,2,63,172,8,12,23,12,28,16,16,25,99,39,154,cup
93,29,28,218,218,80,45,172,81,13,32,83,26,22,17,35,134,37,84,cup
31,6,28,62,255,31,38,68,26,12,20,42,19,14,15,15,53,23,108,cup
8,3,28,163,185,7,42,120,7,17,25,10,22,17,20,41,47,33,78,cup
98,2,27,222,120,45,40,248,32,19,38,48,31,28,16,38,160,40,67,cup
4,4,6,82,255,3,9,66,9,5,13,8,12,4,8,11,31,17,73,cup
56,10,40,154,255,52,61,135,40,22,31,56,33,26,29,18,76,36,109,cup
28,16,22,13,136,27,28,17,26,12,20,24,21,19,9,14,19,25,65,cup
78,3,17,171,175,41,25,138,31,13,27,46,27,16,14,13,72,33,82,cup
21,11,13,106,255,24,23,105,29,7,14,38,17,10,13,15,45,17,97,cup
33,6,29,227,192,21,38,180,26,18,34,38,23,30,20,29,102,35,57,cup
3,4,33,142,255,5,46,97,6,11,26,8,19,15,14,20,73,31,128,cup
9,3,12,34,219,8,20,29,14,2,6,18,3,2,3,16,29,9,108,cup
66,4,34,226,169,19,42,154,14,24,32,60,34,26,24,24,90,45,103,cup
37,20,36,137,255,68,50,155,35,16,26,40,29,19,27,34,117,43,129,cup
8,5,18,93,255,13,31,104,23,5,17,37,11,8,12,31,78,22,115,cup
11,4,35,83,255,12,47,85,13,7,23,21,12,10,12,10,61,31,160,cup
13,8,22,249,128,12,31,215,13,24,32,23,28,27,19,22,135,34,40,cup
32,5,6,78,255,24,11,84,25,3,7,29,5,2,3,12,74,8,52,cup
3,1,77,77,93,1,62,83,19,0,0,26,0,0,0,0,115,0,60,cup
114,34,22,162,145,103,27,223,67,0,0,91,0,0,0,0,166,0,58,ferry
13,3,10,211,75,15,23,147,16,6,7,24,9,4,10,63,90,12,49,ferry
120,4,25,196,117,71,35,169,23,11,20,29,17,13,14,59,159,32,64,ferry
255,30,24,48,33,140,29,58,116,8,24,105,21,13,13,35,127,25,103,ferry
71,4,29,237,24,30,46,193,23,15,21,54,13,20,17,25,175,29,65,ferry
67,1,35,151,27,33,41,209,31,21,24,77,20,17,24,41,116,28,59,ferry
71,0,23,238,70,34,27,255,17,21,21,30,21,24,18,38,196,32,30,ferry
73,12,33,89,8,44,26,174,50,18,19,42,21,20,11,37,233,25,54,ferry
36,12,31,132,255,27,33,169,37,5,14,61,15,11,8,37,137,26,90,ferry
21,0,27,216,74,7,46,251,11,22,33,26,29,28,22,40,188,36,68,ferry
38,5,26,186,96,18,37,144,18,17,24,27,16,21,22,50,66,34,99,ferry
39,6,24,205,55,33,27,199,21,13,28,37,26,24,12,24,145,30,90,ferry
2,3,42,245,121,3,54,238,14,15,20,19,19,19,19,32,185,32,97,ferry
117,20,31,230,102,66,50,214,38,18,24,66,22,25,18,47,224,30,121,ferry
154,8,10,62,14,65,18,107,66,11,12,62,9,9,16,49,141,16,51,ferry
151,7,64,133,42,89,86,159,37,21,36,63,36,34,23,42,209,42,88,ferry
21,7,19,217,255,11,34,185,20,5,12,33,8,9,7,24,135,18,85,ferry
13,4,22,237,133,7,35,255,18,10,24,24,14,14,16,56,157,30,89,ferry
66,9,34,253,70,48,47,206,41,21,19,60,24,17,21,64,119,30,54,ferry
142,26,9,158,109,84,17,184,60,4,12,60,7,9,7,25,188,13,54,ferry
59,11,24,122,62,34,37,153,36,22,30,37,24,27,23,43,101,46,82,ferry
188,32,46,73,25,123,57,96,78,28,48,79,47,46,22,44,129,52,104,ferry
51,3,16,150,61,20,25,154,17,12,16,30,21,22,17,36,110,30,57,ferry
35,6,26,231,112,12,35,255,25,17,22,31,20,13,20,40,171,25,75,ferry
64,12,38,237,123,44,56,255,35,22,32,38,24,21,18,44,227,34,97,ferry
36,7,26,255,120,18,32,235,32,20,25,35,26,15,12,47,176,39,85,ferry
71,2,29,253,20,17,35,157,14,20,19,40,21,18,12,21,210,27,55,ferry
255,53,63,133,8,218,70,175,104,35,28,138,27,51,16,14,117,33,36,ferry
77,16,20,124,107,54,18,115,25,0,0,28,0,0,0,0,142,0,45,ferry
16,10,4,64,98,11,7,117,13,2,4,25,2,1,4,5,139,5,47,ferry
92,7,17,170,48,58,24,239,22,19,33,30,27,27,23,55,255,41,47,ferry
87,6,30,131,42,37,41,195,32,17,22,48,26,22,19,15,200,34,113,ferry
41,16,17,178,110,35,27,191,49,11,13,47,12,10,8,21,124,19,71,ferry
64,14,38,232,176,36,47,252,47,21,35,70,36,34,21,45,202,47,81,ferry
40,2,16,151,81,21,27,178,18,9,20,29,16,12,17,71,162,30,72,ferry
114,7,31,135,49,64,51,153,59,20,31,66,21,20,19,42,166,49,108,ferry
217,38,23,230,54,211,26,194,69,20,34,94,33,29,23,30,146,42,35,ferry
111,14,34,198,114,65,41,249,68,17,31,82,32,24,23,35,200,34,95,ferry
64,3,31,234,159,86,33,155,38,20,23,57,24,31,17,31,73,32,42,ferry
116,16,31,102,19,72,42,163,67,29,36,111,31,47,25,40,172,58,91,ferry
49,4,24,255,64,19,32,253,15,16,21,21,23,11,19,78,241,27,74,ferry
86,13,40,193,65,48,49,255,31,11,15,30,18,23,10,39,181,29,66,ferry
114,4,33,160,47,50,55,242,21,18,28,53,24,24,31,34,200,42,128,ferry
33,6,8,164,198,17,19,227,46,3,10,35,7,5,4,21,201,17,52,ferry
124,13,25,119,42,74,20,170,50,15,33,33,26,28,13,9,255,34,35,ferry
