@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'Spatial Pyramid of Local Binary Patterns3' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns4' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns9' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns16' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns31' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns76' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns81' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns112' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns117' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns153' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns160' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns214' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns215' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns220' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns224' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns252' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns295' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns304' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns309' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns323' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns325' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns327' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns328' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns355' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns359' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns363' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns387' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns396' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns397' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns398' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns399' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns400' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns405' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns427' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns435' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns436' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns440' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns441' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns471' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns472' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns476' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns504' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns512' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns513' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns535' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns540' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns541' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns543' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns549' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns585' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns597' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns615' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns628' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns657' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns664' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns711' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns728' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns729' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns736' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns755' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
1,13,1,13,1,15,2,14,0,1,15,8,4,7,15,4,4,2,2,2,0,0,0,0,0,0,5,5,9,8,1,15,0,1,2,11,13,0,0,0,15,4,15,0,0,11,15,1,3,0,0,0,0,7,12,9,15,0,9,1,ant
4,3,2,4,3,3,1,4,1,2,4,15,14,2,2,8,1,4,1,15,15,3,2,1,15,3,3,13,15,5,4,4,1,5,4,4,7,1,6,6,12,7,4,1,4,12,15,4,2,3,2,6,3,1,3,3,1,1,3,15,ant
3,7,2,7,2,8,1,5,2,2,6,14,12,9,9,12,1,4,1,15,14,2,4,3,15,3,4,10,15,5,1,5,2,0,1,3,6,1,2,9,15,9,10,1,3,14,15,2,2,0,1,4,4,0,11,5,6,2,2,15,ant
0,6,0,8,0,6,0,5,0,0,5,5,3,5,15,4,1,4,0,12,2,0,7,0,3,0,3,3,4,2,0,5,0,0,0,13,14,1,0,6,15,4,15,0,0,4,3,0,0,1,0,0,10,0,7,1,0,0,1,15,ant
2,1,1,2,2,1,1,1,1,0,3,0,15,1,1,3,2,1,3,15,7,3,2,2,15,3,2,3,8,1,2,2,1,1,2,1,1,1,3,1,1,3,2,1,1,4,9,2,1,0,1,1,1,0,4,2,0,1,3,15,ant
0,6,0,8,0,7,0,4,0,0,9,10,9,6,15,3,1,7,2,4,9,1,4,0,10,0,4,2,6,2,0,4,0,0,0,2,15,0,0,5,15,3,15,0,0,3,5,0,0,0,0,0,15,0,6,2,12,2,12,11,ant
1,15,1,14,1,15,1,15,0,1,14,0,1,15,10,2,0,0,0,0,5,0,10,0,3,1,9,6,9,15,0,15,1,0,0,14,15,0,0,15,11,7,12,0,0,5,9,0,0,1,0,2,15,1,13,11,10,1,13,13,ant
0,5,0,7,0,6,0,5,0,0,6,0,0,6,15,0,0,0,0,15,0,0,0,0,0,0,1,1,1,2,0,5,0,0,0,6,15,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,ant
0,11,2,14,0,10,2,11,2,2,13,15,10,12,15,9,0,12,1,10,15,0,9,0,8,0,9,5,9,7,0,8,0,0,0,8,10,2,0,8,13,9,15,2,1,8,14,1,1,2,0,0,12,1,13,8,11,2,9,11,ant
3,7,1,8,3,6,1,7,1,1,9,14,10,5,15,10,1,6,3,10,12,2,5,3,14,3,6,8,9,4,1,6,1,2,1,8,15,1,2,4,12,12,12,0,4,6,12,2,0,0,1,2,3,1,8,6,13,2,6,15,ant
4,3,1,4,3,3,1,3,0,1,3,14,15,2,2,6,1,3,2,12,13,4,3,4,15,2,7,11,14,4,4,3,1,4,4,4,4,1,4,2,2,9,8,0,4,8,15,5,1,1,2,4,3,1,5,2,4,1,3,15,ant
0,7,0,8,0,8,0,7,0,1,9,5,2,8,15,1,0,4,0,2,6,0,7,0,7,0,4,10,15,5,0,8,2,0,0,9,15,0,1,6,15,8,15,1,0,5,8,1,0,0,0,1,14,0,4,7,14,1,12,11,ant
2,11,0,10,1,11,0,13,0,0,9,4,7,9,15,11,1,12,0,6,15,3,10,2,15,1,9,8,12,6,2,15,1,0,1,15,10,0,2,14,15,8,11,0,1,4,4,1,0,0,0,0,10,0,8,6,15,1,11,5,ant
2,10,1,13,2,2,0,11,1,1,12,15,10,10,13,10,1,15,4,12,8,1,6,2,9,2,8,9,15,8,3,12,1,2,1,9,15,0,2,3,2,5,5,1,1,6,7,1,0,2,1,5,1,0,0,8,10,1,10,10,ant
0,8,0,8,0,8,0,9,0,0,7,8,2,5,15,2,0,11,0,2,13,0,10,0,6,1,3,1,3,2,0,7,0,0,0,8,15,0,0,7,15,4,15,0,0,1,2,0,0,0,0,1,6,0,8,7,15,1,7,10,ant
1,8,1,10,2,7,1,12,1,1,8,0,0,7,15,3,1,15,1,7,3,0,5,0,2,1,8,9,15,6,4,13,1,2,3,8,12,2,1,1,8,7,15,1,2,6,12,1,1,0,1,0,14,0,8,6,15,0,6,3,ant
3,8,2,7,3,5,2,11,0,2,7,13,10,7,11,3,1,5,1,12,15,4,8,2,12,2,6,11,9,15,2,9,1,1,1,8,15,0,3,4,6,14,5,2,5,15,15,4,2,2,1,1,6,1,3,3,9,1,5,12,ant
1,9,0,10,0,11,0,7,0,1,11,15,10,10,15,2,0,0,0,0,1,1,1,1,3,0,8,4,8,8,0,8,0,0,0,9,15,0,1,9,13,4,15,0,0,3,9,0,2,0,0,5,8,0,8,6,15,1,11,9,ant
1,10,0,9,0,11,0,10,1,0,8,0,0,0,0,11,4,9,1,6,0,0,0,0,0,15,8,9,15,10,1,10,0,1,1,6,15,1,0,0,0,6,10,0,0,6,13,0,0,0,0,0,5,0,7,5,0,0,0,0,ant
4,3,1,2,3,3,1,3,2,2,2,9,15,3,3,10,2,2,1,14,14,7,3,3,15,3,2,13,13,4,4,3,1,2,4,2,1,2,5,3,4,8,4,0,2,12,14,3,2,1,2,4,3,2,3,4,1,1,1,15,ant
2,2,2,3,2,2,2,1,1,1,6,8,15,1,1,5,0,8,3,15,6,1,2,1,15,2,2,4,6,3,3,1,1,2,2,1,4,1,3,2,0,8,2,2,2,4,7,2,0,2,3,4,3,8,2,6,0,0,0,0,ant
0,9,0,7,0,6,0,11,0,0,7,0,0,8,15,4,3,9,1,10,1,0,3,0,2,0,4,3,3,3,0,8,0,1,0,15,15,1,0,5,15,5,15,0,0,2,2,0,0,0,0,0,6,0,8,1,15,0,6,0,ant
0,11,0,12,0,13,2,10,0,0,11,14,7,9,15,3,0,12,0,1,4,0,5,0,1,0,3,7,15,1,0,7,4,0,0,6,15,0,0,9,15,6,14,2,0,2,5,0,0,1,0,0,5,0,15,5,15,1,11,5,ant
0,6,0,7,0,4,0,9,1,0,7,0,0,5,15,4,0,7,1,9,8,1,6,1,8,1,3,13,14,15,1,8,2,0,0,13,15,1,1,7,15,6,15,0,0,3,4,1,0,0,0,0,7,0,11,6,0,0,0,0,ant
2,10,1,10,2,7,1,8,1,0,8,0,0,0,0,11,1,9,1,11,0,0,0,0,0,2,3,12,15,6,1,6,0,2,0,4,15,0,2,7,7,10,7,1,2,8,13,2,2,0,0,0,8,0,4,2,15,0,9,3,ant
0,4,0,5,0,0,0,2,0,0,6,1,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,4,1,brontosaurus
3,8,2,10,3,11,0,8,1,2,8,13,12,8,15,0,0,0,0,0,15,2,8,2,6,3,6,9,14,8,1,8,1,3,2,8,15,0,0,0,0,4,14,0,0,13,15,3,1,1,2,0,0,0,0,0,15,5,6,11,brontosaurus
0,4,5,6,0,7,7,1,1,0,2,7,9,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,1,0,0,0,1,0,3,4,2,0,0,0,0,10,15,1,1,0,2,0,0,2,2,0,0,0,6,0,1,0,1,15,brontosaurus
1,8,2,11,1,8,2,6,3,3,11,15,9,7,11,5,1,7,1,15,3,0,7,0,4,0,4,12,15,10,4,13,1,3,2,4,9,4,0,10,15,7,15,0,1,10,15,3,1,4,0,0,13,2,13,6,15,2,10,13,brontosaurus
1,11,2,10,0,11,1,11,2,1,7,10,9,11,15,8,0,5,0,8,15,0,9,1,10,2,8,10,15,11,0,14,1,1,0,9,15,1,0,9,7,8,8,0,0,10,15,0,2,1,0,1,6,0,4,0,15,1,6,8,brontosaurus
4,5,2,6,4,5,1,4,2,2,6,15,14,3,5,13,1,5,2,14,12,3,5,4,13,3,5,13,15,7,4,5,2,3,4,5,6,2,3,7,11,14,2,1,3,11,15,3,2,2,2,3,9,2,6,5,7,2,6,14,brontosaurus
3,5,2,5,3,4,2,5,2,2,5,13,10,5,8,11,2,6,3,12,15,2,6,1,10,2,7,12,13,3,3,1,2,3,3,5,6,2,3,4,5,15,4,2,4,11,14,4,1,2,2,2,4,2,5,4,7,2,7,10,brontosaurus
1,3,4,4,1,2,6,4,2,5,4,15,13,1,8,8,1,5,1,13,13,1,4,2,11,2,5,9,15,5,1,4,1,1,1,3,10,1,2,2,7,7,15,0,1,4,4,1,1,1,1,0,3,9,2,1,5,7,3,2,brontosaurus
1,7,2,9,1,0,0,8,2,3,9,3,1,0,15,8,0,6,0,7,5,0,0,0,15,0,3,5,6,2,1,5,1,1,1,6,10,1,0,0,0,0,15,0,0,3,14,0,1,3,0,0,0,0,4,5,9,3,9,9,brontosaurus
2,11,2,12,1,12,1,9,2,1,10,13,10,8,5,11,1,13,0,13,15,1,13,1,11,1,10,11,15,7,2,6,2,2,2,9,5,2,1,11,12,9,11,2,1,12,15,4,1,1,1,0,15,1,14,8,8,0,15,11,brontosaurus
2,5,1,8,2,5,0,3,1,1,8,11,14,6,15,4,0,2,0,15,3,0,0,0,6,2,5,8,6,2,2,3,1,1,3,3,11,1,0,0,0,4,15,0,1,6,9,2,0,2,2,0,0,0,0,0,15,0,9,15,brontosaurus
3,7,2,7,2,9,2,5,2,2,5,9,10,5,4,11,0,4,1,15,13,3,9,2,11,3,4,12,15,7,2,4,2,2,2,3,4,0,4,8,13,13,12,2,4,13,15,1,2,1,0,1,5,2,12,6,9,2,5,10,brontosaurus
2,6,1,6,3,5,1,6,2,1,6,10,9,7,6,12,1,4,0,12,9,0,11,0,14,2,7,13,14,6,2,6,2,3,4,4,6,2,1,9,7,15,3,1,4,11,15,2,1,0,2,1,9,2,4,8,4,1,4,11,brontosaurus
2,10,1,12,2,10,1,10,1,2,7,6,5,12,15,9,2,7,2,13,12,0,9,1,8,3,7,6,10,5,1,10,0,1,3,11,11,1,1,9,15,12,9,1,3,12,15,3,1,3,1,0,11,1,11,5,11,2,7,13,brontosaurus
0,8,0,8,0,0,0,8,0,0,9,7,3,6,15,1,0,6,0,6,0,0,0,0,0,1,4,3,7,7,1,11,0,1,0,6,15,0,0,0,0,0,0,0,0,2,6,0,0,1,1,0,0,0,0,0,15,0,4,3,brontosaurus
0,5,1,9,0,6,0,5,2,2,9,4,2,8,12,3,0,6,0,10,3,0,5,0,2,0,4,3,11,3,0,5,1,0,0,5,13,3,0,5,15,1,15,0,0,3,10,0,2,2,1,0,11,0,0,2,15,0,10,5,brontosaurus
4,5,1,6,5,2,1,7,1,1,9,15,14,8,12,8,0,8,2,15,11,3,4,4,15,4,3,11,15,4,4,5,2,3,2,8,15,1,4,2,3,14,2,1,4,13,15,3,1,1,3,5,13,1,4,5,11,0,11,13,brontosaurus
0,5,0,6,0,6,0,5,0,0,6,5,3,7,15,3,1,7,1,4,0,0,6,0,8,0,3,3,6,4,1,7,0,0,0,5,15,0,0,2,4,2,15,0,0,2,5,0,0,1,0,0,10,1,6,1,15,0,7,3,brontosaurus
2,11,0,12,1,10,0,8,1,0,11,9,15,11,12,0,0,0,0,15,0,0,0,0,0,0,6,4,6,6,1,10,1,2,5,11,14,1,0,0,0,6,15,0,2,5,6,1,0,0,1,1,1,0,0,7,0,0,0,15,brontosaurus
1,14,2,15,0,8,5,14,2,2,15,13,8,8,15,7,0,14,0,12,3,0,12,0,0,1,11,4,7,7,1,14,1,0,2,14,12,2,0,0,0,0,10,5,0,6,9,1,1,4,0,0,0,0,15,11,12,2,15,11,brontosaurus
1,12,7,15,1,6,13,15,1,1,13,8,9,12,13,9,0,4,0,4,15,0,5,0,3,0,12,8,5,15,3,10,2,1,0,5,2,0,0,2,4,8,9,1,1,9,12,1,1,0,0,0,10,1,11,7,12,0,12,9,brontosaurus
3,6,1,7,3,6,2,7,1,1,5,4,3,8,15,13,0,11,0,10,13,3,6,2,10,1,8,11,13,6,4,8,0,3,3,3,6,2,3,7,4,12,15,1,0,13,12,4,1,1,2,1,6,2,4,4,4,1,4,11,brontosaurus
1,14,1,15,1,13,2,14,1,1,13,12,12,12,13,9,1,15,0,11,10,1,10,1,10,1,8,5,11,8,0,12,2,0,0,13,11,1,0,8,15,1,15,0,0,4,7,0,1,0,0,3,10,2,8,10,15,0,15,9,brontosaurus
0,7,1,8,0,10,0,9,1,1,9,7,7,5,15,4,0,10,1,8,0,0,0,0,0,1,6,8,15,9,2,12,0,0,0,8,15,1,0,0,0,3,15,0,3,2,6,1,1,0,0,0,0,0,0,2,13,1,8,9,brontosaurus
0,4,0,7,0,4,0,4,0,1,6,2,1,5,15,2,0,4,0,1,0,0,0,0,0,0,3,1,4,2,0,5,1,0,0,3,15,0,0,2,15,1,15,0,0,1,2,1,0,6,0,0,10,0,14,3,15,1,3,2,brontosaurus
1,8,2,13,1,7,5,8,4,2,12,9,8,7,15,1,0,15,1,6,2,0,2,0,12,1,5,6,10,4,2,9,1,1,1,5,6,1,0,6,14,6,13,2,0,6,11,1,1,2,1,0,13,11,15,7,15,1,11,9,brontosaurus
4,3,1,4,4,3,2,3,2,1,4,15,13,1,4,9,1,3,1,15,11,6,4,3,12,4,2,11,13,1,2,2,1,4,3,3,3,1,1,4,4,12,2,2,5,11,13,5,2,1,2,4,4,1,6,6,3,0,4,14,brontosaurus
2,3,1,4,2,4,0,4,1,2,4,0,0,0,15,2,0,3,1,15,0,0,0,0,0,1,1,5,8,3,0,6,1,0,2,2,5,1,0,0,0,0,15,0,1,4,10,0,1,2,1,0,0,0,0,9,0,1,0,15,brontosaurus
0,11,0,10,0,15,0,13,0,0,10,1,1,5,15,3,0,10,0,7,0,0,0,0,0,0,2,3,9,7,0,13,0,0,1,15,15,0,0,0,0,3,15,0,0,3,7,0,0,0,0,0,0,0,0,2,15,0,15,9,brontosaurus
2,8,1,9,2,5,0,8,0,1,9,12,11,12,15,15,0,0,0,0,15,1,6,1,11,2,4,4,9,4,2,8,0,1,2,6,12,2,1,9,15,1,15,0,0,10,14,3,1,0,1,0,15,0,0,8,12,1,9,12,brontosaurus
1,9,0,14,1,9,0,10,0,0,12,7,5,8,15,6,6,3,2,15,9,1,6,0,8,1,8,7,9,7,1,9,0,1,0,10,15,0,1,7,7,5,15,0,0,8,10,1,1,0,0,1,2,0,11,8,15,0,9,11,brontosaurus
3,4,1,5,3,5,1,3,1,1,7,0,0,3,12,8,1,2,2,14,2,0,0,2,13,2,4,13,12,5,3,5,1,5,3,3,5,1,2,8,11,5,12,1,1,12,15,5,1,2,2,4,8,1,4,7,9,0,8,14,brontosaurus
3,6,1,6,2,5,2,5,1,2,4,11,12,7,5,8,0,5,1,15,15,4,6,3,11,4,6,5,15,3,0,5,0,2,0,6,14,3,3,4,6,12,5,1,1,7,15,2,2,0,0,3,6,1,4,3,2,2,2,10,brontosaurus
1,9,1,9,1,10,1,9,2,1,9,10,6,12,15,8,0,4,0,8,14,2,6,1,11,0,5,6,11,11,0,9,1,0,1,15,15,1,2,9,15,4,15,0,1,2,1,0,0,1,0,1,12,1,6,5,15,1,13,3,brontosaurus
0,8,0,8,0,8,0,7,0,0,8,3,4,6,15,0,0,0,0,0,0,0,0,0,0,0,4,3,6,5,0,7,0,1,0,6,15,0,0,0,0,3,15,0,0,4,11,0,0,0,0,0,0,0,0,4,15,0,14,9,brontosaurus
2,3,2,4,2,2,2,4,2,2,4,15,15,3,3,8,2,6,2,14,12,2,2,3,14,2,8,13,15,4,3,4,1,3,4,4,5,2,2,1,1,5,2,1,1,11,13,3,2,1,2,2,2,2,3,5,5,2,4,13,brontosaurus
