@relation 'datubasea-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D/home/sophyelord/git/WISLH/WISLH/resources/images/original-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 19'

@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients32' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients56' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients101' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients120' numeric
@attribute 'Histogram of JPEG Coefficients102' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute class {ant,brontosaurus,chandelier,cup,ferry,Faces_easy,cougar_body,cellphone,dalmatian,anchor,brain,ewer,buddha,bonsai,chair,airplanes,dollar_bill,dolphin,accordion}

@data
146,201,150,0,0,0,198,0,109,71,36,119,0,0,0,0,0,0,17,brontosaurus
75,31,59,0,0,0,66,0,49,71,36,61,0,0,0,0,0,0,0,brontosaurus
9,134,11,2,2,2,8,4,7,2,40,7,3,1,2,1,3,2,1,brontosaurus
148,221,129,34,21,40,155,51,31,44,67,90,16,18,25,21,72,38,9,brontosaurus
25,155,30,14,8,11,23,13,27,13,56,23,8,8,14,10,18,13,6,brontosaurus
152,185,114,30,16,25,136,42,27,21,79,42,23,11,24,15,21,22,4,brontosaurus
158,54,115,0,0,0,112,0,65,65,36,91,0,0,0,0,0,0,5,brontosaurus
152,62,167,21,12,18,106,29,236,57,36,160,13,12,23,15,53,22,25,brontosaurus
204,222,177,33,20,26,188,46,76,40,97,121,19,18,20,15,117,24,20,brontosaurus
21,150,15,12,5,6,28,13,5,5,54,13,6,4,8,6,12,11,10,brontosaurus
64,27,78,73,28,75,47,77,95,75,97,93,29,36,75,53,104,73,42,brontosaurus
5,132,6,3,2,2,4,6,6,6,47,4,2,1,3,2,7,5,2,brontosaurus
45,81,63,0,0,0,40,0,142,53,36,43,0,0,0,0,0,0,1,brontosaurus
17,136,17,5,2,4,13,5,12,8,41,10,2,1,4,2,4,4,6,brontosaurus
42,164,46,32,13,15,44,47,70,13,98,50,22,12,21,13,40,21,11,brontosaurus
14,143,22,23,12,22,16,40,22,41,76,17,11,10,32,22,22,20,8,brontosaurus
201,89,216,17,10,18,206,34,252,22,47,141,11,11,19,12,57,18,22,brontosaurus
19,131,22,4,2,2,22,5,28,6,59,18,2,2,4,3,45,2,13,brontosaurus
113,228,75,27,11,22,141,36,40,42,100,43,11,9,18,9,47,27,16,chandelier
224,173,157,31,18,23,229,35,25,63,67,119,12,12,25,16,80,28,31,chandelier
50,255,31,15,6,11,87,24,29,20,64,30,9,3,11,6,31,9,9,chandelier
134,205,39,18,13,14,138,28,140,30,103,61,10,6,9,9,62,12,17,chandelier
239,229,225,19,8,14,181,24,157,30,81,206,16,7,12,7,55,11,30,chandelier
40,255,20,15,9,13,46,34,36,43,80,26,12,6,11,8,30,12,9,chandelier
98,255,64,37,24,28,88,43,18,32,94,72,24,22,24,18,82,31,24,chandelier
3,130,5,7,2,4,1,10,4,4,59,4,3,1,3,2,5,4,1,chandelier
106,163,71,35,22,28,117,47,67,33,119,62,21,16,33,20,89,28,22,chandelier
58,159,14,10,6,9,23,15,140,12,68,82,8,4,6,3,36,6,8,chandelier
51,255,34,18,11,14,38,30,124,24,132,74,13,10,15,8,74,16,13,chandelier
123,239,75,19,17,21,148,36,172,28,62,102,13,11,31,18,70,27,18,chandelier
75,181,50,20,12,16,91,32,45,25,114,40,12,10,17,14,57,19,15,chandelier
194,225,125,21,15,18,210,35,103,15,80,85,14,13,23,13,45,24,17,chandelier
9,150,5,8,4,7,10,12,10,8,51,4,5,2,3,2,6,4,1,chandelier
94,216,26,32,23,27,100,50,81,25,130,49,22,12,21,19,214,28,44,chandelier
175,166,101,15,8,11,157,26,33,16,74,103,7,6,11,9,34,16,30,chandelier
132,212,73,13,8,8,186,14,41,5,83,80,10,3,4,5,55,7,5,chandelier
135,156,139,30,17,20,114,42,66,47,86,92,18,9,21,17,86,20,31,chandelier
179,210,242,20,10,19,192,30,125,14,61,197,9,7,20,13,55,22,29,chandelier
43,215,22,12,5,7,65,14,110,9,89,36,6,2,4,2,21,6,8,chandelier
47,109,31,38,16,28,38,40,27,34,138,33,21,15,20,11,27,29,3,chandelier
235,210,150,34,21,29,194,50,63,36,121,85,21,10,23,21,173,24,29,chandelier
96,180,55,25,12,23,110,32,105,27,78,60,15,10,21,12,51,23,9,chandelier
142,237,89,23,14,17,153,37,63,21,89,65,19,7,12,10,70,14,47,chandelier
197,61,155,9,4,7,112,11,175,8,57,167,6,3,6,4,71,6,5,chandelier
20,203,12,21,11,17,20,35,14,25,117,8,10,6,15,10,24,18,6,chandelier
114,183,106,19,9,15,83,26,89,21,110,91,12,9,11,8,57,14,22,chandelier
253,234,255,43,25,30,215,57,225,38,104,250,29,12,30,23,136,37,20,chandelier
32,42,44,22,21,20,17,37,197,8,98,57,21,8,17,11,127,14,5,chandelier
150,43,188,43,27,44,116,57,255,78,75,239,22,24,57,37,68,55,34,chandelier
167,97,107,15,14,17,161,28,21,24,89,38,15,7,10,11,86,16,19,chandelier
132,255,81,33,15,26,123,42,40,34,71,62,17,14,22,17,29,27,4,chandelier
89,193,74,22,13,18,65,32,44,16,118,58,14,8,14,8,57,16,4,chandelier
210,205,126,69,40,46,238,80,110,34,118,73,40,27,51,35,148,51,31,chandelier
91,25,166,36,23,29,62,41,40,38,120,255,21,13,20,15,74,25,21,chandelier
49,255,28,27,14,21,82,27,46,27,130,30,15,13,18,10,32,15,9,chandelier
56,255,20,6,5,5,41,8,56,4,79,21,6,1,5,3,20,4,4,chandelier
103,155,38,26,15,25,144,39,40,44,55,33,13,17,21,15,72,30,22,chandelier
116,255,106,34,17,26,122,53,27,37,129,65,21,8,23,16,114,29,24,chandelier
14,154,12,7,5,5,16,11,4,8,53,8,6,4,4,3,12,5,2,chandelier
57,228,22,5,3,4,49,5,34,5,70,17,4,2,2,1,15,2,2,chandelier
159,93,181,53,29,49,131,59,71,32,101,171,24,33,65,47,115,61,13,chandelier
79,161,45,53,33,35,119,84,76,44,122,38,27,13,29,22,156,28,27,chandelier
135,255,78,0,0,0,158,0,68,28,36,60,0,0,0,0,0,0,7,chandelier
113,249,75,32,14,26,145,39,89,28,98,48,19,15,27,14,45,33,11,chandelier
150,98,184,23,17,22,123,41,206,30,114,234,18,13,28,16,60,22,21,chandelier
66,80,72,25,7,16,51,41,84,41,85,70,10,7,15,9,35,16,10,chandelier
8,157,5,12,5,6,11,22,2,6,72,4,10,4,5,2,7,4,8,chandelier
96,255,37,29,16,24,102,44,128,18,114,64,16,11,14,13,99,17,16,chandelier
114,255,49,10,6,9,100,11,101,10,57,65,5,4,7,4,22,9,9,chandelier
185,165,196,48,35,32,140,60,194,26,130,186,22,15,29,23,89,30,38,chandelier
68,255,28,17,9,14,91,26,3,12,81,14,9,7,12,7,25,11,7,chandelier
126,203,98,28,17,31,84,43,46,29,105,97,15,12,24,20,70,27,15,chandelier
55,148,51,27,14,26,46,40,24,34,98,34,15,16,27,16,65,29,14,chandelier
67,255,17,18,8,16,23,26,137,20,80,54,8,6,13,3,38,14,9,chandelier
62,255,27,14,9,16,76,19,197,21,77,69,7,6,15,10,40,16,9,chandelier
111,244,104,32,19,20,127,43,64,28,83,93,14,10,24,18,65,25,12,chandelier
149,143,156,16,10,14,140,41,47,23,60,79,9,10,20,14,39,24,14,chandelier
110,255,65,23,18,19,85,42,166,26,139,109,18,9,19,14,76,18,24,chandelier
115,255,93,29,16,23,95,44,119,29,120,96,18,12,30,15,70,23,43,chandelier
64,255,43,16,7,15,85,24,59,8,83,38,8,5,9,7,26,10,8,chandelier
109,224,65,23,10,17,113,28,125,20,101,95,10,6,12,10,47,16,15,chandelier
105,245,86,39,20,35,124,55,100,37,143,76,18,20,30,21,68,35,13,chandelier
107,255,43,27,19,26,54,37,50,37,86,24,16,9,23,17,104,27,27,chandelier
78,116,33,21,11,18,72,27,92,21,83,43,15,7,13,7,100,11,41,chandelier
126,207,65,16,9,9,145,23,87,18,78,50,8,6,6,4,41,11,11,chandelier
125,142,41,8,4,4,141,11,101,9,63,60,5,3,3,3,27,7,8,chandelier
16,168,18,21,10,15,19,33,19,17,68,11,17,9,10,6,14,13,8,chandelier
255,204,167,12,4,9,226,32,137,14,59,112,6,4,9,5,37,11,16,chandelier
88,255,42,14,9,11,96,24,91,19,87,66,7,5,12,6,25,12,17,chandelier
62,159,35,33,34,29,108,50,19,29,104,19,22,11,23,28,162,26,34,chandelier
84,119,96,18,8,10,42,25,66,23,147,106,9,4,11,5,54,12,15,chandelier
3,145,4,19,10,17,2,22,10,20,85,4,12,11,24,17,8,22,1,chandelier
35,49,28,42,23,44,62,63,90,56,86,38,23,19,44,33,63,45,14,chandelier
173,54,138,12,5,14,147,24,255,16,44,144,7,5,13,7,61,14,17,chandelier
40,255,12,13,9,10,41,19,111,10,75,44,8,4,5,4,26,9,3,chandelier
2,132,2,8,3,5,0,9,2,3,53,1,3,2,7,3,4,5,2,chandelier
44,196,42,26,12,19,49,33,13,19,122,22,13,9,10,8,15,19,8,chandelier
18,150,17,15,7,11,16,18,24,6,72,13,8,6,10,6,15,13,6,chandelier
113,166,134,28,20,34,104,41,10,22,84,144,17,21,29,20,53,35,7,chandelier
23,161,21,22,13,21,19,34,24,34,108,20,14,13,15,14,40,22,6,chandelier
165,250,89,17,7,12,185,19,160,32,77,100,10,3,10,6,37,10,21,chandelier
139,164,86,19,7,17,126,35,40,50,88,42,13,7,10,7,52,12,37,chandelier
97,255,65,29,21,25,89,43,21,41,139,16,20,12,18,19,111,23,23,chandelier
71,255,20,16,17,13,90,24,30,7,144,21,17,4,6,10,101,9,10,chandelier
120,255,85,0,0,0,97,0,30,72,36,65,0,0,0,0,0,0,37,chandelier
28,157,16,8,4,10,24,16,20,16,61,11,7,4,11,5,14,11,2,chandelier
156,165,149,31,21,35,136,52,44,18,98,91,22,19,30,27,46,35,5,chandelier
151,75,124,38,25,26,110,34,119,42,95,54,19,16,26,19,77,29,16,chandelier
35,255,8,11,5,6,17,14,88,5,92,44,8,3,3,2,74,7,4,chandelier
227,215,216,8,5,7,204,13,112,7,72,156,7,4,7,6,28,11,8,chandelier
190,200,122,23,16,20,179,32,60,26,75,81,19,12,16,10,25,18,28,chandelier
4,140,2,11,7,13,5,12,3,11,67,2,6,5,13,8,10,11,1,chandelier
196,190,119,58,40,73,180,90,71,47,100,94,36,31,70,48,105,56,27,chandelier
12,158,10,20,9,17,14,30,10,23,67,8,12,10,28,13,10,20,5,chandelier
62,255,31,28,22,27,81,34,12,16,145,42,17,9,19,15,122,24,22,chandelier
56,255,22,9,8,5,91,12,126,8,63,55,8,1,4,4,56,5,19,chandelier
96,171,88,25,11,14,83,28,51,14,177,37,15,4,10,6,16,9,22,chandelier
248,215,202,29,14,24,186,33,84,47,87,174,12,12,25,20,48,24,22,chandelier
75,255,24,29,21,25,83,34,22,28,90,29,18,10,15,17,119,20,27,chandelier
86,126,70,39,18,32,94,46,7,36,127,30,26,13,17,21,110,32,20,chandelier
119,255,65,22,12,19,145,35,45,24,81,36,18,9,15,13,71,21,19,chandelier
122,214,64,14,12,11,99,19,67,22,107,48,11,6,10,9,29,18,5,chandelier
168,114,163,52,29,45,156,63,52,47,92,121,36,27,38,31,140,51,32,chandelier
3,149,5,11,6,6,3,12,2,6,67,4,6,4,7,3,8,8,1,chandelier
33,181,16,8,3,5,31,5,32,7,58,18,6,3,2,2,8,3,3,chandelier
91,255,52,9,4,5,104,11,191,9,61,89,8,3,5,2,23,5,12,cup
238,255,196,34,19,26,217,40,224,42,71,169,23,14,28,14,118,26,33,cup
92,255,59,35,19,32,104,47,24,23,131,41,21,20,26,11,58,30,11,cup
68,255,41,37,22,38,101,47,6,34,98,21,21,13,23,27,81,25,10,cup
55,255,46,20,9,17,61,26,35,14,110,46,9,7,16,10,54,19,31,cup
67,164,59,7,4,5,56,12,45,15,53,50,5,4,7,4,18,8,16,cup
85,255,58,21,9,22,111,25,44,14,87,59,12,10,18,13,68,23,15,cup
81,49,72,38,14,33,58,65,51,45,109,70,23,11,21,13,53,27,41,cup
129,255,104,3,1,2,139,4,84,2,42,84,1,1,3,2,10,3,5,cup
218,189,192,25,11,22,255,43,53,31,86,143,14,14,19,13,142,22,34,cup
255,133,185,29,11,26,226,41,88,21,64,191,14,15,27,17,72,30,44,cup
118,255,97,27,16,31,158,38,98,48,68,95,15,12,25,15,59,30,13,cup
99,255,69,20,19,22,113,40,36,37,140,79,20,10,16,19,107,21,32,cup
68,255,51,17,7,15,81,19,24,16,90,48,13,5,13,10,64,16,15,cup
44,255,30,10,5,6,62,10,30,8,84,35,7,2,3,3,46,5,13,cup
128,255,81,9,5,6,129,11,114,6,115,65,7,1,2,4,48,6,6,cup
241,255,192,40,21,29,241,45,188,23,150,137,21,11,17,14,86,27,27,cup
101,255,59,24,17,22,133,34,50,26,140,71,11,6,17,20,116,15,18,cup
205,209,132,32,22,30,209,38,110,34,106,140,21,14,27,22,118,22,31,cup
53,255,49,21,12,21,56,35,29,22,110,34,20,10,16,8,35,15,26,cup
201,153,201,40,26,32,200,50,194,47,72,155,20,24,30,22,113,40,14,cup
60,255,41,6,3,3,77,9,33,12,81,33,4,1,2,1,29,3,16,cup
43,167,37,10,6,8,67,11,6,11,52,19,5,3,6,5,30,10,6,cup
84,255,75,23,19,15,133,42,58,24,118,58,14,11,21,17,74,24,19,cup
207,255,138,15,8,11,198,16,71,10,93,128,13,3,8,2,44,9,30,cup
39,255,32,9,5,6,44,13,20,7,72,20,8,3,5,4,38,7,8,cup
61,255,56,4,2,5,60,6,45,22,44,42,3,1,4,2,7,4,55,cup
41,255,38,22,16,24,66,33,14,23,116,45,18,13,19,11,72,22,15,cup
69,235,59,47,21,30,77,58,72,40,136,63,27,25,36,20,95,41,41,cup
110,255,70,23,17,22,122,29,103,16,105,67,15,8,13,14,90,18,14,cup
47,255,35,11,9,10,78,10,23,3,58,26,6,6,9,13,23,9,2,cup
64,247,24,0,0,0,74,0,86,5,36,40,0,0,0,0,0,0,2,cup
204,93,192,11,8,8,235,19,172,18,71,157,9,4,10,6,77,12,24,cup
16,130,21,0,0,0,12,0,22,7,36,17,0,0,0,0,0,0,2,cup
202,203,159,23,15,24,217,33,47,31,108,118,16,10,19,12,119,21,35,cup
44,255,34,15,8,11,39,23,39,10,115,35,11,4,9,3,41,7,8,cup
132,255,73,11,6,8,130,13,57,8,72,61,8,3,6,3,63,6,14,cup
172,255,150,23,16,28,172,39,5,39,119,99,19,12,16,12,92,21,30,cup
172,218,155,32,17,26,218,37,126,35,92,134,22,13,22,13,80,26,33,cup
68,255,67,20,15,19,62,23,34,20,97,53,14,7,14,12,77,19,14,cup
120,185,79,25,20,22,163,33,22,32,74,47,18,10,17,17,85,21,37,cup
248,120,245,38,16,31,222,40,255,26,77,160,17,12,28,19,145,25,29,cup
66,255,48,13,8,12,82,17,29,6,107,31,9,5,4,5,33,9,6,cup
135,255,113,31,29,33,154,36,98,39,112,76,21,12,26,22,104,29,20,cup
17,136,30,20,9,21,13,25,13,18,60,19,12,17,19,12,22,20,5,cup
138,175,97,27,14,27,171,33,84,17,82,72,15,8,16,13,63,20,11,cup
105,255,58,14,13,17,106,17,77,12,104,45,16,5,10,7,76,15,15,cup
180,192,127,34,20,23,227,35,106,25,75,102,17,14,30,18,106,30,30,cup
97,255,70,26,14,19,142,31,60,26,114,73,14,7,15,11,93,17,15,cup
29,219,45,6,3,3,34,9,23,9,69,29,5,2,2,2,16,4,18,cup
154,169,135,32,24,34,226,45,158,28,96,90,23,14,26,24,130,31,17,cup
155,255,120,26,27,29,137,43,54,30,134,117,21,9,19,16,126,24,43,cup
104,255,71,17,12,11,93,22,138,18,100,78,13,3,8,5,73,10,30,cup
85,255,67,23,12,12,83,31,51,25,153,61,13,5,10,7,32,13,10,cup
215,128,154,32,19,28,249,34,71,19,62,135,22,19,27,24,125,33,24,cup
84,255,73,7,3,5,78,8,118,6,56,74,3,2,2,3,67,4,14,cup
83,93,105,0,0,0,77,0,32,68,36,115,0,0,0,0,0,0,0,cup
223,145,170,0,0,0,162,0,255,26,36,166,0,0,0,0,0,0,3,ferry
147,75,84,7,10,9,211,12,122,7,38,90,10,1,4,6,255,5,77,ferry
169,117,160,20,14,17,196,32,255,21,68,159,12,6,13,11,237,24,55,ferry
58,33,95,24,13,21,48,25,254,16,100,127,21,11,13,8,151,15,31,ferry
193,24,195,21,17,13,237,29,255,39,40,175,8,7,20,15,161,12,52,ferry
209,27,139,24,24,20,151,28,255,25,59,116,16,12,17,21,196,22,55,ferry
255,70,197,21,18,21,238,32,250,25,40,196,13,13,24,21,161,25,33,ferry
174,8,255,19,11,21,89,25,134,30,34,233,13,7,20,18,131,18,50,ferry
169,255,68,14,8,15,132,26,249,22,75,137,8,6,11,5,108,16,63,ferry
251,74,255,33,22,29,216,36,134,31,72,188,16,19,28,22,149,38,31,ferry
144,96,100,24,22,16,186,34,69,25,71,66,16,9,21,17,220,24,68,ferry
199,55,170,28,12,26,205,30,191,22,95,145,14,11,24,13,83,38,15,ferry
238,121,251,20,19,19,245,32,24,31,110,185,16,8,19,15,130,24,32,ferry
214,102,155,24,18,22,230,30,218,34,107,224,15,12,25,18,130,23,27,ferry
107,14,111,12,16,9,62,16,255,8,69,141,7,6,9,11,193,16,42,ferry
159,42,170,36,23,36,133,42,255,46,73,209,22,18,34,21,183,40,78,ferry
185,255,136,12,7,8,217,18,185,17,70,135,7,3,9,5,91,9,34,ferry
255,133,163,24,16,14,237,30,86,21,89,157,17,8,14,10,248,17,74,ferry
206,70,147,19,21,24,253,30,116,25,34,119,15,10,17,21,198,27,48,ferry
184,109,178,12,7,7,158,13,231,9,55,188,9,4,9,4,99,7,30,ferry
153,62,103,30,23,24,122,46,97,21,113,101,17,14,27,22,193,40,59,ferry
96,25,122,48,22,47,73,52,255,41,85,129,25,16,46,28,148,62,45,ferry
154,61,139,16,17,21,150,30,129,18,49,110,13,11,22,12,140,24,35,ferry
255,112,219,22,20,20,231,25,173,26,54,171,22,10,13,17,197,16,57,ferry
255,123,247,32,18,24,237,34,190,32,115,227,20,6,21,22,161,17,52,ferry
235,120,186,25,12,26,255,39,144,25,107,176,17,11,15,20,178,20,33,ferry
157,20,229,19,12,21,253,27,254,24,46,210,9,10,18,20,81,34,21,ferry
175,8,120,28,16,27,133,33,219,61,43,117,11,16,51,35,49,44,23,ferry
115,107,129,0,0,0,124,0,255,32,36,142,0,0,0,0,0,0,1,ferry
117,98,78,4,4,2,64,5,255,4,45,139,3,0,1,2,28,1,7,ferry
239,48,252,33,23,27,170,41,111,19,96,255,19,13,27,19,174,29,33,ferry
195,42,255,22,19,26,131,34,144,26,84,200,16,11,22,17,89,21,14,ferry
191,110,136,13,8,12,178,19,117,13,64,124,9,12,10,11,82,15,22,ferry
252,176,215,35,21,36,232,47,255,38,102,202,25,14,34,21,179,32,40,ferry
178,81,125,20,17,16,151,30,255,14,68,162,14,6,12,9,225,15,44,ferry
153,49,153,31,19,21,135,49,255,29,111,166,21,11,20,20,168,18,42,ferry
194,54,227,34,23,33,230,42,186,20,50,146,12,16,29,20,123,29,48,ferry
249,114,221,31,23,32,198,34,236,41,89,200,18,14,24,17,137,35,36,ferry
155,159,128,23,17,24,234,32,54,26,45,73,15,7,31,20,88,27,27,ferry
163,19,129,36,25,31,102,58,255,25,118,172,29,19,47,29,113,38,27,ferry
253,64,240,21,19,23,255,27,193,15,89,241,19,12,11,16,179,20,55,ferry
255,65,191,15,10,18,193,29,131,37,31,181,9,12,23,11,93,26,37,ferry
242,47,255,28,31,24,160,42,228,24,128,200,24,11,24,18,144,21,26,ferry
227,198,151,10,4,7,164,17,255,7,54,201,7,3,5,3,53,7,28,ferry
170,42,230,33,13,26,119,34,203,20,59,255,16,15,28,15,35,36,6,ferry
